Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
marks,0,0,0,Unavailable,2020-11-05,14:30:32,Unavailable,Unavailable,Unavailable,Unavailable,marks,markstout,markstout,meta-SE9NK7dRuvl0.json,SE,RREEPPLLAACCEE/SE/9N/SE9NK7dRuvl0.mp4,RREEPPLLAACCEE/SE/9N/SE9NK7dRuvl0_small.mp4
Deco,0,0,0,Unavailable,2020-10-05,23:14:44,Unavailable,Unavailable,Unavailable,Unavailable,Deco,Deco,Deco,meta-SEH9wZvUkGhx.json,SE,RREEPPLLAACCEE/SE/H9/SEH9wZvUkGhx.mp4,RREEPPLLAACCEE/SE/H9/SEH9wZvUkGhx_small.mp4
zackdeering,0,0,0,Unavailable,2020-07-28,20:56:34,SONY,,Unavailable,Unavailable,zackdeering,zackdeering,zackdeering,meta-Se3CSux5Q736.json,Se,RREEPPLLAACCEE/Se/3C/Se3CSux5Q736.mp4,RREEPPLLAACCEE/Se/3C/Se3CSux5Q736_small.mp4
tr3ndal,0,0,0,Unavailable,2020-11-26,19:24:30,Unavailable,Unavailable,Unavailable,Unavailable,tr3ndal,tr3ndal,tr3ndal,meta-SePJH4bNROpI.json,Se,RREEPPLLAACCEE/Se/PJ/SePJH4bNROpI.mp4,RREEPPLLAACCEE/Se/PJ/SePJH4bNROpI_small.mp4
cjlasval,0,0,0,Unavailable,2020-08-21,02:44:34,Unavailable,Unavailable,Unavailable,Unavailable,cjlasval,cjlasval,cjlasval,meta-SeT3CrTw289i.json,Se,RREEPPLLAACCEE/Se/T3/SeT3CrTw289i.mp4,RREEPPLLAACCEE/Se/T3/SeT3CrTw289i_small.mp4
michelcardon,0,0,0,Unavailable,2020-11-22,14:42:17,Unavailable,Unavailable,Unavailable,Unavailable,michelcardon,michelcardon,michelcardon,meta-sE1A473h2Hd5.json,sE,RREEPPLLAACCEE/sE/1A/sE1A473h2Hd5.mp4,RREEPPLLAACCEE/sE/1A/sE1A473h2Hd5_small.mp4
Rumen,0,0,0,Unavailable,2020-08-13,23:14:25,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-sER1JtvGblYQ.json,sE,RREEPPLLAACCEE/sE/R1/sER1JtvGblYQ.mp4,RREEPPLLAACCEE/sE/R1/sER1JtvGblYQ_small.mp4
Unavailable,30.6363,88.1552,28.017,Above Sea Level,2020-11-12,15:45:55,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SE4EvQND3P3H.json,SE,RREEPPLLAACCEE/SE/4E/SE4EvQND3P3H.mp4,RREEPPLLAACCEE/SE/4E/SE4EvQND3P3H_small.mp4
Unavailable,20.2902,40.2962,0,Unavailable,2020-07-20,05:47:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SE7HIJvsaiKj.json,SE,RREEPPLLAACCEE/SE/7H/SE7HIJvsaiKj.mp4,RREEPPLLAACCEE/SE/7H/SE7HIJvsaiKj_small.mp4
Unavailable,26.4595,80.1398,7.75,Above Sea Level,2021-01-02,23:59:24,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SE7vS4M0Zd9l.json,SE,RREEPPLLAACCEE/SE/7v/SE7vS4M0Zd9l.mp4,RREEPPLLAACCEE/SE/7v/SE7vS4M0Zd9l_small.mp4
