Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
glaub,0,0,0,Unavailable,2020-10-07,21:56:17,Unavailable,Unavailable,Unavailable,Unavailable,glaub,glaub,glaub,meta-GKEcDSjNlHXa.json,GK,RREEPPLLAACCEE/GK/Ec/GKEcDSjNlHXa.mp4,RREEPPLLAACCEE/GK/Ec/GKEcDSjNlHXa_small.mp4
megan,0,0,0,Unavailable,2020-12-10,18:24:03,Unavailable,Unavailable,Unavailable,Unavailable,megan,megan,megan,meta-GKSgYfoMo1Jn.json,GK,RREEPPLLAACCEE/GK/Sg/GKSgYfoMo1Jn.mp4,RREEPPLLAACCEE/GK/Sg/GKSgYfoMo1Jn_small.mp4
dutra,0,0,0,Unavailable,2021-01-04,22:48:05,Unavailable,Unavailable,Unavailable,Unavailable,dutra,dutra,dutra,meta-GkBhR9lEzd9y.json,Gk,RREEPPLLAACCEE/Gk/Bh/GkBhR9lEzd9y.mp4,RREEPPLLAACCEE/Gk/Bh/GkBhR9lEzd9y_small.mp4
timle,0,0,0,Unavailable,2020-11-19,22:29:48,Unavailable,Unavailable,Unavailable,Unavailable,timle,timle,timle,meta-GkkF6JicqF3G.json,Gk,RREEPPLLAACCEE/Gk/kF/GkkF6JicqF3G.mp4,RREEPPLLAACCEE/Gk/kF/GkkF6JicqF3G_small.mp4
nick,0,0,0,Unavailable,2020-09-03,20:23:01,Unavailable,Unavailable,Unavailable,Unavailable,nick,nick,nick,meta-GkxA6LgVniQT.json,Gk,RREEPPLLAACCEE/Gk/xA/GkxA6LgVniQT.mp4,RREEPPLLAACCEE/Gk/xA/GkxA6LgVniQT_small.mp4
Boots,0,0,0,Unavailable,2020-11-10,00:33:11,Panasonic,,Unavailable,Unavailable,Boots,Boots,Boots,meta-gKt1gkqW0dlN.json,gK,RREEPPLLAACCEE/gK/t1/gKt1gkqW0dlN.mp4,RREEPPLLAACCEE/gK/t1/gKt1gkqW0dlN_small.mp4
macstoddard,0,0,0,Unavailable,2020-07-23,01:32:51,Unavailable,Unavailable,Unavailable,Unavailable,macstoddard,macstoddard,macstoddard,meta-gKy4WdO8V81T.json,gK,RREEPPLLAACCEE/gK/y4/gKy4WdO8V81T.mp4,RREEPPLLAACCEE/gK/y4/gKy4WdO8V81T_small.mp4
Unavailable,42.5046,122.5734,1185.612,Above Sea Level,2020-04-21,20:27:47,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GK0wNX8DUMOg.json,GK,RREEPPLLAACCEE/GK/0w/GK0wNX8DUMOg.mp4,RREEPPLLAACCEE/GK/0w/GK0wNX8DUMOg_small.mp4
Unavailable,48.3306,16.0663,176.339,Above Sea Level,2020-12-20,18:45:43,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GK1e8ZC7sNz6.json,GK,RREEPPLLAACCEE/GK/1e/GK1e8ZC7sNz6.mp4,RREEPPLLAACCEE/GK/1e/GK1e8ZC7sNz6_small.mp4
Unavailable,33.4407,111.6892,450.266,Above Sea Level,2020-12-11,12:50:32,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GK5th5LVYz8j.json,GK,RREEPPLLAACCEE/GK/5t/GK5th5LVYz8j.mp4,RREEPPLLAACCEE/GK/5t/GK5th5LVYz8j_small.mp4
Unavailable,33.8139,117.5451,390.788,Above Sea Level,2020-12-20,00:37:04,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GK5zJw0Nq8Xq.json,GK,RREEPPLLAACCEE/GK/5z/GK5zJw0Nq8Xq.mp4,RREEPPLLAACCEE/GK/5z/GK5zJw0Nq8Xq_small.mp4
Unavailable,38.8919,77.0066,25.571,Above Sea Level,2020-11-14,19:12:53,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GK8jWqmW26L4.json,GK,RREEPPLLAACCEE/GK/8j/GK8jWqmW26L4.mp4,RREEPPLLAACCEE/GK/8j/GK8jWqmW26L4_small.mp4
Unavailable,37.5299,121.9687,9.41,Above Sea Level,2020-06-05,21:10:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GKAeJHdkDASf.json,GK,RREEPPLLAACCEE/GK/Ae/GKAeJHdkDASf.mp4,RREEPPLLAACCEE/GK/Ae/GKAeJHdkDASf_small.mp4
Unavailable,40.7054,74.0081,7.98,Above Sea Level,2020-04-21,05:56:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GKBBAKNHDIAN.json,GK,RREEPPLLAACCEE/GK/BB/GKBBAKNHDIAN.mp4,RREEPPLLAACCEE/GK/BB/GKBBAKNHDIAN_small.mp4
