Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
hopekitzman,0,0,0,Unavailable,2020-07-11,17:21:41,Unavailable,,Unavailable,Unavailable,hopekitzman,hopekitzman,hopekitzman,meta-X236jccleLJP.json,X2,RREEPPLLAACCEE/X2/36/X236jccleLJP.mp4,RREEPPLLAACCEE/X2/36/X236jccleLJP_small.mp4
Nathan,0,0,0,Unavailable,2020-11-20,18:10:37,Unavailable,Unavailable,Unavailable,Unavailable,Nathan,Nathan,Nathan,meta-X2v8HS3jYE2g.json,X2,RREEPPLLAACCEE/X2/v8/X2v8HS3jYE2g.mp4,RREEPPLLAACCEE/X2/v8/X2v8HS3jYE2g_small.mp4
garce,0,0,0,Unavailable,2020-07-06,09:25:10,Unavailable,Unavailable,Unavailable,Unavailable,garce,garce,garce,meta-x201H48Br0c2.json,x2,RREEPPLLAACCEE/x2/01/x201H48Br0c2.mp4,RREEPPLLAACCEE/x2/01/x201H48Br0c2_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-08,16:17:42,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-x2OPETUwEk2R.json,x2,RREEPPLLAACCEE/x2/OP/x2OPETUwEk2R.mp4,RREEPPLLAACCEE/x2/OP/x2OPETUwEk2R_small.mp4
Unavailable,33.6286,112.4535,400.84,Above Sea Level,2020-08-14,22:25:08,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X21NqCFZX7om.json,X2,RREEPPLLAACCEE/X2/1N/X21NqCFZX7om.mp4,RREEPPLLAACCEE/X2/1N/X21NqCFZX7om_small.mp4
Unavailable,38.8921,77.0349,3.191,Above Sea Level,2021-01-06,17:00:04,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X23DBdsA9dig.json,X2,RREEPPLLAACCEE/X2/3D/X23DBdsA9dig.mp4,RREEPPLLAACCEE/X2/3D/X23DBdsA9dig_small.mp4
Unavailable,38.6930,87.5098,0,Unavailable,2020-08-18,23:39:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2G37qll01ug.json,X2,RREEPPLLAACCEE/X2/G3/X2G37qll01ug.mp4,RREEPPLLAACCEE/X2/G3/X2G37qll01ug_small.mp4
Unavailable,31.7603,106.3016,1217.038,Above Sea Level,2020-11-28,21:29:04,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2JDelAn9C14.json,X2,RREEPPLLAACCEE/X2/JD/X2JDelAn9C14.mp4,RREEPPLLAACCEE/X2/JD/X2JDelAn9C14_small.mp4
Unavailable,38.8954,77.0297,6.584,Above Sea Level,2020-12-12,18:34:12,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2PxoEFJ40pW.json,X2,RREEPPLLAACCEE/X2/Px/X2PxoEFJ40pW.mp4,RREEPPLLAACCEE/X2/Px/X2PxoEFJ40pW_small.mp4
Unavailable,45.0203,92.9626,0,Unavailable,2020-10-06,17:08:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2TaNnkl5abV.json,X2,RREEPPLLAACCEE/X2/Ta/X2TaNnkl5abV.mp4,RREEPPLLAACCEE/X2/Ta/X2TaNnkl5abV_small.mp4
Unavailable,28.8869,81.2575,14.711,Above Sea Level,2021-01-07,00:34:49,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2TkXHzfBQVv.json,X2,RREEPPLLAACCEE/X2/Tk/X2TkXHzfBQVv.mp4,RREEPPLLAACCEE/X2/Tk/X2TkXHzfBQVv_small.mp4
Unavailable,41.8795,72.9626,122.835,Above Sea Level,2020-11-02,13:11:40,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2VoiizlWzhf.json,X2,RREEPPLLAACCEE/X2/Vo/X2VoiizlWzhf.mp4,RREEPPLLAACCEE/X2/Vo/X2VoiizlWzhf_small.mp4
Unavailable,39.1558,84.2120,246.606,Above Sea Level,2021-01-06,19:58:38,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2Z4LtteZR0F.json,X2,RREEPPLLAACCEE/X2/Z4/X2Z4LtteZR0F.mp4,RREEPPLLAACCEE/X2/Z4/X2Z4LtteZR0F_small.mp4
Unavailable,42.0510,88.0450,0,Unavailable,2020-12-06,20:41:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2bfiue5guD3.json,X2,RREEPPLLAACCEE/X2/bf/X2bfiue5guD3.mp4,RREEPPLLAACCEE/X2/bf/X2bfiue5guD3_small.mp4
Unavailable,29.6634,95.5049,19.279,Above Sea Level,2021-01-03,14:55:09,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2cRAMXZLppD.json,X2,RREEPPLLAACCEE/X2/cR/X2cRAMXZLppD.mp4,RREEPPLLAACCEE/X2/cR/X2cRAMXZLppD_small.mp4
Unavailable,43.1727,16.4409,7.49,Above Sea Level,2020-07-13,21:08:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2dElftlWkYZ.json,X2,RREEPPLLAACCEE/X2/dE/X2dElftlWkYZ.mp4,RREEPPLLAACCEE/X2/dE/X2dElftlWkYZ_small.mp4
Unavailable,41.2565,80.7811,287.627,Above Sea Level,2020-09-11,21:57:48,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2drPRnxEhJ1.json,X2,RREEPPLLAACCEE/X2/dr/X2drPRnxEhJ1.mp4,RREEPPLLAACCEE/X2/dr/X2drPRnxEhJ1_small.mp4
Unavailable,64.8396,147.7142,137.44,Above Sea Level,2016-10-03,19:07:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2fVJl4EnXV8.json,X2,RREEPPLLAACCEE/X2/fV/X2fVJl4EnXV8.mp4,RREEPPLLAACCEE/X2/fV/X2fVJl4EnXV8_small.mp4
Unavailable,32.9692,97.6856,267.195,Above Sea Level,2020-11-21,17:57:29,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2lw6kv6fpu8.json,X2,RREEPPLLAACCEE/X2/lw/X2lw6kv6fpu8.mp4,RREEPPLLAACCEE/X2/lw/X2lw6kv6fpu8_small.mp4
Unavailable,33.8235,118.0076,20.4,Above Sea Level,2020-11-30,17:25:00,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2q0LVTaB5gE.json,X2,RREEPPLLAACCEE/X2/q0/X2q0LVTaB5gE.mp4,RREEPPLLAACCEE/X2/q0/X2q0LVTaB5gE_small.mp4
Unavailable,42.4591,123.0287,349.801,Above Sea Level,2020-11-10,04:51:26,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2tWYOPDl5iR.json,X2,RREEPPLLAACCEE/X2/tW/X2tWYOPDl5iR.mp4,RREEPPLLAACCEE/X2/tW/X2tWYOPDl5iR_small.mp4
Unavailable,34.3567,85.1521,193.347,Above Sea Level,2020-11-01,23:50:20,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-X2xoDR0CHFhu.json,X2,RREEPPLLAACCEE/X2/xo/X2xoDR0CHFhu.mp4,RREEPPLLAACCEE/X2/xo/X2xoDR0CHFhu_small.mp4
Unavailable,27.4978,82.5659,4.271,Above Sea Level,2020-11-24,18:43:21,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-x20qSAxeK6Va.json,x2,RREEPPLLAACCEE/x2/0q/x20qSAxeK6Va.mp4,RREEPPLLAACCEE/x2/0q/x20qSAxeK6Va_small.mp4
