Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
vladyslavstarozhylov,0,0,0,Unavailable,2020-10-03,07:07:13,Leaf,,,,tirsoluis,tirsoluis,tirsoluis,meta-C15zXN8HuLXo.json,C1,RREEPPLLAACCEE/C1/5z/C15zXN8HuLXo.mp4,RREEPPLLAACCEE/C1/5z/C15zXN8HuLXo_small.mp4
jordi,0,0,0,Unavailable,2020-08-11,11:33:52,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-c131fJPElSI7.json,c1,RREEPPLLAACCEE/c1/31/c131fJPElSI7.mp4,RREEPPLLAACCEE/c1/31/c131fJPElSI7_small.mp4
AIZAWA tetsuya,0,0,0,Unavailable,2020-08-09,16:12:41,Unavailable,Unavailable,Unavailable,Unavailable,AIZAWA tetsuya,AIZAWA tetsuya,AIZAWA tetsuya,meta-c16VV9PCMReB.json,c1,RREEPPLLAACCEE/c1/6V/c16VV9PCMReB.mp4,RREEPPLLAACCEE/c1/6V/c16VV9PCMReB_small.mp4
imacpro1,0,0,0,Unavailable,2020-08-18,11:25:56,Panasonic,,Unavailable,Unavailable,home,videoimacpro,videoimacpro,meta-c1JLnvI39TGD.json,c1,RREEPPLLAACCEE/c1/JL/c1JLnvI39TGD.mp4,RREEPPLLAACCEE/c1/JL/c1JLnvI39TGD_small.mp4
Unavailable,36.3777,86.5613,155.383,Above Sea Level,2020-11-11,19:43:46,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1411LDf7EF9.json,C1,RREEPPLLAACCEE/C1/41/C1411LDf7EF9.mp4,RREEPPLLAACCEE/C1/41/C1411LDf7EF9_small.mp4
Unavailable,38.0546,122.5139,4.458,Below Sea Level,2020-10-26,01:11:22,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1CIxEivs4e0.json,C1,RREEPPLLAACCEE/C1/CI/C1CIxEivs4e0.mp4,RREEPPLLAACCEE/C1/CI/C1CIxEivs4e0_small.mp4
Unavailable,33.6573,118.0023,9.516,Above Sea Level,2020-11-22,06:54:42,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1COlgJysgB5.json,C1,RREEPPLLAACCEE/C1/CO/C1COlgJysgB5.mp4,RREEPPLLAACCEE/C1/CO/C1COlgJysgB5_small.mp4
Unavailable,41.0876,75.2003,0,Unavailable,2020-09-20,14:21:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1HL4zP0CqSo.json,C1,RREEPPLLAACCEE/C1/HL/C1HL4zP0CqSo.mp4,RREEPPLLAACCEE/C1/HL/C1HL4zP0CqSo_small.mp4
Unavailable,42.7334,84.5547,260.386,Above Sea Level,2021-01-06,19:12:01,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1J2P48q4xsR.json,C1,RREEPPLLAACCEE/C1/J2/C1J2P48q4xsR.mp4,RREEPPLLAACCEE/C1/J2/C1J2P48q4xsR_small.mp4
Unavailable,43.4098,95.7385,471.976,Above Sea Level,2020-12-21,21:16:45,Apple,iPhone SE (1st generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1NrrEC9TxuC.json,C1,RREEPPLLAACCEE/C1/Nr/C1NrrEC9TxuC.mp4,RREEPPLLAACCEE/C1/Nr/C1NrrEC9TxuC_small.mp4
Unavailable,33.7789,78.7701,0,Unavailable,2020-12-26,02:29:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1OoFikr4vCw.json,C1,RREEPPLLAACCEE/C1/Oo/C1OoFikr4vCw.mp4,RREEPPLLAACCEE/C1/Oo/C1OoFikr4vCw_small.mp4
Unavailable,30.5610,89.6472,37.805,Above Sea Level,2020-11-19,01:06:09,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1SPHcvFSBJI.json,C1,RREEPPLLAACCEE/C1/SP/C1SPHcvFSBJI.mp4,RREEPPLLAACCEE/C1/SP/C1SPHcvFSBJI_small.mp4
Unavailable,14.8424,120.2914,16,Above Sea Level,2020-07-10,02:43:25,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-C1SSDdNNurll.json,C1,RREEPPLLAACCEE/C1/SS/C1SSDdNNurll.mp4,RREEPPLLAACCEE/C1/SS/C1SSDdNNurll_small.mp4
