Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
njsno,0,0,0,Unavailable,2020-04-17,20:28:26,Unavailable,Unavailable,Unavailable,Unavailable,njsno,njsno,njsno,meta-FIHkNAxYhvOm.json,FI,RREEPPLLAACCEE/FI/Hk/FIHkNAxYhvOm.mp4,RREEPPLLAACCEE/FI/Hk/FIHkNAxYhvOm_small.mp4
mattlapto,0,0,0,Unavailable,2020-07-15,14:20:32,Unavailable,Unavailable,Unavailable,Unavailable,mattlapto,mattlapto,mattlapto,meta-FIR5333PZ9fJ.json,FI,RREEPPLLAACCEE/FI/R5/FIR5333PZ9fJ.mp4,RREEPPLLAACCEE/FI/R5/FIR5333PZ9fJ_small.mp4
BlakeShipman,0,0,0,Unavailable,2020-11-08,18:01:30,Panasonic,,Unavailable,Unavailable,BlakeShipman,BlakeShipman,BlakeShipman,meta-FIWvbzviZJC5.json,FI,RREEPPLLAACCEE/FI/Wv/FIWvbzviZJC5.mp4,RREEPPLLAACCEE/FI/Wv/FIWvbzviZJC5_small.mp4
james,0,0,0,Unavailable,2020-09-05,23:14:50,Unavailable,Unavailable,Unavailable,Unavailable,james,james,james,meta-fI3evjPI3FQ8.json,fI,RREEPPLLAACCEE/fI/3e/fI3evjPI3FQ8.mp4,RREEPPLLAACCEE/fI/3e/fI3evjPI3FQ8_small.mp4
Antho,0,0,0,Unavailable,2021-01-05,16:45:01,Unavailable,Unavailable,Unavailable,Unavailable,Antho,Antho,Antho,meta-fiKN3FAnYZr0.json,fi,RREEPPLLAACCEE/fi/KN/fiKN3FAnYZr0.mp4,RREEPPLLAACCEE/fi/KN/fiKN3FAnYZr0_small.mp4
mikehogan,0,0,0,Unavailable,2020-10-15,15:21:08,Unavailable,Unavailable,Unavailable,Unavailable,mikehogan,mikehogan,mikehogan,meta-fiUwM7K2igZT.json,fi,RREEPPLLAACCEE/fi/Uw/fiUwM7K2igZT.mp4,RREEPPLLAACCEE/fi/Uw/fiUwM7K2igZT_small.mp4
Unavailable,40.0763,83.5482,324.217,Above Sea Level,2020-11-11,20:25:10,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FI1XCvFwvkRq.json,FI,RREEPPLLAACCEE/FI/1X/FI1XCvFwvkRq.mp4,RREEPPLLAACCEE/FI/1X/FI1XCvFwvkRq_small.mp4
Unavailable,37.9798,84.4777,300.83,Above Sea Level,2020-07-20,04:53:07,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FI3MUdE273zi.json,FI,RREEPPLLAACCEE/FI/3M/FI3MUdE273zi.mp4,RREEPPLLAACCEE/FI/3M/FI3MUdE273zi_small.mp4
Unavailable,44.3344,79.7144,315.67,Above Sea Level,2020-09-14,23:42:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIEu31IoDIdZ.json,FI,RREEPPLLAACCEE/FI/Eu/FIEu31IoDIdZ.mp4,RREEPPLLAACCEE/FI/Eu/FIEu31IoDIdZ_small.mp4
Unavailable,36.1438,115.0562,525.433,Above Sea Level,2021-01-08,01:29:59,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIGXsA3kQAi1.json,FI,RREEPPLLAACCEE/FI/GX/FIGXsA3kQAi1.mp4,RREEPPLLAACCEE/FI/GX/FIGXsA3kQAi1_small.mp4
Unavailable,32.8482,117.2756,16.342,Above Sea Level,2020-12-29,00:15:33,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIICe4Yk8qPT.json,FI,RREEPPLLAACCEE/FI/IC/FIICe4Yk8qPT.mp4,RREEPPLLAACCEE/FI/IC/FIICe4Yk8qPT_small.mp4
Unavailable,39.8831,78.2968,415.359,Above Sea Level,2020-11-08,18:37:27,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIRNTA1TMifn.json,FI,RREEPPLLAACCEE/FI/RN/FIRNTA1TMifn.mp4,RREEPPLLAACCEE/FI/RN/FIRNTA1TMifn_small.mp4
Unavailable,27.4983,82.5658,3.394,Above Sea Level,2020-12-31,22:03:11,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIS8KUqpwYAK.json,FI,RREEPPLLAACCEE/FI/S8/FIS8KUqpwYAK.mp4,RREEPPLLAACCEE/FI/S8/FIS8KUqpwYAK_small.mp4
Unavailable,39.2163,121.0620,733.059,Above Sea Level,2020-11-22,00:20:49,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FITZTJjupWlo.json,FI,RREEPPLLAACCEE/FI/TZ/FITZTJjupWlo.mp4,RREEPPLLAACCEE/FI/TZ/FITZTJjupWlo_small.mp4
Unavailable,32.8092,96.8019,140.772,Above Sea Level,2020-11-19,17:00:00,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIWZ79CumxqC.json,FI,RREEPPLLAACCEE/FI/WZ/FIWZ79CumxqC.mp4,RREEPPLLAACCEE/FI/WZ/FIWZ79CumxqC_small.mp4
Unavailable,50.7972,1.1331,4,Above Sea Level,2020-06-23,00:35:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIdLlTFbHuMv.json,FI,RREEPPLLAACCEE/FI/dL/FIdLlTFbHuMv.mp4,RREEPPLLAACCEE/FI/dL/FIdLlTFbHuMv_small.mp4
Unavailable,38.9071,76.9459,4.899,Above Sea Level,2020-12-13,17:42:21,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIdmwwUGdlQM.json,FI,RREEPPLLAACCEE/FI/dm/FIdmwwUGdlQM.mp4,RREEPPLLAACCEE/FI/dm/FIdmwwUGdlQM_small.mp4
Unavailable,33.6163,117.9070,4.508,Above Sea Level,2020-11-15,04:32:37,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIdu0WkrS2WZ.json,FI,RREEPPLLAACCEE/FI/du/FIdu0WkrS2WZ.mp4,RREEPPLLAACCEE/FI/du/FIdu0WkrS2WZ_small.mp4
Unavailable,35.9496,86.5918,215.025,Above Sea Level,2021-01-09,15:11:38,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIgoi1RMTQPU.json,FI,RREEPPLLAACCEE/FI/go/FIgoi1RMTQPU.mp4,RREEPPLLAACCEE/FI/go/FIgoi1RMTQPU_small.mp4
Unavailable,32.8092,96.8019,140.772,Above Sea Level,2020-11-19,17:00:00,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIiKq7TFub9T.json,FI,RREEPPLLAACCEE/FI/iK/FIiKq7TFub9T.mp4,RREEPPLLAACCEE/FI/iK/FIiKq7TFub9T_small.mp4
Unavailable,23.5229,46.6892,0,Unavailable,2020-07-08,15:09:01,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIoBzwcbDcKp.json,FI,RREEPPLLAACCEE/FI/oB/FIoBzwcbDcKp.mp4,RREEPPLLAACCEE/FI/oB/FIoBzwcbDcKp_small.mp4
Unavailable,44.2441,88.2607,217.085,Above Sea Level,2020-07-05,02:52:59,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIxGSFDjiTEH.json,FI,RREEPPLLAACCEE/FI/xG/FIxGSFDjiTEH.mp4,RREEPPLLAACCEE/FI/xG/FIxGSFDjiTEH_small.mp4
Unavailable,45.2047,111.2814,2088.834,Above Sea Level,2020-01-13,16:52:50,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIxXTIOCmYgd.json,FI,RREEPPLLAACCEE/FI/xX/FIxXTIOCmYgd.mp4,RREEPPLLAACCEE/FI/xX/FIxXTIOCmYgd_small.mp4
Unavailable,23.5451,46.6563,806.806,Above Sea Level,2020-07-07,18:41:01,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FIyOejdletAZ.json,FI,RREEPPLLAACCEE/FI/yO/FIyOejdletAZ.mp4,RREEPPLLAACCEE/FI/yO/FIyOejdletAZ_small.mp4
Unavailable,40.1536,75.0046,0,Unavailable,2020-10-22,06:03:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Fi642GU0tj3Z.json,Fi,RREEPPLLAACCEE/Fi/64/Fi642GU0tj3Z.mp4,RREEPPLLAACCEE/Fi/64/Fi642GU0tj3Z_small.mp4
Unavailable,26.1672,80.1166,0,Unavailable,2020-11-03,16:44:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Fi76NGYwlztk.json,Fi,RREEPPLLAACCEE/Fi/76/Fi76NGYwlztk.mp4,RREEPPLLAACCEE/Fi/76/Fi76NGYwlztk_small.mp4
Unavailable,40.1595,122.3040,115.442,Above Sea Level,2020-11-15,16:35:57,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Fi99xIZ0XRql.json,Fi,RREEPPLLAACCEE/Fi/99/Fi99xIZ0XRql.mp4,RREEPPLLAACCEE/Fi/99/Fi99xIZ0XRql_small.mp4
Unavailable,28.2483,81.5712,32.372,Above Sea Level,2020-11-09,20:32:14,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Fi9lhqhBKqxr.json,Fi,RREEPPLLAACCEE/Fi/9l/Fi9lhqhBKqxr.mp4,RREEPPLLAACCEE/Fi/9l/Fi9lhqhBKqxr_small.mp4
Unavailable,31.8666,116.2096,304.19,Above Sea Level,2020-12-27,04:57:48,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FiSzwE0FPhLH.json,Fi,RREEPPLLAACCEE/Fi/Sz/FiSzwE0FPhLH.mp4,RREEPPLLAACCEE/Fi/Sz/FiSzwE0FPhLH_small.mp4
Unavailable,42.9119,78.7740,197.667,Above Sea Level,2020-11-20,19:14:00,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FiXAdk2ufh1P.json,Fi,RREEPPLLAACCEE/Fi/XA/FiXAdk2ufh1P.mp4,RREEPPLLAACCEE/Fi/XA/FiXAdk2ufh1P_small.mp4
Unavailable,37.5892,77.4199,59.367,Above Sea Level,2020-11-08,22:58:32,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FiXhqzjPhldr.json,Fi,RREEPPLLAACCEE/Fi/Xh/FiXhqzjPhldr.mp4,RREEPPLLAACCEE/Fi/Xh/FiXhqzjPhldr_small.mp4
Unavailable,42.1475,87.7985,197.401,Above Sea Level,2020-11-15,18:09:50,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FichUM8g5CeW.json,Fi,RREEPPLLAACCEE/Fi/ch/FichUM8g5CeW.mp4,RREEPPLLAACCEE/Fi/ch/FichUM8g5CeW_small.mp4
Unavailable,53.8018,.3350,0,Unavailable,2020-10-06,17:06:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Fid6dXB53RBE.json,Fi,RREEPPLLAACCEE/Fi/d6/Fid6dXB53RBE.mp4,RREEPPLLAACCEE/Fi/d6/Fid6dXB53RBE_small.mp4
Unavailable,34.9855,78.9648,49.083,Above Sea Level,2020-08-25,21:49:48,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Fidb0R7WswqO.json,Fi,RREEPPLLAACCEE/Fi/db/Fidb0R7WswqO.mp4,RREEPPLLAACCEE/Fi/db/Fidb0R7WswqO_small.mp4
Unavailable,40.7286,73.5761,28,Above Sea Level,2020-10-25,19:57:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FifUueQRK4dB.json,Fi,RREEPPLLAACCEE/Fi/fU/FifUueQRK4dB.mp4,RREEPPLLAACCEE/Fi/fU/FifUueQRK4dB_small.mp4
