Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jeremydoddridge,0,0,0,Unavailable,2020-11-15,05:23:52,Unavailable,Unavailable,Unavailable,Unavailable,jeremydoddridge,jeremydoddridge,jeremydoddridge,meta-a6CSB3T7kfv2.json,a6,RREEPPLLAACCEE/a6/CS/a6CSB3T7kfv2.mp4,RREEPPLLAACCEE/a6/CS/a6CSB3T7kfv2_small.mp4
Adam,0,0,0,Unavailable,2018-10-18,18:28:57,Apple,,Unavailable,Unavailable,Adam,Adam,Adam,meta-a6sho2pOA4An.json,a6,RREEPPLLAACCEE/a6/sh/a6sho2pOA4An.mp4,RREEPPLLAACCEE/a6/sh/a6sho2pOA4An_small.mp4
Unavailable,47.3354,116.8903,832.77,Above Sea Level,2020-07-26,18:13:50,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A64iYKLfiAxT.json,A6,RREEPPLLAACCEE/A6/4i/A64iYKLfiAxT.mp4,RREEPPLLAACCEE/A6/4i/A64iYKLfiAxT_small.mp4
Unavailable,42.9484,76.5577,216.336,Above Sea Level,2020-09-18,20:54:59,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6ADdI2ewORn.json,A6,RREEPPLLAACCEE/A6/AD/A6ADdI2ewORn.mp4,RREEPPLLAACCEE/A6/AD/A6ADdI2ewORn_small.mp4
Unavailable,42.9145,71.4038,85.632,Above Sea Level,2015-03-15,19:00:43,Apple,iPhone 5s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6GpdoFQrqt0.json,A6,RREEPPLLAACCEE/A6/Gp/A6GpdoFQrqt0.mp4,RREEPPLLAACCEE/A6/Gp/A6GpdoFQrqt0_small.mp4
Unavailable,41.2818,74.9316,372.2,Above Sea Level,2020-12-12,21:35:46,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6R8SsVw1zTr.json,A6,RREEPPLLAACCEE/A6/R8/A6R8SsVw1zTr.mp4,RREEPPLLAACCEE/A6/R8/A6R8SsVw1zTr_small.mp4
Unavailable,29.1518,82.2314,25,Above Sea Level,2020-12-06,22:06:26,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6RdL3J09X3L.json,A6,RREEPPLLAACCEE/A6/Rd/A6RdL3J09X3L.mp4,RREEPPLLAACCEE/A6/Rd/A6RdL3J09X3L_small.mp4
Unavailable,39.7396,104.9860,1605.328,Above Sea Level,2020-05-30,03:58:32,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6UCBjL8YgKb.json,A6,RREEPPLLAACCEE/A6/UC/A6UCBjL8YgKb.mp4,RREEPPLLAACCEE/A6/UC/A6UCBjL8YgKb_small.mp4
Unavailable,28.2931,82.7017,7.049,Above Sea Level,2021-01-07,04:33:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6jqHD79xJyy.json,A6,RREEPPLLAACCEE/A6/jq/A6jqHD79xJyy.mp4,RREEPPLLAACCEE/A6/jq/A6jqHD79xJyy_small.mp4
Unavailable,38.8900,77.0105,2.117,Below Sea Level,2021-01-06,19:35:36,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6nbSYGTQ2hW.json,A6,RREEPPLLAACCEE/A6/nb/A6nbSYGTQ2hW.mp4,RREEPPLLAACCEE/A6/nb/A6nbSYGTQ2hW_small.mp4
Unavailable,36.1661,115.1424,613.536,Above Sea Level,2021-01-06,19:01:43,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6qvbJodDURk.json,A6,RREEPPLLAACCEE/A6/qv/A6qvbJodDURk.mp4,RREEPPLLAACCEE/A6/qv/A6qvbJodDURk_small.mp4
Unavailable,30.2373,85.9144,10.956,Above Sea Level,2021-01-06,19:32:57,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6vIYxz6zAzA.json,A6,RREEPPLLAACCEE/A6/vI/A6vIYxz6zAzA.mp4,RREEPPLLAACCEE/A6/vI/A6vIYxz6zAzA_small.mp4
Unavailable,33.4486,117.6512,43.94,Above Sea Level,2020-08-22,15:17:55,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A6y5f0JXMO0Q.json,A6,RREEPPLLAACCEE/A6/y5/A6y5f0JXMO0Q.mp4,RREEPPLLAACCEE/A6/y5/A6y5f0JXMO0Q_small.mp4
