Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
oan,0,0,0,Unavailable,2020-12-10,16:09:22,Panasonic,,,Unavailable,oan,oan,oan,meta-UDNhF9maNtOh.json,UD,RREEPPLLAACCEE/UD/Nh/UDNhF9maNtOh.mp4,RREEPPLLAACCEE/UD/Nh/UDNhF9maNtOh_small.mp4
cluett,0,0,0,Unavailable,2020-11-14,01:03:41,Unavailable,Unavailable,Unavailable,Unavailable,cluett,cluett,cluett,meta-UdC13vkHZXd9.json,Ud,RREEPPLLAACCEE/Ud/C1/UdC13vkHZXd9.mp4,RREEPPLLAACCEE/Ud/C1/UdC13vkHZXd9_small.mp4
marks,0,0,0,Unavailable,2020-03-08,23:15:11,Unavailable,Unavailable,Unavailable,Unavailable,marks,marks,marks,meta-UdHvg756Uv5n.json,Ud,RREEPPLLAACCEE/Ud/Hv/UdHvg756Uv5n.mp4,RREEPPLLAACCEE/Ud/Hv/UdHvg756Uv5n_small.mp4
Daniel,0,0,0,Unavailable,2020-09-25,15:05:44,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-UdSXEWeX2KN9.json,Ud,RREEPPLLAACCEE/Ud/SX/UdSXEWeX2KN9.mp4,RREEPPLLAACCEE/Ud/SX/UdSXEWeX2KN9_small.mp4
Bear&Monkey,0,0,0,Unavailable,2020-12-06,14:51:45,Unavailable,Unavailable,Unavailable,Unavailable,Bear&Monkey,Bear&Monkey,Bear&Monkey,meta-uDK7PU5WAVaR.json,uD,RREEPPLLAACCEE/uD/K7/uDK7PU5WAVaR.mp4,RREEPPLLAACCEE/uD/K7/uDK7PU5WAVaR_small.mp4
Adam,0,0,0,Unavailable,2018-10-18,18:28:57,Apple,,Unavailable,Unavailable,Adam,Adam,Adam,meta-uDUNaVv42ofm.json,uD,RREEPPLLAACCEE/uD/UN/uDUNaVv42ofm.mp4,RREEPPLLAACCEE/uD/UN/uDUNaVv42ofm_small.mp4
nickhancher,0,0,0,Unavailable,2020-12-14,04:21:21,Unavailable,Unavailable,Unavailable,Unavailable,nickhancher,nickhancher,nickhancher,meta-uDj3zsEk5aa1.json,uD,RREEPPLLAACCEE/uD/j3/uDj3zsEk5aa1.mp4,RREEPPLLAACCEE/uD/j3/uDj3zsEk5aa1_small.mp4
Joshua,0,0,0,Unavailable,2020-10-16,04:18:17,Unavailable,Unavailable,Unavailable,Unavailable,Joshua,Joshua,Joshua,meta-ud53NUtFfTpe.json,ud,RREEPPLLAACCEE/ud/53/ud53NUtFfTpe.mp4,RREEPPLLAACCEE/ud/53/ud53NUtFfTpe_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-02,14:26:07,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-udUL7yaQ3459.json,ud,RREEPPLLAACCEE/ud/UL/udUL7yaQ3459.mp4,RREEPPLLAACCEE/ud/UL/udUL7yaQ3459_small.mp4
Mack,0,0,0,Unavailable,2020-05-27,22:56:07,Unavailable,Unavailable,Unavailable,Unavailable,Mack,Mack,Mack,meta-udhqHpHwefPn.json,ud,RREEPPLLAACCEE/ud/hq/udhqHpHwefPn.mp4,RREEPPLLAACCEE/ud/hq/udhqHpHwefPn_small.mp4
Unavailable,30.3639,97.6887,207.195,Above Sea Level,2020-08-15,23:24:29,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UD2T5HH3zspm.json,UD,RREEPPLLAACCEE/UD/2T/UD2T5HH3zspm.mp4,RREEPPLLAACCEE/UD/2T/UD2T5HH3zspm_small.mp4
