Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Daniel Gullo,0,0,0,Unavailable,2020-09-03,12:17:55,Unavailable,Unavailable,Unavailable,Unavailable,Daniel Gullo,Daniel Gullo,Daniel Gullo,meta-HKMfuvAasntc.json,HK,RREEPPLLAACCEE/HK/Mf/HKMfuvAasntc.mp4,RREEPPLLAACCEE/HK/Mf/HKMfuvAasntc_small.mp4
Admin,0,0,0,Unavailable,2020-12-08,18:45:15,Unavailable,Unavailable,Unavailable,Unavailable,Admin,Admin,Admin,meta-Hk2hFIEbvv1L.json,Hk,RREEPPLLAACCEE/Hk/2h/Hk2hFIEbvv1L.mp4,RREEPPLLAACCEE/Hk/2h/Hk2hFIEbvv1L_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-14,14:49:54,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-Hk4iO7eeJwbk.json,Hk,RREEPPLLAACCEE/Hk/4i/Hk4iO7eeJwbk.mp4,RREEPPLLAACCEE/Hk/4i/Hk4iO7eeJwbk_small.mp4
beargrizzly,0,0,0,Unavailable,2020-12-03,15:58:16,Unavailable,Unavailable,Unavailable,Unavailable,beargrizzly,beargrizzly,beargrizzly,meta-HkR3JV9uek9t.json,Hk,RREEPPLLAACCEE/Hk/R3/HkR3JV9uek9t.mp4,RREEPPLLAACCEE/Hk/R3/HkR3JV9uek9t_small.mp4
User,0,0,0,Unavailable,2021-01-01,17:06:18,Unavailable,Unavailable,Unavailable,Unavailable,User,User,User,meta-hKSIRtRpDSxD.json,hK,RREEPPLLAACCEE/hK/SI/hKSIRtRpDSxD.mp4,RREEPPLLAACCEE/hK/SI/hKSIRtRpDSxD_small.mp4
mwills,0,0,0,Unavailable,2021-01-07,20:12:06,Unavailable,Unavailable,Unavailable,Unavailable,mwills,mwills,mwills,meta-hKvx659or5O9.json,hK,RREEPPLLAACCEE/hK/vx/hKvx659or5O9.mp4,RREEPPLLAACCEE/hK/vx/hKvx659or5O9_small.mp4
matthew,0,0,0,Unavailable,2020-11-24,20:53:32,Canon,,,,matthew,matthew,matthew,meta-hkeKT246VE5a.json,hk,RREEPPLLAACCEE/hk/eK/hkeKT246VE5a.mp4,RREEPPLLAACCEE/hk/eK/hkeKT246VE5a_small.mp4
coreyemond,0,0,0,Unavailable,2019-01-01,01:56:53,Unavailable,Unavailable,Unavailable,Unavailable,coreyemond,coreyemond,coreyemond,meta-hkke3Yg4OgYc.json,hk,RREEPPLLAACCEE/hk/ke/hkke3Yg4OgYc.mp4,RREEPPLLAACCEE/hk/ke/hkke3Yg4OgYc_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-10-03,19:16:22,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HK03P1EwfIUl.json,HK,RREEPPLLAACCEE/HK/03/HK03P1EwfIUl.mp4,RREEPPLLAACCEE/HK/03/HK03P1EwfIUl_small.mp4
Unavailable,47.7292,122.1819,106.317,Above Sea Level,2020-11-10,03:25:38,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HK0AoOymBrBU.json,HK,RREEPPLLAACCEE/HK/0A/HK0AoOymBrBU.mp4,RREEPPLLAACCEE/HK/0A/HK0AoOymBrBU_small.mp4
Unavailable,34.7208,84.8702,214.588,Above Sea Level,2021-01-05,02:07:58,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HK6DBjfYLcbw.json,HK,RREEPPLLAACCEE/HK/6D/HK6DBjfYLcbw.mp4,RREEPPLLAACCEE/HK/6D/HK6DBjfYLcbw_small.mp4
Unavailable,33.4906,117.6682,35.16,Above Sea Level,2020-07-19,21:04:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HK8Neh1G6AzR.json,HK,RREEPPLLAACCEE/HK/8N/HK8Neh1G6AzR.mp4,RREEPPLLAACCEE/HK/8N/HK8Neh1G6AzR_small.mp4
Unavailable,59.3846,17.0404,3.335,Above Sea Level,2020-11-18,16:33:34,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HKE2oeWkknB2.json,HK,RREEPPLLAACCEE/HK/E2/HKE2oeWkknB2.mp4,RREEPPLLAACCEE/HK/E2/HKE2oeWkknB2_small.mp4
Unavailable,42.5851,73.5211,247.452,Above Sea Level,2020-12-13,01:34:24,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HKEOlOHB0dGB.json,HK,RREEPPLLAACCEE/HK/EO/HKEOlOHB0dGB.mp4,RREEPPLLAACCEE/HK/EO/HKEOlOHB0dGB_small.mp4
Unavailable,42.5434,94.6960,382.159,Above Sea Level,2020-07-03,18:39:02,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HKHCiROvOYhj.json,HK,RREEPPLLAACCEE/HK/HC/HKHCiROvOYhj.mp4,RREEPPLLAACCEE/HK/HC/HKHCiROvOYhj_small.mp4
