Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Miki,0,0,0,Unavailable,2020-10-24,18:15:58,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-8ZRHA5iR5ED9.json,8Z,RREEPPLLAACCEE/8Z/RH/8ZRHA5iR5ED9.mp4,RREEPPLLAACCEE/8Z/RH/8ZRHA5iR5ED9_small.mp4
Johnson,0,0,0,Unavailable,2020-11-14,11:23:11,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-8zLrdzeRRE5J.json,8z,RREEPPLLAACCEE/8z/Lr/8zLrdzeRRE5J.mp4,RREEPPLLAACCEE/8z/Lr/8zLrdzeRRE5J_small.mp4
Unavailable,37.1753,93.3319,389.711,Above Sea Level,2020-07-27,20:37:47,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Z5s4P44ErEF.json,8Z,RREEPPLLAACCEE/8Z/5s/8Z5s4P44ErEF.mp4,RREEPPLLAACCEE/8Z/5s/8Z5s4P44ErEF_small.mp4
Unavailable,26.7202,80.0534,5.55,Above Sea Level,2020-10-22,14:00:18,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Z8AWLTU9LnG.json,8Z,RREEPPLLAACCEE/8Z/8A/8Z8AWLTU9LnG.mp4,RREEPPLLAACCEE/8Z/8A/8Z8AWLTU9LnG_small.mp4
Unavailable,44.9025,92.9293,295.092,Above Sea Level,2020-12-16,03:59:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Z8BTLgnBVnG.json,8Z,RREEPPLLAACCEE/8Z/8B/8Z8BTLgnBVnG.mp4,RREEPPLLAACCEE/8Z/8B/8Z8BTLgnBVnG_small.mp4
Unavailable,8.5484,79.8893,0,Unavailable,2020-12-12,10:31:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8ZFkVwScwQh6.json,8Z,RREEPPLLAACCEE/8Z/Fk/8ZFkVwScwQh6.mp4,RREEPPLLAACCEE/8Z/Fk/8ZFkVwScwQh6_small.mp4
Unavailable,41.7696,71.3630,11.688,Above Sea Level,2020-12-04,23:03:13,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8ZQwvWvLWlor.json,8Z,RREEPPLLAACCEE/8Z/Qw/8ZQwvWvLWlor.mp4,RREEPPLLAACCEE/8Z/Qw/8ZQwvWvLWlor_small.mp4
Unavailable,27.9791,82.5026,11.3,Above Sea Level,2020-10-29,19:32:08,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8ZYrlkBqoAMd.json,8Z,RREEPPLLAACCEE/8Z/Yr/8ZYrlkBqoAMd.mp4,RREEPPLLAACCEE/8Z/Yr/8ZYrlkBqoAMd_small.mp4
Unavailable,33.5809,84.5270,276.96,Above Sea Level,2020-07-02,07:22:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8ZenIF3CtSzW.json,8Z,RREEPPLLAACCEE/8Z/en/8ZenIF3CtSzW.mp4,RREEPPLLAACCEE/8Z/en/8ZenIF3CtSzW_small.mp4
Unavailable,31.0524,97.7518,0,Above Sea Level,2021-01-06,06:12:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8ZgIOOb7xOGe.json,8Z,RREEPPLLAACCEE/8Z/gI/8ZgIOOb7xOGe.mp4,RREEPPLLAACCEE/8Z/gI/8ZgIOOb7xOGe_small.mp4
Unavailable,32.9834,117.0622,167.886,Above Sea Level,2020-11-22,19:25:38,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8ZkEx11d01ui.json,8Z,RREEPPLLAACCEE/8Z/kE/8ZkEx11d01ui.mp4,RREEPPLLAACCEE/8Z/kE/8ZkEx11d01ui_small.mp4
Unavailable,40.4506,77.2926,277.424,Above Sea Level,2020-07-24,19:42:58,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Zvg8CemAF3O.json,8Z,RREEPPLLAACCEE/8Z/vg/8Zvg8CemAF3O.mp4,RREEPPLLAACCEE/8Z/vg/8Zvg8CemAF3O_small.mp4
Unavailable,33.2588,111.8558,366.423,Above Sea Level,2020-11-29,15:30:49,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Zw6gB60L3N0.json,8Z,RREEPPLLAACCEE/8Z/w6/8Zw6gB60L3N0.mp4,RREEPPLLAACCEE/8Z/w6/8Zw6gB60L3N0_small.mp4
Unavailable,40.9016,73.7897,0,Unavailable,2020-08-07,13:00:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Zx3b7mlgrQI.json,8Z,RREEPPLLAACCEE/8Z/x3/8Zx3b7mlgrQI.mp4,RREEPPLLAACCEE/8Z/x3/8Zx3b7mlgrQI_small.mp4
Unavailable,59.3846,17.0403,6.77,Above Sea Level,2020-11-27,20:23:08,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8z5VyVj6jCq0.json,8z,RREEPPLLAACCEE/8z/5V/8z5VyVj6jCq0.mp4,RREEPPLLAACCEE/8z/5V/8z5VyVj6jCq0_small.mp4
Unavailable,33.4424,112.0779,330.1,Above Sea Level,2020-11-06,02:17:37,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8z6GY3leTNLE.json,8z,RREEPPLLAACCEE/8z/6G/8z6GY3leTNLE.mp4,RREEPPLLAACCEE/8z/6G/8z6GY3leTNLE_small.mp4
Unavailable,34.0770,84.0970,309.834,Above Sea Level,2020-11-03,20:54:20,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zCsy3HD3rV8.json,8z,RREEPPLLAACCEE/8z/Cs/8zCsy3HD3rV8.mp4,RREEPPLLAACCEE/8z/Cs/8zCsy3HD3rV8_small.mp4
Unavailable,35.1978,84.8576,258.995,Above Sea Level,2020-08-21,04:54:10,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zDbiKXYk0WB.json,8z,RREEPPLLAACCEE/8z/Db/8zDbiKXYk0WB.mp4,RREEPPLLAACCEE/8z/Db/8zDbiKXYk0WB_small.mp4
Unavailable,36.0542,115.0790,600.375,Above Sea Level,2020-11-11,21:59:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zM4f6NXgWAS.json,8z,RREEPPLLAACCEE/8z/M4/8zM4f6NXgWAS.mp4,RREEPPLLAACCEE/8z/M4/8zM4f6NXgWAS_small.mp4
Unavailable,35.9854,115.2479,804.938,Above Sea Level,2020-11-01,02:42:29,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zMIA6JsYxmU.json,8z,RREEPPLLAACCEE/8z/MI/8zMIA6JsYxmU.mp4,RREEPPLLAACCEE/8z/MI/8zMIA6JsYxmU_small.mp4
Unavailable,30.7820,83.2713,61.398,Above Sea Level,2020-12-06,00:16:16,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zMpLwdWwmIz.json,8z,RREEPPLLAACCEE/8z/Mp/8zMpLwdWwmIz.mp4,RREEPPLLAACCEE/8z/Mp/8zMpLwdWwmIz_small.mp4
Unavailable,38.9848,76.3553,2.142,Above Sea Level,2020-11-08,20:30:04,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zNc4ZASfYKX.json,8z,RREEPPLLAACCEE/8z/Nc/8zNc4ZASfYKX.mp4,RREEPPLLAACCEE/8z/Nc/8zNc4ZASfYKX_small.mp4
Unavailable,32.3704,104.2048,956.569,Above Sea Level,2021-01-08,00:28:34,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zQ85L5fi5Ex.json,8z,RREEPPLLAACCEE/8z/Q8/8zQ85L5fi5Ex.mp4,RREEPPLLAACCEE/8z/Q8/8zQ85L5fi5Ex_small.mp4
Unavailable,39.0984,108.5060,0,Unavailable,2021-01-01,17:26:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zbuv6ZIwQ7B.json,8z,RREEPPLLAACCEE/8z/bu/8zbuv6ZIwQ7B.mp4,RREEPPLLAACCEE/8z/bu/8zbuv6ZIwQ7B_small.mp4
Unavailable,38.8896,77.0103,0,Unavailable,2021-01-06,22:10:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8ziKp2FKa3Sb.json,8z,RREEPPLLAACCEE/8z/iK/8ziKp2FKa3Sb.mp4,RREEPPLLAACCEE/8z/iK/8ziKp2FKa3Sb_small.mp4
Unavailable,40.3197,79.9065,340.77,Above Sea Level,2020-11-18,00:51:04,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zlXtLoL4KT7.json,8z,RREEPPLLAACCEE/8z/lX/8zlXtLoL4KT7.mp4,RREEPPLLAACCEE/8z/lX/8zlXtLoL4KT7_small.mp4
Unavailable,44.1168,95.6980,453.302,Above Sea Level,2020-09-06,16:19:23,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zxjfNoxoqxS.json,8z,RREEPPLLAACCEE/8z/xj/8zxjfNoxoqxS.mp4,RREEPPLLAACCEE/8z/xj/8zxjfNoxoqxS_small.mp4
Unavailable,38.8921,77.0114,11.339,Above Sea Level,2020-11-14,17:28:27,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8zy6GOcBAV5Y.json,8z,RREEPPLLAACCEE/8z/y6/8zy6GOcBAV5Y.mp4,RREEPPLLAACCEE/8z/y6/8zy6GOcBAV5Y_small.mp4
Unavailable,0,0,0,Unavailable,2020-10-08,21:42:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Z01JhcDF7We.json,8Z,RREEPPLLAACCEE/8Z/01/8Z01JhcDF7We.mp4,RREEPPLLAACCEE/8Z/01/8Z01JhcDF7We_small.mp4
Unavailable,0,0,0,Unavailable,2020-12-25,21:17:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Z0QBCMWGfaT.json,8Z,RREEPPLLAACCEE/8Z/0Q/8Z0QBCMWGfaT.mp4,RREEPPLLAACCEE/8Z/0Q/8Z0QBCMWGfaT_small.mp4
