Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
emmanuel,0,0,0,Unavailable,2020-11-25,19:43:42,SAMSUNG,,Unavailable,Unavailable,emmanuel,emmanuel,emmanuel,meta-PZ2A4eJmoMfk.json,PZ,RREEPPLLAACCEE/PZ/2A/PZ2A4eJmoMfk.mp4,RREEPPLLAACCEE/PZ/2A/PZ2A4eJmoMfk_small.mp4
TomIsaacson,0,0,0,Unavailable,2020-11-12,17:26:01,Unavailable,Unavailable,Unavailable,Unavailable,TomIsaacson,TomIsaacson,TomIsaacson,meta-PZdnYv9q0maP.json,PZ,RREEPPLLAACCEE/PZ/dn/PZdnYv9q0maP.mp4,RREEPPLLAACCEE/PZ/dn/PZdnYv9q0maP_small.mp4
rafae,0,0,0,Unavailable,2020-08-15,20:23:44,Unavailable,,Unavailable,Unavailable,rafae,rafae,rafae,meta-pZATHiXQKFMX.json,pZ,RREEPPLLAACCEE/pZ/AT/pZATHiXQKFMX.mp4,RREEPPLLAACCEE/pZ/AT/pZATHiXQKFMX_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-04,13:50:09,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-pZQzG91riWCs.json,pZ,RREEPPLLAACCEE/pZ/Qz/pZQzG91riWCs.mp4,RREEPPLLAACCEE/pZ/Qz/pZQzG91riWCs_small.mp4
Stanley,0,0,0,Unavailable,2020-09-16,15:10:33,Unavailable,Unavailable,Unavailable,Unavailable,Stanley,Stanley,Stanley,meta-pzVIVbm68pqo.json,pz,RREEPPLLAACCEE/pz/VI/pzVIVbm68pqo.mp4,RREEPPLLAACCEE/pz/VI/pzVIVbm68pqo_small.mp4
andre,0,0,0,Unavailable,2020-10-22,18:35:47,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-pze4ZS1q1AG8.json,pz,RREEPPLLAACCEE/pz/e4/pze4ZS1q1AG8.mp4,RREEPPLLAACCEE/pz/e4/pze4ZS1q1AG8_small.mp4
phil,0,0,0,Unavailable,2020-11-01,03:33:01,Unavailable,Unavailable,Unavailable,Unavailable,phil,phil,phil,meta-pzu2LIHK4TFU.json,pz,RREEPPLLAACCEE/pz/u2/pzu2LIHK4TFU.mp4,RREEPPLLAACCEE/pz/u2/pzu2LIHK4TFU_small.mp4
Unavailable,35.3548,93.2114,215.468,Above Sea Level,2020-08-18,20:28:02,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PZ1WZ2JYDyuP.json,PZ,RREEPPLLAACCEE/PZ/1W/PZ1WZ2JYDyuP.mp4,RREEPPLLAACCEE/PZ/1W/PZ1WZ2JYDyuP_small.mp4
Unavailable,38.8793,104.7381,1975.842,Above Sea Level,2020-11-25,15:21:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PZ332z8TS1SY.json,PZ,RREEPPLLAACCEE/PZ/33/PZ332z8TS1SY.mp4,RREEPPLLAACCEE/PZ/33/PZ332z8TS1SY_small.mp4
Unavailable,53.4090,2.0479,0,Unavailable,2020-07-03,16:45:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PZCbgvOaoBhu.json,PZ,RREEPPLLAACCEE/PZ/Cb/PZCbgvOaoBhu.mp4,RREEPPLLAACCEE/PZ/Cb/PZCbgvOaoBhu_small.mp4
Unavailable,39.3681,84.2966,227.133,Above Sea Level,2020-11-17,15:02:53,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PZCgUu9TRKrl.json,PZ,RREEPPLLAACCEE/PZ/Cg/PZCgUu9TRKrl.mp4,RREEPPLLAACCEE/PZ/Cg/PZCgUu9TRKrl_small.mp4
Unavailable,23.5582,46.7114,650.323,Above Sea Level,2020-08-02,17:43:18,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PZE1cgn3bsK7.json,PZ,RREEPPLLAACCEE/PZ/E1/PZE1cgn3bsK7.mp4,RREEPPLLAACCEE/PZ/E1/PZE1cgn3bsK7_small.mp4
Unavailable,40.3196,79.9065,340.793,Above Sea Level,2020-11-16,17:08:16,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PZFPhsLOt25T.json,PZ,RREEPPLLAACCEE/PZ/FP/PZFPhsLOt25T.mp4,RREEPPLLAACCEE/PZ/FP/PZFPhsLOt25T_small.mp4
Unavailable,34.9102,78.8365,28.069,Above Sea Level,2020-11-20,20:31:11,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PZJTtzLe7YD6.json,PZ,RREEPPLLAACCEE/PZ/JT/PZJTtzLe7YD6.mp4,RREEPPLLAACCEE/PZ/JT/PZJTtzLe7YD6_small.mp4
Unavailable,36.1001,83.7427,300.951,Above Sea Level,2020-01-26,00:29:31,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PZJjjwELAWYQ.json,PZ,RREEPPLLAACCEE/PZ/Jj/PZJjjwELAWYQ.mp4,RREEPPLLAACCEE/PZ/Jj/PZJjjwELAWYQ_small.mp4
