Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
mwills,0,0,0,Unavailable,2020-12-29,00:59:05,Unavailable,Unavailable,Unavailable,Unavailable,mwills,mwills,mwills,meta-H9WP6VCriL0Q.json,H9,RREEPPLLAACCEE/H9/WP/H9WP6VCriL0Q.mp4,RREEPPLLAACCEE/H9/WP/H9WP6VCriL0Q_small.mp4
emilyjiao,0,0,0,Unavailable,2020-12-17,20:32:46,Unavailable,,Unavailable,Unavailable,emilyjiao,emilyjiao,emilyjiao,meta-H9torOZbBQ8d.json,H9,RREEPPLLAACCEE/H9/to/H9torOZbBQ8d.mp4,RREEPPLLAACCEE/H9/to/H9torOZbBQ8d_small.mp4
t.hamersky,0,0,0,Unavailable,2020-12-08,13:43:21,Unavailable,Unavailable,Unavailable,Unavailable,t.hamersky,t.hamersky,t.hamersky,meta-h9PZd11o6bp2.json,h9,RREEPPLLAACCEE/h9/PZ/h9PZd11o6bp2.mp4,RREEPPLLAACCEE/h9/PZ/h9PZd11o6bp2_small.mp4
Bear&Monkey,0,0,0,Unavailable,2020-12-07,00:56:58,Unavailable,Unavailable,Unavailable,Unavailable,Bear&Monkey,Bear&Monkey,Bear&Monkey,meta-h9nnLiDQVhd4.json,h9,RREEPPLLAACCEE/h9/nn/h9nnLiDQVhd4.mp4,RREEPPLLAACCEE/h9/nn/h9nnLiDQVhd4_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-06,13:48:33,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-h9uUK2rGVTXc.json,h9,RREEPPLLAACCEE/h9/uU/h9uUK2rGVTXc.mp4,RREEPPLLAACCEE/h9/uU/h9uUK2rGVTXc_small.mp4
Unavailable,44.9391,123.0305,55.486,Above Sea Level,2021-01-06,21:08:58,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H90gxKEfhuMi.json,H9,RREEPPLLAACCEE/H9/0g/H90gxKEfhuMi.mp4,RREEPPLLAACCEE/H9/0g/H90gxKEfhuMi_small.mp4
Unavailable,47.2854,122.2655,0,Unavailable,2020-11-17,19:00:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H92lq5Usmkbr.json,H9,RREEPPLLAACCEE/H9/2l/H92lq5Usmkbr.mp4,RREEPPLLAACCEE/H9/2l/H92lq5Usmkbr_small.mp4
Unavailable,38.9392,1.2922,0,Unavailable,2020-11-07,20:39:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H9AWvLtnug4N.json,H9,RREEPPLLAACCEE/H9/AW/H9AWvLtnug4N.mp4,RREEPPLLAACCEE/H9/AW/H9AWvLtnug4N_small.mp4
Unavailable,44.8995,92.9214,296.783,Above Sea Level,2020-08-16,02:04:31,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H9B030duRddc.json,H9,RREEPPLLAACCEE/H9/B0/H9B030duRddc.mp4,RREEPPLLAACCEE/H9/B0/H9B030duRddc_small.mp4
Unavailable,35.9355,86.8098,240.625,Above Sea Level,2020-07-17,14:22:48,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H9BB0NCDxAqJ.json,H9,RREEPPLLAACCEE/H9/BB/H9BB0NCDxAqJ.mp4,RREEPPLLAACCEE/H9/BB/H9BB0NCDxAqJ_small.mp4
Unavailable,40.1212,102.7302,1263.54,Above Sea Level,2020-11-10,22:28:09,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H9PugTiNtRrT.json,H9,RREEPPLLAACCEE/H9/Pu/H9PugTiNtRrT.mp4,RREEPPLLAACCEE/H9/Pu/H9PugTiNtRrT_small.mp4
