Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jamesorlowski,0,0,0,Unavailable,2020-06-23,00:43:15,Unavailable,,Unavailable,Unavailable,brunoderlin,brunoderlin,brunoderlin,meta-ZpUp1Ss9XmkB.json,Zp,RREEPPLLAACCEE/Zp/Up/ZpUp1Ss9XmkB.mp4,RREEPPLLAACCEE/Zp/Up/ZpUp1Ss9XmkB_small.mp4
Sophie,0,0,0,Unavailable,2020-10-13,13:38:13,Unavailable,Unavailable,Unavailable,Unavailable,Sophie,Sophie,Sophie,meta-zP5bZuRZ52Ch.json,zP,RREEPPLLAACCEE/zP/5b/zP5bZuRZ52Ch.mp4,RREEPPLLAACCEE/zP/5b/zP5bZuRZ52Ch_small.mp4
rossn,0,0,0,Unavailable,2020-07-19,16:03:42,Unavailable,Unavailable,Unavailable,Unavailable,rossn,rossn,rossn,meta-zPdovemUN9Uj.json,zP,RREEPPLLAACCEE/zP/do/zPdovemUN9Uj.mp4,RREEPPLLAACCEE/zP/do/zPdovemUN9Uj_small.mp4
jmzuc,0,0,0,Unavailable,2020-08-22,09:22:31,Unavailable,,Unavailable,Unavailable,jmzuc,jmzuc,jmzuc,meta-zPlV4gMWZspC.json,zP,RREEPPLLAACCEE/zP/lV/zPlV4gMWZspC.mp4,RREEPPLLAACCEE/zP/lV/zPlV4gMWZspC_small.mp4
glaub,0,0,0,Unavailable,2020-10-21,13:44:14,Unavailable,Unavailable,Unavailable,Unavailable,glaub,glaub,glaub,meta-zPu5RbCXX82b.json,zP,RREEPPLLAACCEE/zP/u5/zPu5RbCXX82b.mp4,RREEPPLLAACCEE/zP/u5/zPu5RbCXX82b_small.mp4
Unavailable,35.6715,139.7551,0,Above Sea Level,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZP0u3kSG5pzr.json,ZP,RREEPPLLAACCEE/ZP/0u/ZP0u3kSG5pzr.mp4,RREEPPLLAACCEE/ZP/0u/ZP0u3kSG5pzr_small.mp4
Unavailable,38.8033,121.2000,103.92,Above Sea Level,2021-01-09,04:08:49,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZP4UZ0bVMiXh.json,ZP,RREEPPLLAACCEE/ZP/4U/ZP4UZ0bVMiXh.mp4,RREEPPLLAACCEE/ZP/4U/ZP4UZ0bVMiXh_small.mp4
Unavailable,27.7776,82.3258,21.402,Above Sea Level,2020-10-02,03:25:58,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZP7tPpVVH2N5.json,ZP,RREEPPLLAACCEE/ZP/7t/ZP7tPpVVH2N5.mp4,RREEPPLLAACCEE/ZP/7t/ZP7tPpVVH2N5_small.mp4
Unavailable,39.0047,76.4987,0,Unavailable,2020-09-07,16:03:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZP9ZQNocO0ZD.json,ZP,RREEPPLLAACCEE/ZP/9Z/ZP9ZQNocO0ZD.mp4,RREEPPLLAACCEE/ZP/9Z/ZP9ZQNocO0ZD_small.mp4
Unavailable,32.4674,97.7186,255.638,Above Sea Level,2021-01-08,20:32:31,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZPAmG2sug65O.json,ZP,RREEPPLLAACCEE/ZP/Am/ZPAmG2sug65O.mp4,RREEPPLLAACCEE/ZP/Am/ZPAmG2sug65O_small.mp4
