Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
HinesleyFamily,0,0,0,Unavailable,2018-02-06,23:34:59,Unavailable,Unavailable,Unavailable,Unavailable,HinesleyFamily,HinesleyFamily,HinesleyFamily,meta-KUWDd52LlcS5.json,KU,RREEPPLLAACCEE/KU/WD/KUWDd52LlcS5.mp4,RREEPPLLAACCEE/KU/WD/KUWDd52LlcS5_small.mp4
Administrator,0,0,0,Unavailable,2020-10-28,01:46:54,Unavailable,Unavailable,Unavailable,Unavailable,Administrator,Administrator,Administrator,meta-Ku7a6zJEwBuC.json,Ku,RREEPPLLAACCEE/Ku/7a/Ku7a6zJEwBuC.mp4,RREEPPLLAACCEE/Ku/7a/Ku7a6zJEwBuC_small.mp4
Bgregg,0,0,0,Unavailable,2020-11-20,19:16:57,Unavailable,,Unavailable,Unavailable,Bgregg,Bgregg,Bgregg,meta-KumziYLI0vHi.json,Ku,RREEPPLLAACCEE/Ku/mz/KumziYLI0vHi.mp4,RREEPPLLAACCEE/Ku/mz/KumziYLI0vHi_small.mp4
garre,0,0,0,Unavailable,2020-06-26,17:10:22,Unavailable,Unavailable,Unavailable,Unavailable,garre,garre,garre,meta-KunrOPKPyTaM.json,Ku,RREEPPLLAACCEE/Ku/nr/KunrOPKPyTaM.mp4,RREEPPLLAACCEE/Ku/nr/KunrOPKPyTaM_small.mp4
vadimgrebennikov,0,0,0,Unavailable,2020-11-13,11:54:43,Canon,,,,vadimgrebennikov,vadimgrebennikov,vadimgrebennikov,meta-ku5DEL5wUrQv.json,ku,RREEPPLLAACCEE/ku/5D/ku5DEL5wUrQv.mp4,RREEPPLLAACCEE/ku/5D/ku5DEL5wUrQv_small.mp4
102531,0,0,0,Unavailable,2020-09-24,18:54:35,Unavailable,Unavailable,Unavailable,Unavailable,102531,102531,102531,meta-kueo8Wqud4IO.json,ku,RREEPPLLAACCEE/ku/eo/kueo8Wqud4IO.mp4,RREEPPLLAACCEE/ku/eo/kueo8Wqud4IO_small.mp4
Unavailable,32.9668,117.1770,98.46,Above Sea Level,2020-11-18,05:22:08,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KU625ylHrqax.json,KU,RREEPPLLAACCEE/KU/62/KU625ylHrqax.mp4,RREEPPLLAACCEE/KU/62/KU625ylHrqax_small.mp4
Unavailable,35.8476,80.8412,256.066,Above Sea Level,2020-08-18,23:35:55,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KUAbDZSzSsRm.json,KU,RREEPPLLAACCEE/KU/Ab/KUAbDZSzSsRm.mp4,RREEPPLLAACCEE/KU/Ab/KUAbDZSzSsRm_small.mp4
Unavailable,39.9638,104.9934,1596.448,Above Sea Level,2020-06-30,01:56:36,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KUEYJYFxbDBf.json,KU,RREEPPLLAACCEE/KU/EY/KUEYJYFxbDBf.mp4,RREEPPLLAACCEE/KU/EY/KUEYJYFxbDBf_small.mp4
Unavailable,39.2775,76.4822,0,Unavailable,2020-11-14,22:41:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KUEyjl0C1PNQ.json,KU,RREEPPLLAACCEE/KU/Ey/KUEyjl0C1PNQ.mp4,RREEPPLLAACCEE/KU/Ey/KUEyjl0C1PNQ_small.mp4
