Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
automono,0,0,0,Unavailable,2020-07-02,14:28:35,Unavailable,Unavailable,Unavailable,Unavailable,vinicius.freitas,vinicius.freitas,vinicius.freitas,meta-FFEeYliEgbTm.json,FF,RREEPPLLAACCEE/FF/Ee/FFEeYliEgbTm.mp4,RREEPPLLAACCEE/FF/Ee/FFEeYliEgbTm_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-12-09,18:35:28,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-FFcNc4li67yB.json,FF,RREEPPLLAACCEE/FF/cN/FFcNc4li67yB.mp4,RREEPPLLAACCEE/FF/cN/FFcNc4li67yB_small.mp4
motes,0,0,0,Unavailable,2020-06-06,06:19:27,Unavailable,,Unavailable,Unavailable,motes,motes,motes,meta-Ff7mS6Zfb8HT.json,Ff,RREEPPLLAACCEE/Ff/7m/Ff7mS6Zfb8HT.mp4,RREEPPLLAACCEE/Ff/7m/Ff7mS6Zfb8HT_small.mp4
Monster Dell,0,0,0,Unavailable,2020-07-05,21:33:08,Unavailable,Unavailable,Unavailable,Unavailable,Monster Dell,Monster Dell,Monster Dell,meta-fFqa1WjkgiYY.json,fF,RREEPPLLAACCEE/fF/qa/fFqa1WjkgiYY.mp4,RREEPPLLAACCEE/fF/qa/fFqa1WjkgiYY_small.mp4
Ali Uluisik,0,0,0,Unavailable,2020-12-20,18:47:50,Unavailable,Unavailable,Unavailable,Unavailable,Ali Uluisik,Ali Uluisik,Ali Uluisik,meta-fFzAz125hZnr.json,fF,RREEPPLLAACCEE/fF/zA/fFzAz125hZnr.mp4,RREEPPLLAACCEE/fF/zA/fFzAz125hZnr_small.mp4
Melanie,0,0,0,Unavailable,2020-11-05,00:23:16,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-ffDOrGpKJO6F.json,ff,RREEPPLLAACCEE/ff/DO/ffDOrGpKJO6F.mp4,RREEPPLLAACCEE/ff/DO/ffDOrGpKJO6F_small.mp4
Jason,0,0,0,Unavailable,2020-12-15,15:18:43,Unavailable,Unavailable,Unavailable,Unavailable,Jason,Jason,Jason,meta-fffsPv4JBerp.json,ff,RREEPPLLAACCEE/ff/fs/fffsPv4JBerp.mp4,RREEPPLLAACCEE/ff/fs/fffsPv4JBerp_small.mp4
Unavailable,25.8536,80.2957,2.602,Above Sea Level,2021-01-01,16:05:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FF07iam0CDBF.json,FF,RREEPPLLAACCEE/FF/07/FF07iam0CDBF.mp4,RREEPPLLAACCEE/FF/07/FF07iam0CDBF_small.mp4
Unavailable,30.2714,97.7474,152.048,Above Sea Level,2020-12-07,02:44:48,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FF5JH8nqFqfz.json,FF,RREEPPLLAACCEE/FF/5J/FF5JH8nqFqfz.mp4,RREEPPLLAACCEE/FF/5J/FF5JH8nqFqfz_small.mp4
Unavailable,36.2758,115.0279,605.885,Above Sea Level,2020-11-01,22:10:41,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FF79Ajq4E4SG.json,FF,RREEPPLLAACCEE/FF/79/FF79Ajq4E4SG.mp4,RREEPPLLAACCEE/FF/79/FF79Ajq4E4SG_small.mp4
