Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
davidwallace,0,0,0,Unavailable,2020-08-29,12:15:49,NIKON CORPORATION,,Unavailable,Unavailable,davidwallace,davidwallace,davidwallace,meta-KDZFr5QV9RKC.json,KD,RREEPPLLAACCEE/KD/ZF/KDZFr5QV9RKC.mp4,RREEPPLLAACCEE/KD/ZF/KDZFr5QV9RKC_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-05,23:58:21,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-KdotEAu72ncM.json,Kd,RREEPPLLAACCEE/Kd/ot/KdotEAu72ncM.mp4,RREEPPLLAACCEE/Kd/ot/KdotEAu72ncM_small.mp4
anthony072420,0,0,0,Unavailable,2021-01-07,15:32:37,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-kdIxcSVGI8At.json,kd,RREEPPLLAACCEE/kd/Ix/kdIxcSVGI8At.mp4,RREEPPLLAACCEE/kd/Ix/kdIxcSVGI8At_small.mp4
anthony072420,0,0,0,Unavailable,2021-01-06,20:02:45,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-kdXkEk963U94.json,kd,RREEPPLLAACCEE/kd/Xk/kdXkEk963U94.mp4,RREEPPLLAACCEE/kd/Xk/kdXkEk963U94_small.mp4
briandixon,0,0,0,Unavailable,2020-11-10,11:53:45,Unavailable,Unavailable,Unavailable,Unavailable,briandixon,briandixon,briandixon,meta-kdcyPK9DnGkx.json,kd,RREEPPLLAACCEE/kd/cy/kdcyPK9DnGkx.mp4,RREEPPLLAACCEE/kd/cy/kdcyPK9DnGkx_small.mp4
irenegabuardi,0,0,0,Unavailable,2020-12-11,21:13:11,Unavailable,Unavailable,Unavailable,Unavailable,irenegabuardi,irenegabuardi,irenegabuardi,meta-kdyEi7rjZdd4.json,kd,RREEPPLLAACCEE/kd/yE/kdyEi7rjZdd4.mp4,RREEPPLLAACCEE/kd/yE/kdyEi7rjZdd4_small.mp4
Unavailable,42.2540,85.0169,277.451,Above Sea Level,2020-08-25,23:24:57,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KD1PzOYlM03f.json,KD,RREEPPLLAACCEE/KD/1P/KD1PzOYlM03f.mp4,RREEPPLLAACCEE/KD/1P/KD1PzOYlM03f_small.mp4
Unavailable,42.5412,70.9769,22.433,Above Sea Level,2020-11-27,21:30:51,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KD3qHvvVwhVN.json,KD,RREEPPLLAACCEE/KD/3q/KD3qHvvVwhVN.mp4,RREEPPLLAACCEE/KD/3q/KD3qHvvVwhVN_small.mp4
Unavailable,38.8900,77.0100,14.894,Above Sea Level,2021-01-07,02:01:31,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KDH68TyHUiw5.json,KD,RREEPPLLAACCEE/KD/H6/KDH68TyHUiw5.mp4,RREEPPLLAACCEE/KD/H6/KDH68TyHUiw5_small.mp4
Unavailable,32.8617,97.4904,0,Unavailable,2020-12-20,21:09:44,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KDM7lcvx3Y7s.json,KD,RREEPPLLAACCEE/KD/M7/KDM7lcvx3Y7s.mp4,RREEPPLLAACCEE/KD/M7/KDM7lcvx3Y7s_small.mp4
