Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
imacpro1,0,0,0,Unavailable,2020-08-18,11:22:24,Panasonic,,Unavailable,Unavailable,mikkiwillis,videoimacpro,videoimacpro,meta-OEUxEWTB5X3i.json,OE,RREEPPLLAACCEE/OE/Ux/OEUxEWTB5X3i.mp4,RREEPPLLAACCEE/OE/Ux/OEUxEWTB5X3i_small.mp4
sabrinajunqua,0,0,0,Unavailable,2020-09-21,20:35:51,Unavailable,Unavailable,Unavailable,Unavailable,sabrinajunqua,sabrinajunqua,sabrinajunqua,meta-OeCACCGKxQoh.json,Oe,RREEPPLLAACCEE/Oe/CA/OeCACCGKxQoh.mp4,RREEPPLLAACCEE/Oe/CA/OeCACCGKxQoh_small.mp4
JonnyT,0,0,0,Unavailable,2019-01-13,18:06:08,Unavailable,Unavailable,Unavailable,Unavailable,JonnyT,JonnyT,JonnyT,meta-oE2l5uUnRW4h.json,oE,RREEPPLLAACCEE/oE/2l/oE2l5uUnRW4h.mp4,RREEPPLLAACCEE/oE/2l/oE2l5uUnRW4h_small.mp4
carlosleite,0,0,0,Unavailable,2021-01-06,05:31:09,Unavailable,Unavailable,Unavailable,Unavailable,carlosleite,carlosleite,carlosleite,meta-oE5Z58KgCVsV.json,oE,RREEPPLLAACCEE/oE/5Z/oE5Z58KgCVsV.mp4,RREEPPLLAACCEE/oE/5Z/oE5Z58KgCVsV_small.mp4
Daniel,0,0,0,Unavailable,2020-09-29,18:00:30,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-oEPB2btu4ihc.json,oE,RREEPPLLAACCEE/oE/PB/oEPB2btu4ihc.mp4,RREEPPLLAACCEE/oE/PB/oEPB2btu4ihc_small.mp4
andre,0,0,0,Unavailable,2020-06-28,20:51:34,Canon,,,,andre,andre,andre,meta-oegBHzwTmSqK.json,oe,RREEPPLLAACCEE/oe/gB/oegBHzwTmSqK.mp4,RREEPPLLAACCEE/oe/gB/oegBHzwTmSqK_small.mp4
davidwallace,0,0,0,Unavailable,2020-07-25,14:02:17,Unavailable,Unavailable,Unavailable,Unavailable,davidwallace,davidwallace,davidwallace,meta-oes2p52X0mvC.json,oe,RREEPPLLAACCEE/oe/s2/oes2p52X0mvC.mp4,RREEPPLLAACCEE/oe/s2/oes2p52X0mvC_small.mp4
miguelangelpadrinanalba,0,0,0,Unavailable,2020-11-12,04:09:34,Unavailable,Unavailable,Unavailable,Unavailable,miguelangelpadrinanalba,miguelangelpadrinanalba,miguelangelpadrinanalba,meta-oesOgnMXUTHV.json,oe,RREEPPLLAACCEE/oe/sO/oesOgnMXUTHV.mp4,RREEPPLLAACCEE/oe/sO/oesOgnMXUTHV_small.mp4
Unavailable,47.8778,121.7997,89.368,Above Sea Level,2021-01-07,05:16:48,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OE21ohnqqfck.json,OE,RREEPPLLAACCEE/OE/21/OE21ohnqqfck.mp4,RREEPPLLAACCEE/OE/21/OE21ohnqqfck_small.mp4
Unavailable,47.0749,122.4164,122.342,Above Sea Level,2020-08-31,02:28:38,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OE3C33KRBEZP.json,OE,RREEPPLLAACCEE/OE/3C/OE3C33KRBEZP.mp4,RREEPPLLAACCEE/OE/3C/OE3C33KRBEZP_small.mp4
