Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
One,0,0,0,Unavailable,2020-12-16,21:59:24,Unavailable,Unavailable,Unavailable,Unavailable,One,One,One,meta-KL61E5S3XIhv.json,KL,RREEPPLLAACCEE/KL/61/KL61E5S3XIhv.mp4,RREEPPLLAACCEE/KL/61/KL61E5S3XIhv_small.mp4
jordi,0,0,0,Unavailable,2020-07-23,07:11:42,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-KLdXBfxLKySW.json,KL,RREEPPLLAACCEE/KL/dX/KLdXBfxLKySW.mp4,RREEPPLLAACCEE/KL/dX/KLdXBfxLKySW_small.mp4
Ryan,0,0,0,Unavailable,2020-11-10,07:41:26,Unavailable,Unavailable,Unavailable,Unavailable,Ryan,Ryan,Ryan,meta-Kl3Cut165sRD.json,Kl,RREEPPLLAACCEE/Kl/3C/Kl3Cut165sRD.mp4,RREEPPLLAACCEE/Kl/3C/Kl3Cut165sRD_small.mp4
Robert,0,0,0,Unavailable,2020-12-08,15:34:41,FUJIFILM,,Unavailable,Unavailable,Robert,Robert,Robert,meta-Kl71VbphwG2s.json,Kl,RREEPPLLAACCEE/Kl/71/Kl71VbphwG2s.mp4,RREEPPLLAACCEE/Kl/71/Kl71VbphwG2s_small.mp4
graphicdesigner,0,0,0,Unavailable,2020-12-28,23:23:36,Unavailable,Unavailable,Unavailable,Unavailable,graphicdesigner,graphicdesigner,graphicdesigner,meta-KlifgROWEArM.json,Kl,RREEPPLLAACCEE/Kl/if/KlifgROWEArM.mp4,RREEPPLLAACCEE/Kl/if/KlifgROWEArM_small.mp4
jobet,0,0,0,Unavailable,2020-12-16,02:27:32,Unavailable,,Unavailable,Unavailable,jobet,jobet,jobet,meta-kLW3RfThNf00.json,kL,RREEPPLLAACCEE/kL/W3/kLW3RfThNf00.mp4,RREEPPLLAACCEE/kL/W3/kLW3RfThNf00_small.mp4
jotac,0,0,0,Unavailable,2020-09-02,10:28:08,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-klQUx1qK174y.json,kl,RREEPPLLAACCEE/kl/QU/klQUx1qK174y.mp4,RREEPPLLAACCEE/kl/QU/klQUx1qK174y_small.mp4
Unavailable,42.9710,83.4067,273.471,Above Sea Level,2020-11-07,17:05:05,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KL0XWU6PN3B2.json,KL,RREEPPLLAACCEE/KL/0X/KL0XWU6PN3B2.mp4,RREEPPLLAACCEE/KL/0X/KL0XWU6PN3B2_small.mp4
Unavailable,43.2294,86.3342,179.126,Above Sea Level,2020-09-12,18:34:38,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLBuCTbwXhFO.json,KL,RREEPPLLAACCEE/KL/Bu/KLBuCTbwXhFO.mp4,RREEPPLLAACCEE/KL/Bu/KLBuCTbwXhFO_small.mp4
Unavailable,36.9287,86.4134,174.689,Above Sea Level,2021-01-09,16:07:09,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLCc08jhycCW.json,KL,RREEPPLLAACCEE/KL/Cc/KLCc08jhycCW.mp4,RREEPPLLAACCEE/KL/Cc/KLCc08jhycCW_small.mp4
Unavailable,31.4815,83.6883,107.835,Above Sea Level,2020-06-30,18:47:16,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLJdDQNSoFGm.json,KL,RREEPPLLAACCEE/KL/Jd/KLJdDQNSoFGm.mp4,RREEPPLLAACCEE/KL/Jd/KLJdDQNSoFGm_small.mp4
Unavailable,33.7007,78.9416,4.901,Above Sea Level,2020-11-14,16:04:05,Apple,iPad mini 2,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLVL12AbDx7K.json,KL,RREEPPLLAACCEE/KL/VL/KLVL12AbDx7K.mp4,RREEPPLLAACCEE/KL/VL/KLVL12AbDx7K_small.mp4
Unavailable,50.0998,19.0903,243.321,Above Sea Level,2020-11-09,14:42:35,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLWKogYzOP0k.json,KL,RREEPPLLAACCEE/KL/WK/KLWKogYzOP0k.mp4,RREEPPLLAACCEE/KL/WK/KLWKogYzOP0k_small.mp4
Unavailable,29.4710,81.1820,7.656,Above Sea Level,2020-11-25,13:28:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLYjxYH0Znj6.json,KL,RREEPPLLAACCEE/KL/Yj/KLYjxYH0Znj6.mp4,RREEPPLLAACCEE/KL/Yj/KLYjxYH0Znj6_small.mp4
Unavailable,38.8894,77.0109,10.793,Above Sea Level,2021-01-06,20:09:31,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLa541FJI9cC.json,KL,RREEPPLLAACCEE/KL/a5/KLa541FJI9cC.mp4,RREEPPLLAACCEE/KL/a5/KLa541FJI9cC_small.mp4
Unavailable,31.7889,106.2965,1225.889,Above Sea Level,2020-06-28,13:22:21,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLiYKxfodXCJ.json,KL,RREEPPLLAACCEE/KL/iY/KLiYKxfodXCJ.mp4,RREEPPLLAACCEE/KL/iY/KLiYKxfodXCJ_small.mp4
Unavailable,40.7367,73.5168,31.35,Above Sea Level,2020-12-07,05:09:27,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLjqpwJHZOqf.json,KL,RREEPPLLAACCEE/KL/jq/KLjqpwJHZOqf.mp4,RREEPPLLAACCEE/KL/jq/KLjqpwJHZOqf_small.mp4
Unavailable,30.5219,97.7685,266.429,Above Sea Level,2020-11-18,02:16:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KLvw1Gv9AqSZ.json,KL,RREEPPLLAACCEE/KL/vw/KLvw1Gv9AqSZ.mp4,RREEPPLLAACCEE/KL/vw/KLvw1Gv9AqSZ_small.mp4
Unavailable,30.4566,95.5604,60.576,Above Sea Level,2020-10-04,22:18:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kl8Fz3x7W7Gv.json,Kl,RREEPPLLAACCEE/Kl/8F/Kl8Fz3x7W7Gv.mp4,RREEPPLLAACCEE/Kl/8F/Kl8Fz3x7W7Gv_small.mp4
Unavailable,28.5581,81.2532,22.153,Above Sea Level,2020-07-22,06:23:17,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kl9UhiKyld5U.json,Kl,RREEPPLLAACCEE/Kl/9U/Kl9UhiKyld5U.mp4,RREEPPLLAACCEE/Kl/9U/Kl9UhiKyld5U_small.mp4
Unavailable,50.8823,6.0646,0,Unavailable,2020-11-13,12:52:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KlBmfFWWbNEY.json,Kl,RREEPPLLAACCEE/Kl/Bm/KlBmfFWWbNEY.mp4,RREEPPLLAACCEE/Kl/Bm/KlBmfFWWbNEY_small.mp4
Unavailable,36.1196,85.2502,614.01,Above Sea Level,2021-01-04,21:12:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KlCFSJkynGQa.json,Kl,RREEPPLLAACCEE/Kl/CF/KlCFSJkynGQa.mp4,RREEPPLLAACCEE/Kl/CF/KlCFSJkynGQa_small.mp4
Unavailable,33.5975,91.7911,86.194,Above Sea Level,2020-11-10,03:07:03,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KlG4wtArSYyi.json,Kl,RREEPPLLAACCEE/Kl/G4/KlG4wtArSYyi.mp4,RREEPPLLAACCEE/Kl/G4/KlG4wtArSYyi_small.mp4
Unavailable,27.5190,82.7302,0,Unavailable,2020-11-11,17:19:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KlLWslpffwew.json,Kl,RREEPPLLAACCEE/Kl/LW/KlLWslpffwew.mp4,RREEPPLLAACCEE/Kl/LW/KlLWslpffwew_small.mp4
Unavailable,36.7887,76.0958,0,Unavailable,2020-06-01,04:04:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KleVvyNRMwhm.json,Kl,RREEPPLLAACCEE/Kl/eV/KleVvyNRMwhm.mp4,RREEPPLLAACCEE/Kl/eV/KleVvyNRMwhm_small.mp4
Unavailable,33.7494,112.3294,439.644,Above Sea Level,2020-11-21,16:24:05,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KlfuAvwlPbXc.json,Kl,RREEPPLLAACCEE/Kl/fu/KlfuAvwlPbXc.mp4,RREEPPLLAACCEE/Kl/fu/KlfuAvwlPbXc_small.mp4
Unavailable,46.2324,119.2563,141.441,Above Sea Level,2020-11-29,16:34:15,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KlfyAfvOLpve.json,Kl,RREEPPLLAACCEE/Kl/fy/KlfyAfvOLpve.mp4,RREEPPLLAACCEE/Kl/fy/KlfyAfvOLpve_small.mp4
Unavailable,39.3608,98.7503,521.186,Above Sea Level,2020-07-02,14:25:02,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KllCPSSvDUkt.json,Kl,RREEPPLLAACCEE/Kl/lC/KllCPSSvDUkt.mp4,RREEPPLLAACCEE/Kl/lC/KllCPSSvDUkt_small.mp4
Unavailable,36.7144,76.2363,0,Unavailable,2020-06-28,23:31:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KlnHmwEKpyuh.json,Kl,RREEPPLLAACCEE/Kl/nH/KlnHmwEKpyuh.mp4,RREEPPLLAACCEE/Kl/nH/KlnHmwEKpyuh_small.mp4
Unavailable,33.9884,118.4750,5.812,Above Sea Level,2020-07-31,00:27:40,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KlukIXuV8Ohm.json,Kl,RREEPPLLAACCEE/Kl/uk/KlukIXuV8Ohm.mp4,RREEPPLLAACCEE/Kl/uk/KlukIXuV8Ohm_small.mp4
Unavailable,38.8948,77.0279,5.306,Above Sea Level,2020-11-14,17:11:21,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kL1FdPjYXmEa.json,kL,RREEPPLLAACCEE/kL/1F/kL1FdPjYXmEa.mp4,RREEPPLLAACCEE/kL/1F/kL1FdPjYXmEa_small.mp4
Unavailable,39.7430,105.1213,1711.028,Above Sea Level,2020-11-17,02:01:55,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kL7i342wmUYQ.json,kL,RREEPPLLAACCEE/kL/7i/kL7i342wmUYQ.mp4,RREEPPLLAACCEE/kL/7i/kL7i342wmUYQ_small.mp4
Unavailable,38.8905,77.0104,14.562,Above Sea Level,2021-01-06,22:26:39,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kL7oxKMD3okz.json,kL,RREEPPLLAACCEE/kL/7o/kL7oxKMD3okz.mp4,RREEPPLLAACCEE/kL/7o/kL7oxKMD3okz_small.mp4
Unavailable,38.8905,77.0387,5.939,Above Sea Level,2020-07-04,23:45:48,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kLIzYdgObXhG.json,kL,RREEPPLLAACCEE/kL/Iz/kLIzYdgObXhG.mp4,RREEPPLLAACCEE/kL/Iz/kLIzYdgObXhG_small.mp4
Unavailable,41.5394,89.1086,221.233,Above Sea Level,2020-11-13,22:17:23,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kLJM6iwJi76M.json,kL,RREEPPLLAACCEE/kL/JM/kLJM6iwJi76M.mp4,RREEPPLLAACCEE/kL/JM/kLJM6iwJi76M_small.mp4
Unavailable,37.4977,144.6224,0,Above Sea Level,2020-06-21,14:22:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kLNkaJLXALhN.json,kL,RREEPPLLAACCEE/kL/Nk/kLNkaJLXALhN.mp4,RREEPPLLAACCEE/kL/Nk/kLNkaJLXALhN_small.mp4
Unavailable,3.9060,38.6206,42.473,Above Sea Level,2020-08-04,01:28:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kLVHyJA0S9Lo.json,kL,RREEPPLLAACCEE/kL/VH/kLVHyJA0S9Lo.mp4,RREEPPLLAACCEE/kL/VH/kLVHyJA0S9Lo_small.mp4
Unavailable,38.8901,77.0107,11.156,Above Sea Level,2021-01-06,19:00:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kLb23eMMSAyI.json,kL,RREEPPLLAACCEE/kL/b2/kLb23eMMSAyI.mp4,RREEPPLLAACCEE/kL/b2/kLb23eMMSAyI_small.mp4
Unavailable,37.0286,82.5618,688.591,Above Sea Level,2020-09-27,23:24:54,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kLd5fMyfnKBh.json,kL,RREEPPLLAACCEE/kL/d5/kLd5fMyfnKBh.mp4,RREEPPLLAACCEE/kL/d5/kLd5fMyfnKBh_small.mp4
Unavailable,33.2636,97.1240,194,Above Sea Level,2020-07-20,11:26:00,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kLdjnKtSm0OB.json,kL,RREEPPLLAACCEE/kL/dj/kLdjnKtSm0OB.mp4,RREEPPLLAACCEE/kL/dj/kLdjnKtSm0OB_small.mp4
Unavailable,33.6080,117.1839,517.683,Above Sea Level,2020-12-29,22:58:30,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kLkSxLjbkQA2.json,kL,RREEPPLLAACCEE/kL/kS/kLkSxLjbkQA2.mp4,RREEPPLLAACCEE/kL/kS/kLkSxLjbkQA2_small.mp4
