Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Pablo Cruz,0,0,0,Unavailable,2021-01-04,22:15:54,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-A8c1uKlsNZS7.json,A8,RREEPPLLAACCEE/A8/c1/A8c1uKlsNZS7.mp4,RREEPPLLAACCEE/A8/c1/A8c1uKlsNZS7_small.mp4
Melanie,0,0,0,Unavailable,2021-01-07,01:40:17,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-A8ywaemI4FIX.json,A8,RREEPPLLAACCEE/A8/yw/A8ywaemI4FIX.mp4,RREEPPLLAACCEE/A8/yw/A8ywaemI4FIX_small.mp4
bwilliam,0,0,0,Unavailable,2020-10-11,23:03:25,Unavailable,,Unavailable,Unavailable,bwilliam,bwilliam,bwilliam,meta-a8NUsSsGVctZ.json,a8,RREEPPLLAACCEE/a8/NU/a8NUsSsGVctZ.mp4,RREEPPLLAACCEE/a8/NU/a8NUsSsGVctZ_small.mp4
Unavailable,32.9806,80.1696,8.336,Above Sea Level,2020-11-07,19:53:50,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A84rrpr3v27c.json,A8,RREEPPLLAACCEE/A8/4r/A84rrpr3v27c.mp4,RREEPPLLAACCEE/A8/4r/A84rrpr3v27c_small.mp4
Unavailable,29.1710,82.0590,26.14,Above Sea Level,2020-08-23,21:22:35,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A89c2DG75UaG.json,A8,RREEPPLLAACCEE/A8/9c/A89c2DG75UaG.mp4,RREEPPLLAACCEE/A8/9c/A89c2DG75UaG_small.mp4
Unavailable,40.3196,79.9065,341.24,Above Sea Level,2021-01-08,03:13:07,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A8CR7xmGThTw.json,A8,RREEPPLLAACCEE/A8/CR/A8CR7xmGThTw.mp4,RREEPPLLAACCEE/A8/CR/A8CR7xmGThTw_small.mp4
Unavailable,38.8898,77.0104,14.246,Above Sea Level,2021-01-06,18:45:02,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A8Jiah39MrVY.json,A8,RREEPPLLAACCEE/A8/Ji/A8Jiah39MrVY.mp4,RREEPPLLAACCEE/A8/Ji/A8Jiah39MrVY_small.mp4
Unavailable,33.2290,96.6824,199.419,Above Sea Level,2020-11-13,17:36:27,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A8L6gmAbmJQn.json,A8,RREEPPLLAACCEE/A8/L6/A8L6gmAbmJQn.mp4,RREEPPLLAACCEE/A8/L6/A8L6gmAbmJQn_small.mp4
Unavailable,27.9786,82.5025,11.78,Above Sea Level,2020-10-29,17:18:54,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A8geqhMrHIrZ.json,A8,RREEPPLLAACCEE/A8/ge/A8geqhMrHIrZ.mp4,RREEPPLLAACCEE/A8/ge/A8geqhMrHIrZ_small.mp4
Unavailable,33.1420,97.1153,176.224,Above Sea Level,2020-11-18,04:51:19,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A8iQeArko3j2.json,A8,RREEPPLLAACCEE/A8/iQ/A8iQeArko3j2.mp4,RREEPPLLAACCEE/A8/iQ/A8iQeArko3j2_small.mp4
Unavailable,40.3935,105.0947,1517,Above Sea Level,2020-10-24,19:06:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A8kDz7kWtm30.json,A8,RREEPPLLAACCEE/A8/kD/A8kDz7kWtm30.mp4,RREEPPLLAACCEE/A8/kD/A8kDz7kWtm30_small.mp4
Unavailable,32.9406,116.8714,0,Unavailable,2020-07-22,16:21:09,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-A8mAtcqEheHJ.json,A8,RREEPPLLAACCEE/A8/mA/A8mAtcqEheHJ.mp4,RREEPPLLAACCEE/A8/mA/A8mAtcqEheHJ_small.mp4
