Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
paulcutcliffe,0,0,0,Unavailable,2020-09-11,02:44:58,Unavailable,Unavailable,Unavailable,Unavailable,paulcutcliffe,paulcutcliffe,paulcutcliffe,meta-CIxmnqBnyNo2.json,CI,RREEPPLLAACCEE/CI/xm/CIxmnqBnyNo2.mp4,RREEPPLLAACCEE/CI/xm/CIxmnqBnyNo2_small.mp4
samue,0,0,0,Unavailable,2020-12-24,20:40:49,Unavailable,Unavailable,Unavailable,Unavailable,samue,samue,samue,meta-Ci32j0kl86fW.json,Ci,RREEPPLLAACCEE/Ci/32/Ci32j0kl86fW.mp4,RREEPPLLAACCEE/Ci/32/Ci32j0kl86fW_small.mp4
Dominic,0,0,0,Unavailable,2020-11-09,08:21:43,Unavailable,Unavailable,Unavailable,Unavailable,Dominic,Dominic,Dominic,meta-cIJZXF3Kz6Lb.json,cI,RREEPPLLAACCEE/cI/JZ/cIJZXF3Kz6Lb.mp4,RREEPPLLAACCEE/cI/JZ/cIJZXF3Kz6Lb_small.mp4
nick,0,0,0,Unavailable,2020-10-26,19:58:52,Unavailable,Unavailable,Unavailable,Unavailable,nick,nick,nick,meta-cIqgSe0uzz3T.json,cI,RREEPPLLAACCEE/cI/qg/cIqgSe0uzz3T.mp4,RREEPPLLAACCEE/cI/qg/cIqgSe0uzz3T_small.mp4
Mehran Junejo,0,0,0,Unavailable,2020-07-03,09:02:37,Unavailable,,Unavailable,Unavailable,Mehran Junejo,Mehran Junejo,Mehran Junejo,meta-cijUsGoJCiwV.json,ci,RREEPPLLAACCEE/ci/jU/cijUsGoJCiwV.mp4,RREEPPLLAACCEE/ci/jU/cijUsGoJCiwV_small.mp4
Unavailable,40.2338,104.9966,0,Unavailable,2020-09-18,23:54:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CI49L7SWdq7W.json,CI,RREEPPLLAACCEE/CI/49/CI49L7SWdq7W.mp4,RREEPPLLAACCEE/CI/49/CI49L7SWdq7W_small.mp4
Unavailable,39.6740,74.2313,5.941,Above Sea Level,2020-08-04,16:19:42,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CI8WurXEwO99.json,CI,RREEPPLLAACCEE/CI/8W/CI8WurXEwO99.mp4,RREEPPLLAACCEE/CI/8W/CI8WurXEwO99_small.mp4
Unavailable,39.9939,86.2575,260.989,Above Sea Level,2020-10-12,14:05:06,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CI9oDelvx82H.json,CI,RREEPPLLAACCEE/CI/9o/CI9oDelvx82H.mp4,RREEPPLLAACCEE/CI/9o/CI9oDelvx82H_small.mp4
Unavailable,27.0891,80.2664,3.67,Above Sea Level,2021-01-06,12:51:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIKDQUfJM20g.json,CI,RREEPPLLAACCEE/CI/KD/CIKDQUfJM20g.mp4,RREEPPLLAACCEE/CI/KD/CIKDQUfJM20g_small.mp4
Unavailable,43.3681,124.1487,2.916,Above Sea Level,2020-09-10,01:04:37,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CILoqXX2JKVe.json,CI,RREEPPLLAACCEE/CI/Lo/CILoqXX2JKVe.mp4,RREEPPLLAACCEE/CI/Lo/CILoqXX2JKVe_small.mp4
Unavailable,32.4021,96.8149,180.326,Above Sea Level,2020-11-13,18:40:58,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIRjWfqcAra7.json,CI,RREEPPLLAACCEE/CI/Rj/CIRjWfqcAra7.mp4,RREEPPLLAACCEE/CI/Rj/CIRjWfqcAra7_small.mp4
Unavailable,32.4138,90.1390,94.47,Above Sea Level,2020-04-14,17:32:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIYQGfQayWBv.json,CI,RREEPPLLAACCEE/CI/YQ/CIYQGfQayWBv.mp4,RREEPPLLAACCEE/CI/YQ/CIYQGfQayWBv_small.mp4
Unavailable,40.3196,79.9065,286,Above Sea Level,2020-06-30,21:15:41,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIYsSsWfDTJt.json,CI,RREEPPLLAACCEE/CI/Ys/CIYsSsWfDTJt.mp4,RREEPPLLAACCEE/CI/Ys/CIYsSsWfDTJt_small.mp4
Unavailable,33.1076,80.0383,12.258,Above Sea Level,2020-12-13,14:21:38,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIgcjE3BtOqa.json,CI,RREEPPLLAACCEE/CI/gc/CIgcjE3BtOqa.mp4,RREEPPLLAACCEE/CI/gc/CIgcjE3BtOqa_small.mp4
Unavailable,33.4481,112.0964,328.545,Above Sea Level,2020-12-03,18:02:55,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIh2DYSJ7Mnc.json,CI,RREEPPLLAACCEE/CI/h2/CIh2DYSJ7Mnc.mp4,RREEPPLLAACCEE/CI/h2/CIh2DYSJ7Mnc_small.mp4
Unavailable,25.7325,80.4424,0,Unavailable,2020-07-05,01:37:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIhRDCmCSxwM.json,CI,RREEPPLLAACCEE/CI/hR/CIhRDCmCSxwM.mp4,RREEPPLLAACCEE/CI/hR/CIhRDCmCSxwM_small.mp4
Unavailable,40.7486,73.1679,8.837,Above Sea Level,2020-11-07,02:34:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIsWHd0isgdj.json,CI,RREEPPLLAACCEE/CI/sW/CIsWHd0isgdj.mp4,RREEPPLLAACCEE/CI/sW/CIsWHd0isgdj_small.mp4
Unavailable,32.5218,90.1217,91.81,Above Sea Level,2020-04-20,22:21:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIsccaYAysUH.json,CI,RREEPPLLAACCEE/CI/sc/CIsccaYAysUH.mp4,RREEPPLLAACCEE/CI/sc/CIsccaYAysUH_small.mp4
Unavailable,53.3160,3.0942,44.509,Above Sea Level,2020-11-12,00:45:51,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIxaqqcQbpqo.json,CI,RREEPPLLAACCEE/CI/xa/CIxaqqcQbpqo.mp4,RREEPPLLAACCEE/CI/xa/CIxaqqcQbpqo_small.mp4
Unavailable,36.2580,83.2128,421.859,Above Sea Level,2020-10-25,13:09:14,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CIythYpqOiMB.json,CI,RREEPPLLAACCEE/CI/yt/CIythYpqOiMB.mp4,RREEPPLLAACCEE/CI/yt/CIythYpqOiMB_small.mp4
Unavailable,39.9246,76.7275,210.326,Above Sea Level,2020-12-19,19:24:30,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ci6MYXMg72fn.json,Ci,RREEPPLLAACCEE/Ci/6M/Ci6MYXMg72fn.mp4,RREEPPLLAACCEE/Ci/6M/Ci6MYXMg72fn_small.mp4
Unavailable,3.7851,38.5492,0,Unavailable,2020-07-01,18:10:32,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CiBExYEdeQFQ.json,Ci,RREEPPLLAACCEE/Ci/BE/CiBExYEdeQFQ.mp4,RREEPPLLAACCEE/Ci/BE/CiBExYEdeQFQ_small.mp4
