Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Administrator,0,0,0,Unavailable,2020-10-27,02:27:18,Unavailable,Unavailable,Unavailable,Unavailable,Administrator,Administrator,Administrator,meta-IOtyrFVklRRm.json,IO,RREEPPLLAACCEE/IO/ty/IOtyrFVklRRm.mp4,RREEPPLLAACCEE/IO/ty/IOtyrFVklRRm_small.mp4
dwaynegolbek,0,0,0,Unavailable,2021-01-06,18:13:28,Unavailable,Unavailable,Unavailable,Unavailable,dwaynegolbek,dwaynegolbek,dwaynegolbek,meta-Io8HmyxoB2vS.json,Io,RREEPPLLAACCEE/Io/8H/Io8HmyxoB2vS.mp4,RREEPPLLAACCEE/Io/8H/Io8HmyxoB2vS_small.mp4
Brannen,0,0,0,Unavailable,2020-09-06,03:03:12,Unavailable,Unavailable,Unavailable,Unavailable,Brannen,Brannen,Brannen,meta-Iou55TD9zQ3F.json,Io,RREEPPLLAACCEE/Io/u5/Iou55TD9zQ3F.mp4,RREEPPLLAACCEE/Io/u5/Iou55TD9zQ3F_small.mp4
Melanie,0,0,0,Unavailable,2020-12-08,02:54:50,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-iO4Rd1RlsY1b.json,iO,RREEPPLLAACCEE/iO/4R/iO4Rd1RlsY1b.mp4,RREEPPLLAACCEE/iO/4R/iO4Rd1RlsY1b_small.mp4
Public,0,0,0,Unavailable,2020-03-19,01:01:17,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-iOwez2wdIl5q.json,iO,RREEPPLLAACCEE/iO/we/iOwez2wdIl5q.mp4,RREEPPLLAACCEE/iO/we/iOwez2wdIl5q_small.mp4
Daniel,0,0,0,Unavailable,2020-04-25,18:12:29,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-iogTGVbbRFew.json,io,RREEPPLLAACCEE/io/gT/iogTGVbbRFew.mp4,RREEPPLLAACCEE/io/gT/iogTGVbbRFew_small.mp4
dapoopta,0,0,0,Unavailable,2020-11-25,20:45:32,Panasonic,,,Unavailable,dapoopta,dapoopta,dapoopta,meta-iosXmSnhmvgy.json,io,RREEPPLLAACCEE/io/sX/iosXmSnhmvgy.mp4,RREEPPLLAACCEE/io/sX/iosXmSnhmvgy_small.mp4
Unavailable,28.9565,80.9064,3.242,Above Sea Level,2020-11-21,03:53:28,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IO0Z1XitsIoh.json,IO,RREEPPLLAACCEE/IO/0Z/IO0Z1XitsIoh.mp4,RREEPPLLAACCEE/IO/0Z/IO0Z1XitsIoh_small.mp4
Unavailable,42.1038,71.3074,57.605,Above Sea Level,2020-10-23,21:32:33,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IO4JkGx5ysOz.json,IO,RREEPPLLAACCEE/IO/4J/IO4JkGx5ysOz.mp4,RREEPPLLAACCEE/IO/4J/IO4JkGx5ysOz_small.mp4
Unavailable,28.6168,81.4491,21.395,Above Sea Level,2020-11-21,01:46:15,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IOCVBOHBZjWU.json,IO,RREEPPLLAACCEE/IO/CV/IOCVBOHBZjWU.mp4,RREEPPLLAACCEE/IO/CV/IOCVBOHBZjWU_small.mp4
Unavailable,39.9244,76.7274,210,Above Sea Level,2020-05-23,01:57:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IOGpDSAOxOdx.json,IO,RREEPPLLAACCEE/IO/Gp/IOGpDSAOxOdx.mp4,RREEPPLLAACCEE/IO/Gp/IOGpDSAOxOdx_small.mp4
Unavailable,45.4801,73.6201,88.474,Above Sea Level,2020-11-16,05:26:02,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IOI0M3k9ZIme.json,IO,RREEPPLLAACCEE/IO/I0/IOI0M3k9ZIme.mp4,RREEPPLLAACCEE/IO/I0/IOI0M3k9ZIme_small.mp4
Unavailable,40.0181,75.6399,89.19,Above Sea Level,2020-07-01,17:06:35,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IOIMxYxnCZXQ.json,IO,RREEPPLLAACCEE/IO/IM/IOIMxYxnCZXQ.mp4,RREEPPLLAACCEE/IO/IM/IOIMxYxnCZXQ_small.mp4
Unavailable,26.3675,80.0899,4.907,Above Sea Level,2020-12-02,23:58:34,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IOIa3X7ue6sR.json,IO,RREEPPLLAACCEE/IO/Ia/IOIa3X7ue6sR.mp4,RREEPPLLAACCEE/IO/Ia/IOIa3X7ue6sR_small.mp4
Unavailable,32.9623,96.9947,152.85,Above Sea Level,2020-12-03,19:12:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IOO3tTGLrkmA.json,IO,RREEPPLLAACCEE/IO/O3/IOO3tTGLrkmA.mp4,RREEPPLLAACCEE/IO/O3/IOO3tTGLrkmA_small.mp4
