Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Jane,0,0,0,Unavailable,2020-12-16,18:46:40,Unavailable,Unavailable,Unavailable,Unavailable,Jane,Jane,Jane,meta-Ob3PdNiXTfEn.json,Ob,RREEPPLLAACCEE/Ob/3P/Ob3PdNiXTfEn.mp4,RREEPPLLAACCEE/Ob/3P/Ob3PdNiXTfEn_small.mp4
marciohenriquecaruso,0,0,0,Unavailable,2020-07-09,22:49:51,Unavailable,Unavailable,Unavailable,Unavailable,marciohenriquecaruso,marciohenriquecaruso,marciohenriquecaruso,meta-ObFqkrmwUJOf.json,Ob,RREEPPLLAACCEE/Ob/Fq/ObFqkrmwUJOf.mp4,RREEPPLLAACCEE/Ob/Fq/ObFqkrmwUJOf_small.mp4
Administrator,0,0,0,Unavailable,2020-10-28,01:01:37,Unavailable,Unavailable,Unavailable,Unavailable,Administrator,Administrator,Administrator,meta-oBPIH3PMBmRU.json,oB,RREEPPLLAACCEE/oB/PI/oBPIH3PMBmRU.mp4,RREEPPLLAACCEE/oB/PI/oBPIH3PMBmRU_small.mp4
jotac,0,0,0,Unavailable,2020-09-20,20:08:09,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-oBYCAJZ4uz2J.json,oB,RREEPPLLAACCEE/oB/YC/oBYCAJZ4uz2J.mp4,RREEPPLLAACCEE/oB/YC/oBYCAJZ4uz2J_small.mp4
alice,0,0,0,Unavailable,2020-12-09,21:02:13,Unavailable,Unavailable,Unavailable,Unavailable,alice,alice,alice,meta-oBufhyROTSJB.json,oB,RREEPPLLAACCEE/oB/uf/oBufhyROTSJB.mp4,RREEPPLLAACCEE/oB/uf/oBufhyROTSJB_small.mp4
Jimbo,0,0,0,Unavailable,2020-08-27,23:02:58,NIKON CORPORATION,,Unavailable,Unavailable,Jimbo,Jimbo,Jimbo,meta-ob6yyMD2ugkn.json,ob,RREEPPLLAACCEE/ob/6y/ob6yyMD2ugkn.mp4,RREEPPLLAACCEE/ob/6y/ob6yyMD2ugkn_small.mp4
marks,0,0,0,Unavailable,2020-10-24,18:55:35,Unavailable,Unavailable,Unavailable,Unavailable,marks,markstout,markstout,meta-ob8YXqkP5UJY.json,ob,RREEPPLLAACCEE/ob/8Y/ob8YXqkP5UJY.mp4,RREEPPLLAACCEE/ob/8Y/ob8YXqkP5UJY_small.mp4
marcorem,0,0,0,Unavailable,2020-09-10,11:55:14,Unavailable,Unavailable,Unavailable,Unavailable,marcorem,marcorem,marcorem,meta-obx4IneOItCr.json,ob,RREEPPLLAACCEE/ob/x4/obx4IneOItCr.mp4,RREEPPLLAACCEE/ob/x4/obx4IneOItCr_small.mp4
Unavailable,33.8770,118.0486,20.981,Above Sea Level,2020-11-08,05:18:16,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OB3f5tUbQ4oN.json,OB,RREEPPLLAACCEE/OB/3f/OB3f5tUbQ4oN.mp4,RREEPPLLAACCEE/OB/3f/OB3f5tUbQ4oN_small.mp4
Unavailable,34.1358,118.2635,140.925,Above Sea Level,2020-11-06,20:12:54,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OB95uOR0aX8V.json,OB,RREEPPLLAACCEE/OB/95/OB95uOR0aX8V.mp4,RREEPPLLAACCEE/OB/95/OB95uOR0aX8V_small.mp4
