Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
melinachan,0,0,0,Unavailable,2020-08-17,23:57:00,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-UHBfCtoHD3wa.json,UH,RREEPPLLAACCEE/UH/Bf/UHBfCtoHD3wa.mp4,RREEPPLLAACCEE/UH/Bf/UHBfCtoHD3wa_small.mp4
robdew,0,0,0,Unavailable,2020-04-25,21:09:20,Unavailable,Unavailable,Unavailable,Unavailable,robdew,robdew,robdew,meta-UHD3ptVxK0IU.json,UH,RREEPPLLAACCEE/UH/D3/UHD3ptVxK0IU.mp4,RREEPPLLAACCEE/UH/D3/UHD3ptVxK0IU_small.mp4
J,0,0,0,Unavailable,2020-09-13,02:31:19,Unavailable,Unavailable,Unavailable,Unavailable,J,J,J,meta-UHRtW72UwipE.json,UH,RREEPPLLAACCEE/UH/Rt/UHRtW72UwipE.mp4,RREEPPLLAACCEE/UH/Rt/UHRtW72UwipE_small.mp4
emersonhuff,0,0,0,Unavailable,2020-12-11,05:38:14,Unavailable,Unavailable,Unavailable,Unavailable,emersonhuff,emersonhuff,emersonhuff,meta-UhB4kubYAu17.json,Uh,RREEPPLLAACCEE/Uh/B4/UhB4kubYAu17.mp4,RREEPPLLAACCEE/Uh/B4/UhB4kubYAu17_small.mp4
Lucy,0,0,0,Unavailable,2020-10-20,10:57:22,Unavailable,Unavailable,Unavailable,Unavailable,Lucy,Lucy,Lucy,meta-uhCx2a5jOj6o.json,uh,RREEPPLLAACCEE/uh/Cx/uhCx2a5jOj6o.mp4,RREEPPLLAACCEE/uh/Cx/uhCx2a5jOj6o_small.mp4
Unavailable,42.9744,85.6606,210.921,Above Sea Level,2020-12-27,07:10:55,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UH0LQqvN8lcb.json,UH,RREEPPLLAACCEE/UH/0L/UH0LQqvN8lcb.mp4,RREEPPLLAACCEE/UH/0L/UH0LQqvN8lcb_small.mp4
Unavailable,35.1700,107.8156,1989.55,Above Sea Level,2020-10-04,16:22:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UH1sl75UKrms.json,UH,RREEPPLLAACCEE/UH/1s/UH1sl75UKrms.mp4,RREEPPLLAACCEE/UH/1s/UH1sl75UKrms_small.mp4
Unavailable,40.3198,79.9067,340.52,Above Sea Level,2020-10-24,19:47:09,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UHFMmU7caYY9.json,UH,RREEPPLLAACCEE/UH/FM/UHFMmU7caYY9.mp4,RREEPPLLAACCEE/UH/FM/UHFMmU7caYY9_small.mp4
Unavailable,33.1530,91.0538,22.587,Above Sea Level,2020-10-31,22:33:44,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UHJXsHOg770N.json,UH,RREEPPLLAACCEE/UH/JX/UHJXsHOg770N.mp4,RREEPPLLAACCEE/UH/JX/UHJXsHOg770N_small.mp4
Unavailable,42.5770,83.0995,197.257,Above Sea Level,2020-12-10,17:51:15,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UHN9g55DXXIX.json,UH,RREEPPLLAACCEE/UH/N9/UHN9g55DXXIX.mp4,RREEPPLLAACCEE/UH/N9/UHN9g55DXXIX_small.mp4
