Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
ianrossenrode,0,0,0,Unavailable,2020-09-02,12:43:18,Unavailable,Unavailable,Unavailable,Unavailable,ianrossenrode,ianrossenrode,ianrossenrode,meta-9IOQWF7s3L35.json,9I,RREEPPLLAACCEE/9I/OQ/9IOQWF7s3L35.mp4,RREEPPLLAACCEE/9I/OQ/9IOQWF7s3L35_small.mp4
Melanie,0,0,0,Unavailable,2020-12-15,23:54:19,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-9i3kMXuhmo8g.json,9i,RREEPPLLAACCEE/9i/3k/9i3kMXuhmo8g.mp4,RREEPPLLAACCEE/9i/3k/9i3kMXuhmo8g_small.mp4
Nathan,0,0,0,Unavailable,2020-08-12,16:53:28,Unavailable,Unavailable,Unavailable,Unavailable,Nathan,Nathan,Nathan,meta-9iSxlr3QmP34.json,9i,RREEPPLLAACCEE/9i/Sx/9iSxlr3QmP34.mp4,RREEPPLLAACCEE/9i/Sx/9iSxlr3QmP34_small.mp4
Deco,0,0,0,Unavailable,2020-11-02,18:09:20,NIKON CORPORATION,,,Unavailable,Deco,Deco,Deco,meta-9iZPekDpXAiz.json,9i,RREEPPLLAACCEE/9i/ZP/9iZPekDpXAiz.mp4,RREEPPLLAACCEE/9i/ZP/9iZPekDpXAiz_small.mp4
Unavailable,44.8996,92.9213,296.429,Above Sea Level,2020-07-23,18:33:16,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9I0GdYQxxetw.json,9I,RREEPPLLAACCEE/9I/0G/9I0GdYQxxetw.mp4,RREEPPLLAACCEE/9I/0G/9I0GdYQxxetw_small.mp4
Unavailable,40.8950,73.0282,34.85,Above Sea Level,2020-06-24,18:23:00,Apple,iPhone SE,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9I1BnLk2IE1j.json,9I,RREEPPLLAACCEE/9I/1B/9I1BnLk2IE1j.mp4,RREEPPLLAACCEE/9I/1B/9I1BnLk2IE1j_small.mp4
Unavailable,33.5180,112.1856,0,Unavailable,2020-07-29,19:19:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9I66yKaQtPLr.json,9I,RREEPPLLAACCEE/9I/66/9I66yKaQtPLr.mp4,RREEPPLLAACCEE/9I/66/9I66yKaQtPLr_small.mp4
Unavailable,40.5230,85.7872,262.124,Above Sea Level,2020-10-09,14:14:51,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9IC4OVXfh66R.json,9I,RREEPPLLAACCEE/9I/C4/9IC4OVXfh66R.mp4,RREEPPLLAACCEE/9I/C4/9IC4OVXfh66R_small.mp4
Unavailable,31.3095,89.2351,0,Unavailable,2020-11-26,00:17:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9IDbQ8w119uX.json,9I,RREEPPLLAACCEE/9I/Db/9IDbQ8w119uX.mp4,RREEPPLLAACCEE/9I/Db/9IDbQ8w119uX_small.mp4
Unavailable,33.7437,85.0340,359.443,Above Sea Level,2020-11-17,20:46:04,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9IG9YoXo0Lhn.json,9I,RREEPPLLAACCEE/9I/G9/9IG9YoXo0Lhn.mp4,RREEPPLLAACCEE/9I/G9/9IG9YoXo0Lhn_small.mp4
Unavailable,27.6335,97.3137,7.599,Above Sea Level,2020-11-08,18:03:30,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9IGw1XF1tBDY.json,9I,RREEPPLLAACCEE/9I/Gw/9IGw1XF1tBDY.mp4,RREEPPLLAACCEE/9I/Gw/9IGw1XF1tBDY_small.mp4
Unavailable,30.4538,97.6462,238.358,Above Sea Level,2020-12-08,20:49:09,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9INCdCoTT5lu.json,9I,RREEPPLLAACCEE/9I/NC/9INCdCoTT5lu.mp4,RREEPPLLAACCEE/9I/NC/9INCdCoTT5lu_small.mp4
Unavailable,45.9123,112.7031,1737.417,Above Sea Level,2020-11-27,00:23:38,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9IaPlLZLz2HB.json,9I,RREEPPLLAACCEE/9I/aP/9IaPlLZLz2HB.mp4,RREEPPLLAACCEE/9I/aP/9IaPlLZLz2HB_small.mp4
Unavailable,38.8969,77.0335,11.103,Above Sea Level,2020-11-15,00:40:28,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9IjCtyUzNRNY.json,9I,RREEPPLLAACCEE/9I/jC/9IjCtyUzNRNY.mp4,RREEPPLLAACCEE/9I/jC/9IjCtyUzNRNY_small.mp4
Unavailable,35.7587,80.7863,266.251,Above Sea Level,2020-11-15,18:51:34,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9IkdpWrgUGA0.json,9I,RREEPPLLAACCEE/9I/kd/9IkdpWrgUGA0.mp4,RREEPPLLAACCEE/9I/kd/9IkdpWrgUGA0_small.mp4
Unavailable,33.6951,116.3071,14.693,Above Sea Level,2020-12-06,18:55:53,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Imtfgcj1YYV.json,9I,RREEPPLLAACCEE/9I/mt/9Imtfgcj1YYV.mp4,RREEPPLLAACCEE/9I/mt/9Imtfgcj1YYV_small.mp4
Unavailable,36.1767,85.4792,346.895,Above Sea Level,2020-03-03,07:50:49,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9IpZ4o0a0Kx9.json,9I,RREEPPLLAACCEE/9I/pZ/9IpZ4o0a0Kx9.mp4,RREEPPLLAACCEE/9I/pZ/9IpZ4o0a0Kx9_small.mp4
Unavailable,42.8504,106.3182,0,Unavailable,2020-11-12,15:34:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Iu6SC4GOmCt.json,9I,RREEPPLLAACCEE/9I/u6/9Iu6SC4GOmCt.mp4,RREEPPLLAACCEE/9I/u6/9Iu6SC4GOmCt_small.mp4
Unavailable,47.0638,25.9465,0,Unavailable,2020-08-06,03:31:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Iy4HJ75kPhR.json,9I,RREEPPLLAACCEE/9I/y4/9Iy4HJ75kPhR.mp4,RREEPPLLAACCEE/9I/y4/9Iy4HJ75kPhR_small.mp4
Unavailable,28.3408,80.7501,8.148,Above Sea Level,2020-12-10,23:46:29,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9i5qMdWqPLqi.json,9i,RREEPPLLAACCEE/9i/5q/9i5qMdWqPLqi.mp4,RREEPPLLAACCEE/9i/5q/9i5qMdWqPLqi_small.mp4
