Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
User,0,0,0,Unavailable,2020-12-20,09:54:29,Unavailable,Unavailable,Unavailable,Unavailable,User,User,User,meta-O5nKe0sbnkdv.json,O5,RREEPPLLAACCEE/O5/nK/O5nKe0sbnkdv.mp4,RREEPPLLAACCEE/O5/nK/O5nKe0sbnkdv_small.mp4
Owner,0,0,0,Unavailable,2020-12-24,02:51:59,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-o50SKSC4QX1U.json,o5,RREEPPLLAACCEE/o5/0S/o50SKSC4QX1U.mp4,RREEPPLLAACCEE/o5/0S/o50SKSC4QX1U_small.mp4
setayesh,0,0,0,Unavailable,2020-11-15,16:37:04,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-o58WSVNODrUN.json,o5,RREEPPLLAACCEE/o5/8W/o58WSVNODrUN.mp4,RREEPPLLAACCEE/o5/8W/o58WSVNODrUN_small.mp4
asomoskey,0,0,0,Unavailable,2020-11-11,20:26:25,Unavailable,Unavailable,Unavailable,Unavailable,asomoskey,asomoskey,asomoskey,meta-o5o7AvCchA6u.json,o5,RREEPPLLAACCEE/o5/o7/o5o7AvCchA6u.mp4,RREEPPLLAACCEE/o5/o7/o5o7AvCchA6u_small.mp4
Unavailable,35.1185,81.6020,189.963,Above Sea Level,2020-12-12,23:08:19,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-O50p89BoemPg.json,O5,RREEPPLLAACCEE/O5/0p/O50p89BoemPg.mp4,RREEPPLLAACCEE/O5/0p/O50p89BoemPg_small.mp4
Unavailable,26.5053,81.9568,3.189,Above Sea Level,2020-11-30,18:11:09,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-O5BJCFdk8ihz.json,O5,RREEPPLLAACCEE/O5/BJ/O5BJCFdk8ihz.mp4,RREEPPLLAACCEE/O5/BJ/O5BJCFdk8ihz_small.mp4
Unavailable,32.9725,116.9549,748.706,Above Sea Level,2020-10-30,14:10:57,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-O5BgYKyId4oz.json,O5,RREEPPLLAACCEE/O5/Bg/O5BgYKyId4oz.mp4,RREEPPLLAACCEE/O5/Bg/O5BgYKyId4oz_small.mp4
Unavailable,33.2008,111.6774,0,Unavailable,2020-11-09,20:48:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-O5DaAolg22r8.json,O5,RREEPPLLAACCEE/O5/Da/O5DaAolg22r8.mp4,RREEPPLLAACCEE/O5/Da/O5DaAolg22r8_small.mp4
Unavailable,40.7312,141.3653,28.763,Above Sea Level,2020-12-07,05:10:51,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-O5V2Ep1fvDwf.json,O5,RREEPPLLAACCEE/O5/V2/O5V2Ep1fvDwf.mp4,RREEPPLLAACCEE/O5/V2/O5V2Ep1fvDwf_small.mp4
Unavailable,26.6824,81.8926,4.311,Above Sea Level,2020-12-12,01:25:35,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-O5aGmtDiOz6m.json,O5,RREEPPLLAACCEE/O5/aG/O5aGmtDiOz6m.mp4,RREEPPLLAACCEE/O5/aG/O5aGmtDiOz6m_small.mp4
