Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Stacy,0,0,0,Unavailable,2021-01-08,14:45:08,Unavailable,Unavailable,Unavailable,Unavailable,Stacy,Stacy,Stacy,meta-ZT178q8jK4Xf.json,ZT,RREEPPLLAACCEE/ZT/17/ZT178q8jK4Xf.mp4,RREEPPLLAACCEE/ZT/17/ZT178q8jK4Xf_small.mp4
Public,0,0,0,Unavailable,2020-03-19,01:01:17,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-ZT6GDc6KQd6p.json,ZT,RREEPPLLAACCEE/ZT/6G/ZT6GDc6KQd6p.mp4,RREEPPLLAACCEE/ZT/6G/ZT6GDc6KQd6p_small.mp4
garce,0,0,0,Unavailable,2020-07-23,09:26:37,Unavailable,Unavailable,Unavailable,Unavailable,garce,garce,garce,meta-ZTHcdSzu15wr.json,ZT,RREEPPLLAACCEE/ZT/Hc/ZTHcdSzu15wr.mp4,RREEPPLLAACCEE/ZT/Hc/ZTHcdSzu15wr_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-30,15:17:36,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-ZTpmNaV6GzkL.json,ZT,RREEPPLLAACCEE/ZT/pm/ZTpmNaV6GzkL.mp4,RREEPPLLAACCEE/ZT/pm/ZTpmNaV6GzkL_small.mp4
savanahhernandez,0,0,0,Unavailable,2020-06-27,03:55:44,Unavailable,,Unavailable,Unavailable,savanahhernandez,savanahhernandez,savanahhernandez,meta-ZtYkiubGhdNn.json,Zt,RREEPPLLAACCEE/Zt/Yk/ZtYkiubGhdNn.mp4,RREEPPLLAACCEE/Zt/Yk/ZtYkiubGhdNn_small.mp4
Amber,0,0,0,Unavailable,2020-05-13,04:44:07,Unavailable,Unavailable,Unavailable,Unavailable,Amber,Amber,Amber,meta-zT07pn9LozU7.json,zT,RREEPPLLAACCEE/zT/07/zT07pn9LozU7.mp4,RREEPPLLAACCEE/zT/07/zT07pn9LozU7_small.mp4
automono,0,0,0,Unavailable,2020-10-02,16:49:23,Unavailable,Unavailable,Unavailable,Unavailable,automono,automono,automono,meta-ztI07q27kpxV.json,zt,RREEPPLLAACCEE/zt/I0/ztI07q27kpxV.mp4,RREEPPLLAACCEE/zt/I0/ztI07q27kpxV_small.mp4
Public,0,0,0,Unavailable,2020-11-20,21:18:38,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-ztLmMW8Fpur5.json,zt,RREEPPLLAACCEE/zt/Lm/ztLmMW8Fpur5.mp4,RREEPPLLAACCEE/zt/Lm/ztLmMW8Fpur5_small.mp4
Unavailable,35.4140,82.9286,886.352,Above Sea Level,2020-11-08,20:07:14,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZT0KXT80wnA8.json,ZT,RREEPPLLAACCEE/ZT/0K/ZT0KXT80wnA8.mp4,RREEPPLLAACCEE/ZT/0K/ZT0KXT80wnA8_small.mp4
Unavailable,57.8233,152.6942,477.045,Above Sea Level,2020-07-27,00:29:21,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZT1Xzg1pbEu4.json,ZT,RREEPPLLAACCEE/ZT/1X/ZT1Xzg1pbEu4.mp4,RREEPPLLAACCEE/ZT/1X/ZT1Xzg1pbEu4_small.mp4
Unavailable,39.9923,86.2544,276.4,Above Sea Level,2020-10-18,23:17:05,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZT1kcLNh3fJC.json,ZT,RREEPPLLAACCEE/ZT/1k/ZT1kcLNh3fJC.mp4,RREEPPLLAACCEE/ZT/1k/ZT1kcLNh3fJC_small.mp4
Unavailable,40.7561,74.0715,30.903,Above Sea Level,2020-11-13,17:00:13,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZT4fUPsvvXgc.json,ZT,RREEPPLLAACCEE/ZT/4f/ZT4fUPsvvXgc.mp4,RREEPPLLAACCEE/ZT/4f/ZT4fUPsvvXgc_small.mp4
Unavailable,32.8646,97.0664,215.79,Above Sea Level,2020-11-11,02:58:31,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZT88URlsR3nY.json,ZT,RREEPPLLAACCEE/ZT/88/ZT88URlsR3nY.mp4,RREEPPLLAACCEE/ZT/88/ZT88URlsR3nY_small.mp4
Unavailable,40.8562,93.4976,339.022,Above Sea Level,2020-09-05,17:27:34,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTEw4i7hgeEv.json,ZT,RREEPPLLAACCEE/ZT/Ew/ZTEw4i7hgeEv.mp4,RREEPPLLAACCEE/ZT/Ew/ZTEw4i7hgeEv_small.mp4
Unavailable,38.8921,77.0175,2.819,Above Sea Level,2021-01-06,18:36:35,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTGSyftpq6Ok.json,ZT,RREEPPLLAACCEE/ZT/GS/ZTGSyftpq6Ok.mp4,RREEPPLLAACCEE/ZT/GS/ZTGSyftpq6Ok_small.mp4
Unavailable,40.3196,79.9065,341.01,Above Sea Level,2020-12-06,00:29:01,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTGradnVh1gr.json,ZT,RREEPPLLAACCEE/ZT/Gr/ZTGradnVh1gr.mp4,RREEPPLLAACCEE/ZT/Gr/ZTGradnVh1gr_small.mp4
Unavailable,39.7956,104.9848,0,Unavailable,2020-10-16,21:58:45,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTM8GzjNHGmR.json,ZT,RREEPPLLAACCEE/ZT/M8/ZTM8GzjNHGmR.mp4,RREEPPLLAACCEE/ZT/M8/ZTM8GzjNHGmR_small.mp4
Unavailable,36.0271,79.9677,269.195,Above Sea Level,2020-09-14,17:35:02,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTO5wKQh2FO8.json,ZT,RREEPPLLAACCEE/ZT/O5/ZTO5wKQh2FO8.mp4,RREEPPLLAACCEE/ZT/O5/ZTO5wKQh2FO8_small.mp4
Unavailable,64.8395,147.7141,140.02,Above Sea Level,2017-09-17,22:39:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTUN90xcb5k5.json,ZT,RREEPPLLAACCEE/ZT/UN/ZTUN90xcb5k5.mp4,RREEPPLLAACCEE/ZT/UN/ZTUN90xcb5k5_small.mp4
Unavailable,48.7010,119.4534,278.992,Above Sea Level,2020-07-03,22:49:06,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTXlnuwrbROT.json,ZT,RREEPPLLAACCEE/ZT/Xl/ZTXlnuwrbROT.mp4,RREEPPLLAACCEE/ZT/Xl/ZTXlnuwrbROT_small.mp4
Unavailable,26.8636,80.1328,8.591,Above Sea Level,2020-11-16,11:53:54,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTjG7WxCCJ4v.json,ZT,RREEPPLLAACCEE/ZT/jG/ZTjG7WxCCJ4v.mp4,RREEPPLLAACCEE/ZT/jG/ZTjG7WxCCJ4v_small.mp4
Unavailable,45.4942,122.6573,37.933,Above Sea Level,2020-08-30,01:41:34,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTjZleOdYA8q.json,ZT,RREEPPLLAACCEE/ZT/jZ/ZTjZleOdYA8q.mp4,RREEPPLLAACCEE/ZT/jZ/ZTjZleOdYA8q_small.mp4
Unavailable,28.4836,81.3322,30.11,Above Sea Level,2020-12-08,11:03:19,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZTqpAnbLJH3S.json,ZT,RREEPPLLAACCEE/ZT/qp/ZTqpAnbLJH3S.mp4,RREEPPLLAACCEE/ZT/qp/ZTqpAnbLJH3S_small.mp4
Unavailable,29.9709,93.9735,0,Unavailable,2020-08-29,20:17:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Zt10klxuEkbL.json,Zt,RREEPPLLAACCEE/Zt/10/Zt10klxuEkbL.mp4,RREEPPLLAACCEE/Zt/10/Zt10klxuEkbL_small.mp4
Unavailable,36.1745,115.0857,547.614,Above Sea Level,2020-12-17,17:07:29,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Zt23QIefgGRo.json,Zt,RREEPPLLAACCEE/Zt/23/Zt23QIefgGRo.mp4,RREEPPLLAACCEE/Zt/23/Zt23QIefgGRo_small.mp4
Unavailable,44.0621,123.0205,136.019,Above Sea Level,2020-10-12,23:42:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Zt3Q6JT8TrUl.json,Zt,RREEPPLLAACCEE/Zt/3Q/Zt3Q6JT8TrUl.mp4,RREEPPLLAACCEE/Zt/3Q/Zt3Q6JT8TrUl_small.mp4
Unavailable,32.8570,84.7609,372.733,Above Sea Level,2020-10-27,17:00:38,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Zt5BObALpkm1.json,Zt,RREEPPLLAACCEE/Zt/5B/Zt5BObALpkm1.mp4,RREEPPLLAACCEE/Zt/5B/Zt5BObALpkm1_small.mp4
Unavailable,59.3845,17.0404,3.277,Above Sea Level,2020-11-19,12:39:58,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Zt94nA7k3X7e.json,Zt,RREEPPLLAACCEE/Zt/94/Zt94nA7k3X7e.mp4,RREEPPLLAACCEE/Zt/94/Zt94nA7k3X7e_small.mp4
Unavailable,31.0550,97.4449,146.296,Above Sea Level,2020-11-28,16:22:25,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtB2nyaxVfLm.json,Zt,RREEPPLLAACCEE/Zt/B2/ZtB2nyaxVfLm.mp4,RREEPPLLAACCEE/Zt/B2/ZtB2nyaxVfLm_small.mp4
Unavailable,53.4090,2.0479,0,Unavailable,2020-09-16,14:13:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtDg5oMZT7pp.json,Zt,RREEPPLLAACCEE/Zt/Dg/ZtDg5oMZT7pp.mp4,RREEPPLLAACCEE/Zt/Dg/ZtDg5oMZT7pp_small.mp4
Unavailable,39.7152,86.2497,0,Unavailable,2020-05-15,17:56:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtFyolQSktAc.json,Zt,RREEPPLLAACCEE/Zt/Fy/ZtFyolQSktAc.mp4,RREEPPLLAACCEE/Zt/Fy/ZtFyolQSktAc_small.mp4
Unavailable,45.0127,93.2880,279,Above Sea Level,2020-08-18,22:52:18,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtGlHrI3LYao.json,Zt,RREEPPLLAACCEE/Zt/Gl/ZtGlHrI3LYao.mp4,RREEPPLLAACCEE/Zt/Gl/ZtGlHrI3LYao_small.mp4
Unavailable,36.0387,115.2008,716.431,Above Sea Level,2020-11-20,07:35:15,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtIFt93qfYWO.json,Zt,RREEPPLLAACCEE/Zt/IF/ZtIFt93qfYWO.mp4,RREEPPLLAACCEE/Zt/IF/ZtIFt93qfYWO_small.mp4
Unavailable,40.6177,74.1407,13.381,Above Sea Level,2020-08-22,22:37:35,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtIJXON3fX5w.json,Zt,RREEPPLLAACCEE/Zt/IJ/ZtIJXON3fX5w.mp4,RREEPPLLAACCEE/Zt/IJ/ZtIJXON3fX5w_small.mp4
Unavailable,42.5741,71.1921,30.509,Above Sea Level,2020-11-09,11:58:40,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtNMM0H0Dc1z.json,Zt,RREEPPLLAACCEE/Zt/NM/ZtNMM0H0Dc1z.mp4,RREEPPLLAACCEE/Zt/NM/ZtNMM0H0Dc1z_small.mp4
Unavailable,38.7455,121.2670,54.559,Above Sea Level,2020-11-08,19:25:37,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtSUW1vDXPe7.json,Zt,RREEPPLLAACCEE/Zt/SU/ZtSUW1vDXPe7.mp4,RREEPPLLAACCEE/Zt/SU/ZtSUW1vDXPe7_small.mp4
Unavailable,39.3928,74.3775,0.777,Above Sea Level,2020-06-28,23:20:15,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtSnmdJvrElv.json,Zt,RREEPPLLAACCEE/Zt/Sn/ZtSnmdJvrElv.mp4,RREEPPLLAACCEE/Zt/Sn/ZtSnmdJvrElv_small.mp4
Unavailable,42.0248,94.5455,0,Unavailable,2020-06-06,19:00:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtYBNpJIQrBm.json,Zt,RREEPPLLAACCEE/Zt/YB/ZtYBNpJIQrBm.mp4,RREEPPLLAACCEE/Zt/YB/ZtYBNpJIQrBm_small.mp4
Unavailable,35.0490,85.3017,0,Above Sea Level,2020-06-18,17:29:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtYVLYdhmmxM.json,Zt,RREEPPLLAACCEE/Zt/YV/ZtYVLYdhmmxM.mp4,RREEPPLLAACCEE/Zt/YV/ZtYVLYdhmmxM_small.mp4
Unavailable,40.1492,79.3313,542.533,Above Sea Level,2020-11-11,19:03:37,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtYmKMDZLe3d.json,Zt,RREEPPLLAACCEE/Zt/Ym/ZtYmKMDZLe3d.mp4,RREEPPLLAACCEE/Zt/Ym/ZtYmKMDZLe3d_small.mp4
Unavailable,33.9035,118.4200,28.59,Above Sea Level,2020-05-17,03:18:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtcQ9n8x67X8.json,Zt,RREEPPLLAACCEE/Zt/cQ/ZtcQ9n8x67X8.mp4,RREEPPLLAACCEE/Zt/cQ/ZtcQ9n8x67X8_small.mp4
Unavailable,33.4452,111.7285,419.12,Above Sea Level,2020-10-13,17:16:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtckCe5FIoL6.json,Zt,RREEPPLLAACCEE/Zt/ck/ZtckCe5FIoL6.mp4,RREEPPLLAACCEE/Zt/ck/ZtckCe5FIoL6_small.mp4
Unavailable,39.7005,90.5248,182,Above Sea Level,2020-06-24,16:27:31,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZteAMVCBrxdJ.json,Zt,RREEPPLLAACCEE/Zt/eA/ZteAMVCBrxdJ.mp4,RREEPPLLAACCEE/Zt/eA/ZteAMVCBrxdJ_small.mp4
Unavailable,35.7126,51.3451,1221.39,Above Sea Level,2020-05-20,17:55:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtgNmPTZNetS.json,Zt,RREEPPLLAACCEE/Zt/gN/ZtgNmPTZNetS.mp4,RREEPPLLAACCEE/Zt/gN/ZtgNmPTZNetS_small.mp4
Unavailable,44.4153,103.5075,1035.142,Above Sea Level,2020-11-09,04:27:02,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtlUoalw9J6M.json,Zt,RREEPPLLAACCEE/Zt/lU/ZtlUoalw9J6M.mp4,RREEPPLLAACCEE/Zt/lU/ZtlUoalw9J6M_small.mp4
Unavailable,33.5584,117.6672,118.04,Above Sea Level,2020-11-08,17:35:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ztmt2hxutRO4.json,Zt,RREEPPLLAACCEE/Zt/mt/Ztmt2hxutRO4.mp4,RREEPPLLAACCEE/Zt/mt/Ztmt2hxutRO4_small.mp4
Unavailable,38.4535,77.3725,20.047,Above Sea Level,2021-01-08,18:14:27,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ztn0HG66Utn2.json,Zt,RREEPPLLAACCEE/Zt/n0/Ztn0HG66Utn2.mp4,RREEPPLLAACCEE/Zt/n0/Ztn0HG66Utn2_small.mp4
Unavailable,36.9406,76.5167,1.199,Above Sea Level,2020-11-21,13:52:46,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZtnQyglr1lm6.json,Zt,RREEPPLLAACCEE/Zt/nQ/ZtnQyglr1lm6.mp4,RREEPPLLAACCEE/Zt/nQ/ZtnQyglr1lm6_small.mp4
Unavailable,44.1254,124.1254,48.229,Above Sea Level,2020-07-11,22:56:58,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zT19jATBpKOf.json,zT,RREEPPLLAACCEE/zT/19/zT19jATBpKOf.mp4,RREEPPLLAACCEE/zT/19/zT19jATBpKOf_small.mp4
Unavailable,50.4227,104.6186,575.509,Above Sea Level,2020-10-02,20:40:47,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTBILqM46zkQ.json,zT,RREEPPLLAACCEE/zT/BI/zTBILqM46zkQ.mp4,RREEPPLLAACCEE/zT/BI/zTBILqM46zkQ_small.mp4
Unavailable,38.9905,76.5331,21.059,Above Sea Level,2020-08-06,17:38:31,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTG3YUd8pA8L.json,zT,RREEPPLLAACCEE/zT/G3/zTG3YUd8pA8L.mp4,RREEPPLLAACCEE/zT/G3/zTG3YUd8pA8L_small.mp4
Unavailable,33.8399,117.9010,0,Unavailable,2020-11-19,23:44:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTGgtEGY0xwp.json,zT,RREEPPLLAACCEE/zT/Gg/zTGgtEGY0xwp.mp4,RREEPPLLAACCEE/zT/Gg/zTGgtEGY0xwp_small.mp4
Unavailable,42.3606,71.0559,96.888,Above Sea Level,2019-03-04,19:39:28,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTKXDjoDPFkw.json,zT,RREEPPLLAACCEE/zT/KX/zTKXDjoDPFkw.mp4,RREEPPLLAACCEE/zT/KX/zTKXDjoDPFkw_small.mp4
Unavailable,32.1021,84.7572,194.965,Above Sea Level,2020-09-04,00:23:57,Apple,iPad Air 2,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTLF2cO1Zjse.json,zT,RREEPPLLAACCEE/zT/LF/zTLF2cO1Zjse.mp4,RREEPPLLAACCEE/zT/LF/zTLF2cO1Zjse_small.mp4
Unavailable,42.2668,71.1694,34.55,Above Sea Level,2020-07-29,13:35:29,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTSWiCglDflM.json,zT,RREEPPLLAACCEE/zT/SW/zTSWiCglDflM.mp4,RREEPPLLAACCEE/zT/SW/zTSWiCglDflM_small.mp4
Unavailable,33.6512,112.3027,0,Unavailable,2020-07-24,20:50:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTYsSKj1gtAM.json,zT,RREEPPLLAACCEE/zT/Ys/zTYsSKj1gtAM.mp4,RREEPPLLAACCEE/zT/Ys/zTYsSKj1gtAM_small.mp4
Unavailable,44.0799,123.0587,130.832,Above Sea Level,2020-09-07,22:58:55,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTb9Mm009NnM.json,zT,RREEPPLLAACCEE/zT/b9/zTb9Mm009NnM.mp4,RREEPPLLAACCEE/zT/b9/zTb9Mm009NnM_small.mp4
Unavailable,36.1339,115.0588,0,Unavailable,2020-10-29,00:19:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTc310OvDY26.json,zT,RREEPPLLAACCEE/zT/c3/zTc310OvDY26.mp4,RREEPPLLAACCEE/zT/c3/zTc310OvDY26_small.mp4
Unavailable,33.5697,96.2378,0,Unavailable,2020-08-25,21:03:46,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTdyr1j3OLej.json,zT,RREEPPLLAACCEE/zT/dy/zTdyr1j3OLej.mp4,RREEPPLLAACCEE/zT/dy/zTdyr1j3OLej_small.mp4
Unavailable,40.1479,78.0130,323.634,Above Sea Level,2020-11-21,18:03:30,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTkXWMUUScDK.json,zT,RREEPPLLAACCEE/zT/kX/zTkXWMUUScDK.mp4,RREEPPLLAACCEE/zT/kX/zTkXWMUUScDK_small.mp4
Unavailable,43.4374,88.2177,302.439,Above Sea Level,2020-12-08,00:48:03,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zTpmpeCOiAPF.json,zT,RREEPPLLAACCEE/zT/pm/zTpmpeCOiAPF.mp4,RREEPPLLAACCEE/zT/pm/zTpmpeCOiAPF_small.mp4
Unavailable,46.2463,119.5369,488.444,Above Sea Level,2020-11-29,00:42:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zt4Ru1wwgh5P.json,zt,RREEPPLLAACCEE/zt/4R/zt4Ru1wwgh5P.mp4,RREEPPLLAACCEE/zt/4R/zt4Ru1wwgh5P_small.mp4
Unavailable,34.0692,117.8159,317.669,Above Sea Level,2021-01-04,15:43:31,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zt51V1y7IgVj.json,zt,RREEPPLLAACCEE/zt/51/zt51V1y7IgVj.mp4,RREEPPLLAACCEE/zt/51/zt51V1y7IgVj_small.mp4
Unavailable,40.0886,108.7950,0,Unavailable,2020-10-17,12:54:45,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zt6HIHkNFe41.json,zt,RREEPPLLAACCEE/zt/6H/zt6HIHkNFe41.mp4,RREEPPLLAACCEE/zt/6H/zt6HIHkNFe41_small.mp4
Unavailable,36.2844,115.1382,635.592,Above Sea Level,2020-11-27,01:36:26,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zt72r3p3V7jv.json,zt,RREEPPLLAACCEE/zt/72/zt72r3p3V7jv.mp4,RREEPPLLAACCEE/zt/72/zt72r3p3V7jv_small.mp4
Unavailable,26.2916,81.5921,7.037,Above Sea Level,2020-09-22,02:57:00,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztHCzWW6KKDT.json,zt,RREEPPLLAACCEE/zt/HC/ztHCzWW6KKDT.mp4,RREEPPLLAACCEE/zt/HC/ztHCzWW6KKDT_small.mp4
Unavailable,48.1073,117.0648,699.847,Above Sea Level,2020-11-20,17:13:20,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztHSR1rhnuxb.json,zt,RREEPPLLAACCEE/zt/HS/ztHSR1rhnuxb.mp4,RREEPPLLAACCEE/zt/HS/ztHSR1rhnuxb_small.mp4
Unavailable,42.5948,83.2835,283.512,Above Sea Level,2020-12-07,02:25:00,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztONo6FmlbeC.json,zt,RREEPPLLAACCEE/zt/ON/ztONo6FmlbeC.mp4,RREEPPLLAACCEE/zt/ON/ztONo6FmlbeC_small.mp4
Unavailable,34.1643,118.4396,199.242,Above Sea Level,2020-07-29,20:01:38,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztWEVrmPW3i0.json,zt,RREEPPLLAACCEE/zt/WE/ztWEVrmPW3i0.mp4,RREEPPLLAACCEE/zt/WE/ztWEVrmPW3i0_small.mp4
Unavailable,43.8291,84.7591,254.072,Above Sea Level,2021-01-08,17:34:47,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztZEbQD72wmI.json,zt,RREEPPLLAACCEE/zt/ZE/ztZEbQD72wmI.mp4,RREEPPLLAACCEE/zt/ZE/ztZEbQD72wmI_small.mp4
Unavailable,29.1711,82.0588,25.411,Above Sea Level,2020-10-15,20:23:59,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztbahrdr36mY.json,zt,RREEPPLLAACCEE/zt/ba/ztbahrdr36mY.mp4,RREEPPLLAACCEE/zt/ba/ztbahrdr36mY_small.mp4
Unavailable,36.1037,86.9358,181.77,Above Sea Level,2020-06-03,01:36:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztdnctyhxAIb.json,zt,RREEPPLLAACCEE/zt/dn/ztdnctyhxAIb.mp4,RREEPPLLAACCEE/zt/dn/ztdnctyhxAIb_small.mp4
Unavailable,32.0249,102.0142,847.687,Above Sea Level,2020-06-29,13:43:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-zteHtIteNeMG.json,zt,RREEPPLLAACCEE/zt/eH/zteHtIteNeMG.mp4,RREEPPLLAACCEE/zt/eH/zteHtIteNeMG_small.mp4
Unavailable,41.6727,81.3271,213.965,Above Sea Level,2020-12-31,20:17:36,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztjCguKPt7jv.json,zt,RREEPPLLAACCEE/zt/jC/ztjCguKPt7jv.mp4,RREEPPLLAACCEE/zt/jC/ztjCguKPt7jv_small.mp4
Unavailable,40.1179,74.8335,43.369,Above Sea Level,2020-10-25,15:41:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztkwgNiIV3PD.json,zt,RREEPPLLAACCEE/zt/kw/ztkwgNiIV3PD.mp4,RREEPPLLAACCEE/zt/kw/ztkwgNiIV3PD_small.mp4
Unavailable,36.2795,115.1152,626.543,Above Sea Level,2020-12-26,18:24:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztnb4hhtcCfI.json,zt,RREEPPLLAACCEE/zt/nb/ztnb4hhtcCfI.mp4,RREEPPLLAACCEE/zt/nb/ztnb4hhtcCfI_small.mp4
Unavailable,28.8737,82.0968,16.543,Above Sea Level,2020-10-23,21:19:04,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ztqHX0FZajPo.json,zt,RREEPPLLAACCEE/zt/qH/ztqHX0FZajPo.mp4,RREEPPLLAACCEE/zt/qH/ztqHX0FZajPo_small.mp4
