Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
andre,0,0,0,Unavailable,2020-12-08,00:40:38,Canon,,,Unavailable,andre,andre,andre,meta-EPtmTnyCfP1B.json,EP,RREEPPLLAACCEE/EP/tm/EPtmTnyCfP1B.mp4,RREEPPLLAACCEE/EP/tm/EPtmTnyCfP1B_small.mp4
Nathan,0,0,0,Unavailable,2020-10-29,17:16:12,Unavailable,Unavailable,Unavailable,Unavailable,Nathan,Nathan,Nathan,meta-EpL0moY8JUmD.json,Ep,RREEPPLLAACCEE/Ep/L0/EpL0moY8JUmD.mp4,RREEPPLLAACCEE/Ep/L0/EpL0moY8JUmD_small.mp4
jkleshock,0,0,0,Unavailable,2020-12-09,19:41:10,Unavailable,Unavailable,Unavailable,Unavailable,jkleshock,jkleshock,jkleshock,meta-EpjZgZAIZ7Hg.json,Ep,RREEPPLLAACCEE/Ep/jZ/EpjZgZAIZ7Hg.mp4,RREEPPLLAACCEE/Ep/jZ/EpjZgZAIZ7Hg_small.mp4
emilyjiao,0,0,0,Unavailable,2020-08-27,22:38:39,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-ePRugPZdRzFU.json,eP,RREEPPLLAACCEE/eP/Ru/ePRugPZdRzFU.mp4,RREEPPLLAACCEE/eP/Ru/ePRugPZdRzFU_small.mp4
Unavailable,54.9703,1.5666,0,Unavailable,2020-11-21,17:26:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EP1Bwv7WDNwf.json,EP,RREEPPLLAACCEE/EP/1B/EP1Bwv7WDNwf.mp4,RREEPPLLAACCEE/EP/1B/EP1Bwv7WDNwf_small.mp4
Unavailable,34.9103,78.8365,27.249,Above Sea Level,2020-11-20,20:47:59,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EP58seB8miS2.json,EP,RREEPPLLAACCEE/EP/58/EP58seB8miS2.mp4,RREEPPLLAACCEE/EP/58/EP58seB8miS2_small.mp4
Unavailable,44.9503,122.9895,62.439,Above Sea Level,2020-12-18,18:12:03,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EPGAxFKP4bYY.json,EP,RREEPPLLAACCEE/EP/GA/EPGAxFKP4bYY.mp4,RREEPPLLAACCEE/EP/GA/EPGAxFKP4bYY_small.mp4
Unavailable,38.7829,121.2406,0,Unavailable,2020-11-28,19:26:09,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EPKyaaiBzrJE.json,EP,RREEPPLLAACCEE/EP/Ky/EPKyaaiBzrJE.mp4,RREEPPLLAACCEE/EP/Ky/EPKyaaiBzrJE_small.mp4
Unavailable,53.4090,2.0479,0,Unavailable,2020-11-01,17:16:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EPL5qK1YI6K5.json,EP,RREEPPLLAACCEE/EP/L5/EPL5qK1YI6K5.mp4,RREEPPLLAACCEE/EP/L5/EPL5qK1YI6K5_small.mp4
Unavailable,41.2613,101.7428,0,Unavailable,2020-11-07,00:32:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EPRFMC501rOL.json,EP,RREEPPLLAACCEE/EP/RF/EPRFMC501rOL.mp4,RREEPPLLAACCEE/EP/RF/EPRFMC501rOL_small.mp4
