Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Rumen,0,0,0,Unavailable,2020-08-13,17:44:37,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-Afpx3wPrnNLj.json,Af,RREEPPLLAACCEE/Af/px/Afpx3wPrnNLj.mp4,RREEPPLLAACCEE/Af/px/Afpx3wPrnNLj_small.mp4
Melanie,0,0,0,Unavailable,2020-12-04,19:23:33,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-af2AnaqV6qRf.json,af,RREEPPLLAACCEE/af/2A/af2AnaqV6qRf.mp4,RREEPPLLAACCEE/af/2A/af2AnaqV6qRf_small.mp4
Unavailable,34.0686,84.3091,337.196,Above Sea Level,2020-12-02,19:27:42,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AF0Bz2g4O48Y.json,AF,RREEPPLLAACCEE/AF/0B/AF0Bz2g4O48Y.mp4,RREEPPLLAACCEE/AF/0B/AF0Bz2g4O48Y_small.mp4
Unavailable,41.1719,112.0244,0,Unavailable,2020-11-07,21:49:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AF9dVaFNLHxM.json,AF,RREEPPLLAACCEE/AF/9d/AF9dVaFNLHxM.mp4,RREEPPLLAACCEE/AF/9d/AF9dVaFNLHxM_small.mp4
Unavailable,28.3686,81.4369,21.569,Above Sea Level,2020-11-13,13:01:20,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AFD0P01MC6tj.json,AF,RREEPPLLAACCEE/AF/D0/AFD0P01MC6tj.mp4,RREEPPLLAACCEE/AF/D0/AFD0P01MC6tj_small.mp4
Unavailable,39.8736,104.8733,1556.154,Above Sea Level,2020-10-03,16:35:52,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AFEYO0vvciRH.json,AF,RREEPPLLAACCEE/AF/EY/AFEYO0vvciRH.mp4,RREEPPLLAACCEE/AF/EY/AFEYO0vvciRH_small.mp4
Unavailable,33.2732,87.5175,101.069,Above Sea Level,2020-11-02,21:38:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AFI6TzMq6L4r.json,AF,RREEPPLLAACCEE/AF/I6/AFI6TzMq6L4r.mp4,RREEPPLLAACCEE/AF/I6/AFI6TzMq6L4r_small.mp4
Unavailable,28.1074,82.7321,3.804,Above Sea Level,2020-09-19,04:01:00,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AFMBd44LX9z3.json,AF,RREEPPLLAACCEE/AF/MB/AFMBd44LX9z3.mp4,RREEPPLLAACCEE/AF/MB/AFMBd44LX9z3_small.mp4
Unavailable,32.2490,80.7252,3.88,Above Sea Level,2020-06-24,02:28:46,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AFrmRVyuJrMF.json,AF,RREEPPLLAACCEE/AF/rm/AFrmRVyuJrMF.mp4,RREEPPLLAACCEE/AF/rm/AFrmRVyuJrMF_small.mp4
Unavailable,52.4090,1.4400,74.79,Above Sea Level,2020-06-16,20:12:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AFs7wkPUvGN5.json,AF,RREEPPLLAACCEE/AF/s7/AFs7wkPUvGN5.mp4,RREEPPLLAACCEE/AF/s7/AFs7wkPUvGN5_small.mp4
