Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
MiC-T,0,0,0,Unavailable,2018-12-20,06:31:23,Unavailable,Unavailable,Unavailable,Unavailable,MiC-T,MiC-T,MiC-T,meta-4rAxfx1LPGRc.json,4r,RREEPPLLAACCEE/4r/Ax/4rAxfx1LPGRc.mp4,RREEPPLLAACCEE/4r/Ax/4rAxfx1LPGRc_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-10-07,17:43:33,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-4rcZAT371RkL.json,4r,RREEPPLLAACCEE/4r/cZ/4rcZAT371RkL.mp4,RREEPPLLAACCEE/4r/cZ/4rcZAT371RkL_small.mp4
Sophie,0,0,0,Unavailable,2020-12-04,22:59:17,Unavailable,Unavailable,Unavailable,Unavailable,Sophie,Sophie,Sophie,meta-4rhAaOGf3BHG.json,4r,RREEPPLLAACCEE/4r/hA/4rhAaOGf3BHG.mp4,RREEPPLLAACCEE/4r/hA/4rhAaOGf3BHG_small.mp4
Unavailable,37.5397,77.6596,101.718,Above Sea Level,2020-12-07,16:44:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4R09CNdFTFem.json,4R,RREEPPLLAACCEE/4R/09/4R09CNdFTFem.mp4,RREEPPLLAACCEE/4R/09/4R09CNdFTFem_small.mp4
Unavailable,36.0858,115.3164,822.847,Above Sea Level,2020-11-23,18:09:18,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4R94YFZvbFsS.json,4R,RREEPPLLAACCEE/4R/94/4R94YFZvbFsS.mp4,RREEPPLLAACCEE/4R/94/4R94YFZvbFsS_small.mp4
Unavailable,40.7857,73.9850,3.317,Above Sea Level,2020-07-19,16:57:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4RC6ssBd06i5.json,4R,RREEPPLLAACCEE/4R/C6/4RC6ssBd06i5.mp4,RREEPPLLAACCEE/4R/C6/4RC6ssBd06i5_small.mp4
Unavailable,41.4183,75.6903,271.871,Above Sea Level,2020-10-09,22:07:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4RQtXFDYI2fl.json,4R,RREEPPLLAACCEE/4R/Qt/4RQtXFDYI2fl.mp4,RREEPPLLAACCEE/4R/Qt/4RQtXFDYI2fl_small.mp4
Unavailable,47.5387,121.8569,257.82,Above Sea Level,2020-10-29,21:24:02,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4RR2OAowneSV.json,4R,RREEPPLLAACCEE/4R/R2/4RR2OAowneSV.mp4,RREEPPLLAACCEE/4R/R2/4RR2OAowneSV_small.mp4
Unavailable,33.2955,111.2641,644.658,Above Sea Level,2020-11-29,18:33:00,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4Rco2mbWqGXs.json,4R,RREEPPLLAACCEE/4R/co/4Rco2mbWqGXs.mp4,RREEPPLLAACCEE/4R/co/4Rco2mbWqGXs_small.mp4
Unavailable,20.5400,47.3859,0,Unavailable,2020-07-14,14:09:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4Rd272xE5Mr4.json,4R,RREEPPLLAACCEE/4R/d2/4Rd272xE5Mr4.mp4,RREEPPLLAACCEE/4R/d2/4Rd272xE5Mr4_small.mp4
