Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Miki,0,0,0,Unavailable,2020-10-23,20:09:03,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-DA2paTIVoW1F.json,DA,RREEPPLLAACCEE/DA/2p/DA2paTIVoW1F.mp4,RREEPPLLAACCEE/DA/2p/DA2paTIVoW1F_small.mp4
edmundo.rubio,0,0,0,Unavailable,2019-07-18,16:36:40,Unavailable,Unavailable,Unavailable,Unavailable,edmundo.rubio,edmundo.rubio,edmundo.rubio,meta-DAJvitBTRqhR.json,DA,RREEPPLLAACCEE/DA/Jv/DAJvitBTRqhR.mp4,RREEPPLLAACCEE/DA/Jv/DAJvitBTRqhR_small.mp4
zimmermann,0,0,0,Unavailable,2021-01-06,22:32:53,Unavailable,,Unavailable,Unavailable,zimmermann,zimmermann,zimmermann,meta-Daou4NjuUePU.json,Da,RREEPPLLAACCEE/Da/ou/Daou4NjuUePU.mp4,RREEPPLLAACCEE/Da/ou/Daou4NjuUePU_small.mp4
Owner,0,0,0,Unavailable,2021-01-10,03:57:58,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-dAFIoqiQ07Rt.json,dA,RREEPPLLAACCEE/dA/FI/dAFIoqiQ07Rt.mp4,RREEPPLLAACCEE/dA/FI/dAFIoqiQ07Rt_small.mp4
glaub,0,0,0,Unavailable,2020-09-29,20:28:22,Unavailable,Unavailable,Unavailable,Unavailable,glaub,glaub,glaub,meta-dAgErDF9HaDR.json,dA,RREEPPLLAACCEE/dA/gE/dAgErDF9HaDR.mp4,RREEPPLLAACCEE/dA/gE/dAgErDF9HaDR_small.mp4
Melanie,0,0,0,Unavailable,2020-12-02,19:51:41,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-dAmx7oRDssog.json,dA,RREEPPLLAACCEE/dA/mx/dAmx7oRDssog.mp4,RREEPPLLAACCEE/dA/mx/dAmx7oRDssog_small.mp4
stevenmarkowitz,0,0,0,Unavailable,2020-06-28,23:02:46,Unavailable,Unavailable,Unavailable,Unavailable,stevenmarkowitz,stevenmarkowitz,stevenmarkowitz,meta-da3WTXjVrID2.json,da,RREEPPLLAACCEE/da/3W/da3WTXjVrID2.mp4,RREEPPLLAACCEE/da/3W/da3WTXjVrID2_small.mp4
justinrocha,0,0,0,Unavailable,2020-11-06,01:53:17,Unavailable,Unavailable,Unavailable,Unavailable,justinrocha,justinrocha,justinrocha,meta-daaYyd4yHGPz.json,da,RREEPPLLAACCEE/da/aY/daaYyd4yHGPz.mp4,RREEPPLLAACCEE/da/aY/daaYyd4yHGPz_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-12-03,19:17:24,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-daxB4kjatSTW.json,da,RREEPPLLAACCEE/da/xB/daxB4kjatSTW.mp4,RREEPPLLAACCEE/da/xB/daxB4kjatSTW_small.mp4
Unavailable,35.0406,101.7867,1086.898,Above Sea Level,2020-11-17,13:35:07,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DA3N0O2l9k7n.json,DA,RREEPPLLAACCEE/DA/3N/DA3N0O2l9k7n.mp4,RREEPPLLAACCEE/DA/3N/DA3N0O2l9k7n_small.mp4
