Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Cooper HQ,0,0,0,Unavailable,2020-09-30,18:19:37,Unavailable,Unavailable,Unavailable,Unavailable,Cooper HQ,Cooper HQ,Cooper HQ,meta-ZYvIUu7Tr6u8.json,ZY,RREEPPLLAACCEE/ZY/vI/ZYvIUu7Tr6u8.mp4,RREEPPLLAACCEE/ZY/vI/ZYvIUu7Tr6u8_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-07,14:50:54,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-zYinRpko97PF.json,zY,RREEPPLLAACCEE/zY/in/zYinRpko97PF.mp4,RREEPPLLAACCEE/zY/in/zYinRpko97PF_small.mp4
aper,0,0,0,Unavailable,2020-08-06,05:34:25,Unavailable,Unavailable,Unavailable,Unavailable,aper,aper,aper,meta-zy6wAmxP54UI.json,zy,RREEPPLLAACCEE/zy/6w/zy6wAmxP54UI.mp4,RREEPPLLAACCEE/zy/6w/zy6wAmxP54UI_small.mp4
mac,0,0,0,Unavailable,2020-06-17,22:48:05,Panasonic,,Unavailable,Unavailable,Edição,Edição,Edição,meta-zywOauCfYkqF.json,zy,RREEPPLLAACCEE/zy/wO/zywOauCfYkqF.mp4,RREEPPLLAACCEE/zy/wO/zywOauCfYkqF_small.mp4
Unavailable,32.3655,93.7049,57.947,Above Sea Level,2019-05-26,19:09:28,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZY0OPg1AFueP.json,ZY,RREEPPLLAACCEE/ZY/0O/ZY0OPg1AFueP.mp4,RREEPPLLAACCEE/ZY/0O/ZY0OPg1AFueP_small.mp4
Unavailable,36.7806,89.9635,125.872,Above Sea Level,2020-11-07,22:08:55,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZY2brD8gq9fr.json,ZY,RREEPPLLAACCEE/ZY/2b/ZY2brD8gq9fr.mp4,RREEPPLLAACCEE/ZY/2b/ZY2brD8gq9fr_small.mp4
Unavailable,26.1907,80.2215,6.294,Above Sea Level,2020-11-12,14:45:20,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZY2ol7Z127Ag.json,ZY,RREEPPLLAACCEE/ZY/2o/ZY2ol7Z127Ag.mp4,RREEPPLLAACCEE/ZY/2o/ZY2ol7Z127Ag_small.mp4
Unavailable,38.8964,77.0320,33.173,Above Sea Level,2020-11-15,03:02:04,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZY4VQdVKRg7y.json,ZY,RREEPPLLAACCEE/ZY/4V/ZY4VQdVKRg7y.mp4,RREEPPLLAACCEE/ZY/4V/ZY4VQdVKRg7y_small.mp4
Unavailable,39.1459,121.6816,17.378,Above Sea Level,2020-11-14,17:15:14,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZY6hA0GIbm5v.json,ZY,RREEPPLLAACCEE/ZY/6h/ZY6hA0GIbm5v.mp4,RREEPPLLAACCEE/ZY/6h/ZY6hA0GIbm5v_small.mp4
Unavailable,33.7576,117.8145,52.003,Above Sea Level,2021-01-09,19:41:00,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZYBPvHinht23.json,ZY,RREEPPLLAACCEE/ZY/BP/ZYBPvHinht23.mp4,RREEPPLLAACCEE/ZY/BP/ZYBPvHinht23_small.mp4
