Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
lpopilieva,0,0,0,Unavailable,2020-12-15,19:07:23,Unavailable,Unavailable,Unavailable,Unavailable,lpopilieva,lpopilieva,lpopilieva,meta-ELLY8mqxdMMB.json,EL,RREEPPLLAACCEE/EL/LY/ELLY8mqxdMMB.mp4,RREEPPLLAACCEE/EL/LY/ELLY8mqxdMMB_small.mp4
luca,0,0,0,Unavailable,2020-11-09,13:25:02,Unavailable,Unavailable,Unavailable,Unavailable,luca,luca,luca,meta-ElRtV6coIKGU.json,El,RREEPPLLAACCEE/El/Rt/ElRtV6coIKGU.mp4,RREEPPLLAACCEE/El/Rt/ElRtV6coIKGU_small.mp4
imacpro1,0,0,0,Unavailable,2020-08-18,11:30:04,Panasonic,,Unavailable,Unavailable,home,videoimacpro,videoimacpro,meta-eLlJglNbO3o3.json,eL,RREEPPLLAACCEE/eL/lJ/eLlJglNbO3o3.mp4,RREEPPLLAACCEE/eL/lJ/eLlJglNbO3o3_small.mp4
britt,0,0,0,Unavailable,2020-10-29,00:59:38,Unavailable,Unavailable,Unavailable,Unavailable,britt,britt,britt,meta-eLwD5DK7QoVH.json,eL,RREEPPLLAACCEE/eL/wD/eLwD5DK7QoVH.mp4,RREEPPLLAACCEE/eL/wD/eLwD5DK7QoVH_small.mp4
marks,0,0,0,Unavailable,2020-04-16,17:24:25,Unavailable,Unavailable,Unavailable,Unavailable,marks,marks,marks,meta-elDoxNDi5NrN.json,el,RREEPPLLAACCEE/el/Do/elDoxNDi5NrN.mp4,RREEPPLLAACCEE/el/Do/elDoxNDi5NrN_small.mp4
sherr,0,0,0,Unavailable,2019-12-05,19:37:19,Unavailable,Unavailable,Unavailable,Unavailable,sherr,sherr,sherr,meta-elerejYHkrtg.json,el,RREEPPLLAACCEE/el/er/elerejYHkrtg.mp4,RREEPPLLAACCEE/el/er/elerejYHkrtg_small.mp4
dcurrier,0,0,0,Unavailable,2020-10-28,18:23:32,Unavailable,Unavailable,Unavailable,Unavailable,dcurrier,dcurrier,dcurrier,meta-elsKVQuQLyiC.json,el,RREEPPLLAACCEE/el/sK/elsKVQuQLyiC.mp4,RREEPPLLAACCEE/el/sK/elsKVQuQLyiC_small.mp4
Unavailable,34.9536,81.0654,167.638,Above Sea Level,2020-11-14,16:23:57,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EL453HJrs6co.json,EL,RREEPPLLAACCEE/EL/45/EL453HJrs6co.mp4,RREEPPLLAACCEE/EL/45/EL453HJrs6co_small.mp4
Unavailable,51.5079,.1280,0,Unavailable,2020-08-29,13:50:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ELDeKnimzlKb.json,EL,RREEPPLLAACCEE/EL/De/ELDeKnimzlKb.mp4,RREEPPLLAACCEE/EL/De/ELDeKnimzlKb_small.mp4
Unavailable,39.8906,80.1403,315.808,Above Sea Level,2020-11-17,01:04:33,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ELE92jSJ9V7C.json,EL,RREEPPLLAACCEE/EL/E9/ELE92jSJ9V7C.mp4,RREEPPLLAACCEE/EL/E9/ELE92jSJ9V7C_small.mp4
