Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
5STARLINE,0,0,0,Unavailable,2020-10-31,01:32:26,Unavailable,Unavailable,Unavailable,Unavailable,5STARLINE,5STARLINE,5STARLINE,meta-yQI5X97M5wpd.json,yQ,RREEPPLLAACCEE/yQ/I5/yQI5X97M5wpd.mp4,RREEPPLLAACCEE/yQ/I5/yQI5X97M5wpd_small.mp4
garethoneil,0,0,0,Unavailable,2020-10-10,01:08:50,Unavailable,,Unavailable,Unavailable,garethoneil,garethoneil,garethoneil,meta-yQVN1SEHCBRY.json,yQ,RREEPPLLAACCEE/yQ/VN/yQVN1SEHCBRY.mp4,RREEPPLLAACCEE/yQ/VN/yQVN1SEHCBRY_small.mp4
Rumen,0,0,0,Unavailable,2020-08-11,23:11:32,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-yQZIPxjKRBAA.json,yQ,RREEPPLLAACCEE/yQ/ZI/yQZIPxjKRBAA.mp4,RREEPPLLAACCEE/yQ/ZI/yQZIPxjKRBAA_small.mp4
rj_wilburn,0,0,0,Unavailable,2020-12-11,17:32:24,Unavailable,,Unavailable,Unavailable,rj_wilburn,rj_wilburn,rj_wilburn,meta-yQhM3FTKHaj0.json,yQ,RREEPPLLAACCEE/yQ/hM/yQhM3FTKHaj0.mp4,RREEPPLLAACCEE/yQ/hM/yQhM3FTKHaj0_small.mp4
Unavailable,34.9507,80.8935,169.005,Above Sea Level,2020-11-19,20:12:59,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YQ06aLJId3HV.json,YQ,RREEPPLLAACCEE/YQ/06/YQ06aLJId3HV.mp4,RREEPPLLAACCEE/YQ/06/YQ06aLJId3HV_small.mp4
Unavailable,33.7710,78.7701,7.734,Above Sea Level,2020-07-11,11:38:47,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YQ14qlzGUWf2.json,YQ,RREEPPLLAACCEE/YQ/14/YQ14qlzGUWf2.mp4,RREEPPLLAACCEE/YQ/14/YQ14qlzGUWf2_small.mp4
Unavailable,47.1229,122.5875,81.584,Above Sea Level,2020-11-01,05:10:12,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YQ4ri8go5Fmt.json,YQ,RREEPPLLAACCEE/YQ/4r/YQ4ri8go5Fmt.mp4,RREEPPLLAACCEE/YQ/4r/YQ4ri8go5Fmt_small.mp4
Unavailable,38.7239,90.2940,177.488,Above Sea Level,2020-10-02,01:19:33,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YQ5Wa8Y2TEV7.json,YQ,RREEPPLLAACCEE/YQ/5W/YQ5Wa8Y2TEV7.mp4,RREEPPLLAACCEE/YQ/5W/YQ5Wa8Y2TEV7_small.mp4
Unavailable,44.6540,93.2451,297.435,Above Sea Level,2020-07-04,01:58:03,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YQ5iCrrlBlpF.json,YQ,RREEPPLLAACCEE/YQ/5i/YQ5iCrrlBlpF.mp4,RREEPPLLAACCEE/YQ/5i/YQ5iCrrlBlpF_small.mp4
Unavailable,30.3362,81.4006,5.309,Above Sea Level,2020-12-13,02:20:21,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YQ7ggVWLZzZT.json,YQ,RREEPPLLAACCEE/YQ/7g/YQ7ggVWLZzZT.mp4,RREEPPLLAACCEE/YQ/7g/YQ7ggVWLZzZT_small.mp4
Unavailable,29.2131,81.0009,3.579,Above Sea Level,2020-11-15,16:52:52,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YQCNPdv041EI.json,YQ,RREEPPLLAACCEE/YQ/CN/YQCNPdv041EI.mp4,RREEPPLLAACCEE/YQ/CN/YQCNPdv041EI_small.mp4
Unavailable,41.3881,73.9959,185.941,Above Sea Level,2020-12-12,18:18:50,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YQGmCkx2iWPS.json,YQ,RREEPPLLAACCEE/YQ/Gm/YQGmCkx2iWPS.mp4,RREEPPLLAACCEE/YQ/Gm/YQGmCkx2iWPS_small.mp4
