Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Vegeta,0,0,0,Unavailable,2020-10-30,22:51:21,Unavailable,Unavailable,Unavailable,Unavailable,Vegeta,Vegeta,Vegeta,meta-ALj3G3Jawh7o.json,AL,RREEPPLLAACCEE/AL/j3/ALj3G3Jawh7o.mp4,RREEPPLLAACCEE/AL/j3/ALj3G3Jawh7o_small.mp4
Cooper HQ,0,0,0,Unavailable,2020-10-06,15:06:27,Unavailable,Unavailable,Unavailable,Unavailable,Cooper HQ,Cooper HQ,Cooper HQ,meta-AlURvsqEiYwf.json,Al,RREEPPLLAACCEE/Al/UR/AlURvsqEiYwf.mp4,RREEPPLLAACCEE/Al/UR/AlURvsqEiYwf_small.mp4
notof,0,0,0,Unavailable,2020-04-10,23:35:29,Unavailable,,Unavailable,Unavailable,notof,notof,notof,meta-al1BOfuuCzz7.json,al,RREEPPLLAACCEE/al/1B/al1BOfuuCzz7.mp4,RREEPPLLAACCEE/al/1B/al1BOfuuCzz7_small.mp4
markstout,0,0,0,Unavailable,2020-11-26,16:06:44,Unavailable,,Unavailable,Unavailable,markstout,markstout,markstout,meta-al8cedireow4.json,al,RREEPPLLAACCEE/al/8c/al8cedireow4.mp4,RREEPPLLAACCEE/al/8c/al8cedireow4_small.mp4
thejo,0,0,0,Unavailable,2020-12-23,17:33:02,Unavailable,Unavailable,Unavailable,Unavailable,thejo,thejo,thejo,meta-alFXpUX4CFMB.json,al,RREEPPLLAACCEE/al/FX/alFXpUX4CFMB.mp4,RREEPPLLAACCEE/al/FX/alFXpUX4CFMB_small.mp4
kevin.larson,0,0,0,Unavailable,2020-06-29,22:58:47,Unavailable,Unavailable,Unavailable,Unavailable,kevin.larson,kevin.larson,kevin.larson,meta-alFxCoYeBOLJ.json,al,RREEPPLLAACCEE/al/Fx/alFxCoYeBOLJ.mp4,RREEPPLLAACCEE/al/Fx/alFxCoYeBOLJ_small.mp4
Hui,0,0,0,Unavailable,2020-12-09,09:19:41,Unavailable,Unavailable,Unavailable,Unavailable,Hui,Hui,Hui,meta-alzR1M1DwZwU.json,al,RREEPPLLAACCEE/al/zR/alzR1M1DwZwU.mp4,RREEPPLLAACCEE/al/zR/alzR1M1DwZwU_small.mp4
Unavailable,31.5631,97.1954,173.291,Above Sea Level,2020-11-18,21:22:21,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AL1A9Q5fKwz2.json,AL,RREEPPLLAACCEE/AL/1A/AL1A9Q5fKwz2.mp4,RREEPPLLAACCEE/AL/1A/AL1A9Q5fKwz2_small.mp4
Unavailable,39.1758,75.5246,14.87,Above Sea Level,2020-12-20,16:05:59,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AL3sHGFYi9ju.json,AL,RREEPPLLAACCEE/AL/3s/AL3sHGFYi9ju.mp4,RREEPPLLAACCEE/AL/3s/AL3sHGFYi9ju_small.mp4
Unavailable,47.4715,19.1081,117.686,Above Sea Level,2020-12-30,06:45:19,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AL63I60Ka39u.json,AL,RREEPPLLAACCEE/AL/63/AL63I60Ka39u.mp4,RREEPPLLAACCEE/AL/63/AL63I60Ka39u_small.mp4
