Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
blanca,0,0,0,Unavailable,2020-08-19,20:06:55,Unavailable,Unavailable,Unavailable,Unavailable,blanca,blanca,blanca,meta-XWDZZV3zQbt4.json,XW,RREEPPLLAACCEE/XW/DZ/XWDZZV3zQbt4.mp4,RREEPPLLAACCEE/XW/DZ/XWDZZV3zQbt4_small.mp4
zhangxiaorui,0,0,0,Unavailable,2020-11-17,06:36:43,Unavailable,Unavailable,Unavailable,Unavailable,zhangxiaorui,zhangxiaorui,zhangxiaorui,meta-XWE7eBSbns76.json,XW,RREEPPLLAACCEE/XW/E7/XWE7eBSbns76.mp4,RREEPPLLAACCEE/XW/E7/XWE7eBSbns76_small.mp4
Myrra,0,0,0,Unavailable,2020-09-17,17:19:34,SONY,,Unavailable,Unavailable,Myrra,Myrra,Myrra,meta-Xw61U3wTPsqd.json,Xw,RREEPPLLAACCEE/Xw/61/Xw61U3wTPsqd.mp4,RREEPPLLAACCEE/Xw/61/Xw61U3wTPsqd_small.mp4
rodrigotoledo,0,0,0,Unavailable,2018-09-17,12:42:28,Unavailable,Unavailable,Unavailable,Unavailable,rodrigotoledo,rodrigotoledo,rodrigotoledo,meta-XwCOAoiVZbFS.json,Xw,RREEPPLLAACCEE/Xw/CO/XwCOAoiVZbFS.mp4,RREEPPLLAACCEE/Xw/CO/XwCOAoiVZbFS_small.mp4
15857,0,0,0,Unavailable,2020-07-12,20:29:01,Unavailable,Unavailable,Unavailable,Unavailable,15857,15857,15857,meta-XwyLWnV8CNHG.json,Xw,RREEPPLLAACCEE/Xw/yL/XwyLWnV8CNHG.mp4,RREEPPLLAACCEE/Xw/yL/XwyLWnV8CNHG_small.mp4
paulg,0,0,0,Unavailable,2020-11-11,02:27:17,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-xW002KxmoHIo.json,xW,RREEPPLLAACCEE/xW/00/xW002KxmoHIo.mp4,RREEPPLLAACCEE/xW/00/xW002KxmoHIo_small.mp4
prudy,0,0,0,Unavailable,2020-11-17,16:49:52,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-xWf6aBa58ZiJ.json,xW,RREEPPLLAACCEE/xW/f6/xWf6aBa58ZiJ.mp4,RREEPPLLAACCEE/xW/f6/xWf6aBa58ZiJ_small.mp4
Ali Uluisik,0,0,0,Unavailable,2020-12-20,18:47:50,Unavailable,Unavailable,Unavailable,Unavailable,Ali Uluisik,Ali Uluisik,Ali Uluisik,meta-xWjg9hKALcyc.json,xW,RREEPPLLAACCEE/xW/jg/xWjg9hKALcyc.mp4,RREEPPLLAACCEE/xW/jg/xWjg9hKALcyc_small.mp4
anthony072420,0,0,0,Unavailable,2020-11-18,15:24:38,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-xWzhX9u5BKBF.json,xW,RREEPPLLAACCEE/xW/zh/xWzhX9u5BKBF.mp4,RREEPPLLAACCEE/xW/zh/xWzhX9u5BKBF_small.mp4
Unavailable,38.9002,77.0358,20.671,Above Sea Level,2020-11-11,02:23:12,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XW5TTSAFdzyy.json,XW,RREEPPLLAACCEE/XW/5T/XW5TTSAFdzyy.mp4,RREEPPLLAACCEE/XW/5T/XW5TTSAFdzyy_small.mp4
