Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Owner,0,0,0,Unavailable,2020-12-24,23:29:05,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-M6TtGS6ooH02.json,M6,RREEPPLLAACCEE/M6/Tt/M6TtGS6ooH02.mp4,RREEPPLLAACCEE/M6/Tt/M6TtGS6ooH02_small.mp4
Force,0,0,0,Unavailable,2020-07-16,18:44:42,Unavailable,Unavailable,Unavailable,Unavailable,Force,Force,Force,meta-M6eFT8u3o1AW.json,M6,RREEPPLLAACCEE/M6/eF/M6eFT8u3o1AW.mp4,RREEPPLLAACCEE/M6/eF/M6eFT8u3o1AW_small.mp4
Nathan,0,0,0,Unavailable,2020-09-29,16:59:27,Unavailable,Unavailable,Unavailable,Unavailable,Nathan,Nathan,Nathan,meta-m61fLMnAfYgP.json,m6,RREEPPLLAACCEE/m6/1f/m61fLMnAfYgP.mp4,RREEPPLLAACCEE/m6/1f/m61fLMnAfYgP_small.mp4
paulg,0,0,0,Unavailable,2020-11-08,20:13:32,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-m62M27k7Wjiz.json,m6,RREEPPLLAACCEE/m6/2M/m62M27k7Wjiz.mp4,RREEPPLLAACCEE/m6/2M/m62M27k7Wjiz_small.mp4
Mark,0,0,0,Unavailable,2017-07-27,23:06:31,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-m6YBP4WH5wFr.json,m6,RREEPPLLAACCEE/m6/YB/m6YBP4WH5wFr.mp4,RREEPPLLAACCEE/m6/YB/m6YBP4WH5wFr_small.mp4
Unavailable,35.5955,81.6349,477.539,Above Sea Level,2020-11-29,18:17:58,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M61NJs9YJVJ3.json,M6,RREEPPLLAACCEE/M6/1N/M61NJs9YJVJ3.mp4,RREEPPLLAACCEE/M6/1N/M61NJs9YJVJ3_small.mp4
Unavailable,29.7007,95.6885,28.064,Above Sea Level,2020-12-09,17:50:39,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M6Gs3o8zFNPa.json,M6,RREEPPLLAACCEE/M6/Gs/M6Gs3o8zFNPa.mp4,RREEPPLLAACCEE/M6/Gs/M6Gs3o8zFNPa_small.mp4
Unavailable,33.1886,96.5287,187.19,Above Sea Level,2020-09-23,01:21:25,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M6GzpKsIRrr0.json,M6,RREEPPLLAACCEE/M6/Gz/M6GzpKsIRrr0.mp4,RREEPPLLAACCEE/M6/Gz/M6GzpKsIRrr0_small.mp4
Unavailable,33.5635,117.6599,155.927,Above Sea Level,2020-11-12,13:13:45,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M6HKYUBX7Wws.json,M6,RREEPPLLAACCEE/M6/HK/M6HKYUBX7Wws.mp4,RREEPPLLAACCEE/M6/HK/M6HKYUBX7Wws_small.mp4
Unavailable,40.6686,73.5287,7.22,Above Sea Level,2020-11-08,20:20:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-M6OhzM8YTmkO.json,M6,RREEPPLLAACCEE/M6/Oh/M6OhzM8YTmkO.mp4,RREEPPLLAACCEE/M6/Oh/M6OhzM8YTmkO_small.mp4
