Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Jerry,0,0,0,Unavailable,2020-12-02,02:22:54,Unavailable,Unavailable,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-PJtTAJ5qZw5V.json,PJ,RREEPPLLAACCEE/PJ/tT/PJtTAJ5qZw5V.mp4,RREEPPLLAACCEE/PJ/tT/PJtTAJ5qZw5V_small.mp4
Lucy,0,0,0,Unavailable,2020-10-30,06:58:16,Unavailable,Unavailable,Unavailable,Unavailable,Lucy,Lucy,Lucy,meta-pJjE9i146AST.json,pJ,RREEPPLLAACCEE/pJ/jE/pJjE9i146AST.mp4,RREEPPLLAACCEE/pJ/jE/pJjE9i146AST_small.mp4
Adam,0,0,0,Unavailable,2020-06-24,17:47:36,Unavailable,Unavailable,Unavailable,Unavailable,Adam,Adam,Adam,meta-pJlnyWQBpOYn.json,pJ,RREEPPLLAACCEE/pJ/ln/pJlnyWQBpOYn.mp4,RREEPPLLAACCEE/pJ/ln/pJlnyWQBpOYn_small.mp4
jeanalawrence,0,0,0,Unavailable,2020-11-17,17:40:10,Unavailable,Unavailable,Unavailable,Unavailable,jeanalawrence,jeanalawrence,jeanalawrence,meta-pj2i6uXU2Ead.json,pj,RREEPPLLAACCEE/pj/2i/pj2i6uXU2Ead.mp4,RREEPPLLAACCEE/pj/2i/pj2i6uXU2Ead_small.mp4
Rico,0,0,0,Unavailable,2020-08-04,23:54:53,Unavailable,Unavailable,Unavailable,Unavailable,Rico,Rico,Rico,meta-pjgD2r6TtbjC.json,pj,RREEPPLLAACCEE/pj/gD/pjgD2r6TtbjC.mp4,RREEPPLLAACCEE/pj/gD/pjgD2r6TtbjC_small.mp4
Yuling,0,0,0,Unavailable,2020-12-08,23:04:15,Unavailable,Unavailable,Unavailable,Unavailable,Yuling,Yuling,Yuling,meta-pju1z69cc7ai.json,pj,RREEPPLLAACCEE/pj/u1/pju1z69cc7ai.mp4,RREEPPLLAACCEE/pj/u1/pju1z69cc7ai_small.mp4
Unavailable,39.7610,84.1634,0,Unavailable,2021-01-08,23:04:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PJ10wyf896Tt.json,PJ,RREEPPLLAACCEE/PJ/10/PJ10wyf896Tt.mp4,RREEPPLLAACCEE/PJ/10/PJ10wyf896Tt_small.mp4
Unavailable,40.6140,74.0142,8.149,Above Sea Level,2020-07-11,15:28:04,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PJ4zzuALNyzq.json,PJ,RREEPPLLAACCEE/PJ/4z/PJ4zzuALNyzq.mp4,RREEPPLLAACCEE/PJ/4z/PJ4zzuALNyzq_small.mp4
Unavailable,32.7941,96.4806,137.043,Above Sea Level,2020-11-09,03:19:50,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PJLSBXJueRPB.json,PJ,RREEPPLLAACCEE/PJ/LS/PJLSBXJueRPB.mp4,RREEPPLLAACCEE/PJ/LS/PJLSBXJueRPB_small.mp4
Unavailable,51.5062,.1469,15.962,Above Sea Level,2020-11-15,21:56:34,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PJPjh4w1brw1.json,PJ,RREEPPLLAACCEE/PJ/Pj/PJPjh4w1brw1.mp4,RREEPPLLAACCEE/PJ/Pj/PJPjh4w1brw1_small.mp4
Unavailable,40.2342,104.9945,0,Unavailable,2020-07-05,00:07:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PJWS9VfyB1Hv.json,PJ,RREEPPLLAACCEE/PJ/WS/PJWS9VfyB1Hv.mp4,RREEPPLLAACCEE/PJ/WS/PJWS9VfyB1Hv_small.mp4
