Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
anthony072420,0,0,0,Unavailable,2020-11-19,19:03:45,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-7EYjq3v3Awr0.json,7E,RREEPPLLAACCEE/7E/Yj/7EYjq3v3Awr0.mp4,RREEPPLLAACCEE/7E/Yj/7EYjq3v3Awr0_small.mp4
letic,0,0,0,Unavailable,2020-12-01,14:07:42,Unavailable,Unavailable,Unavailable,Unavailable,letic,letic,letic,meta-7Exd3fAmlPVx.json,7E,RREEPPLLAACCEE/7E/xd/7Exd3fAmlPVx.mp4,RREEPPLLAACCEE/7E/xd/7Exd3fAmlPVx_small.mp4
Unavailable,34.0516,118.3801,39.058,Above Sea Level,2020-11-01,16:05:33,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0aihYUTZxH.json,7E,RREEPPLLAACCEE/7E/0a/7E0aihYUTZxH.mp4,RREEPPLLAACCEE/7E/0a/7E0aihYUTZxH_small.mp4
Unavailable,25.7879,80.2095,11.022,Above Sea Level,2020-11-19,21:28:09,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E4ZkyvLwI2c.json,7E,RREEPPLLAACCEE/7E/4Z/7E4ZkyvLwI2c.mp4,RREEPPLLAACCEE/7E/4Z/7E4ZkyvLwI2c_small.mp4
Unavailable,39.5950,119.2480,0,Unavailable,2020-11-23,02:25:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E9sV2RUbgiZ.json,7E,RREEPPLLAACCEE/7E/9s/7E9sV2RUbgiZ.mp4,RREEPPLLAACCEE/7E/9s/7E9sV2RUbgiZ_small.mp4
Unavailable,44.1721,93.2383,357.26,Above Sea Level,2020-10-24,16:47:53,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7ECFPqKTu3cT.json,7E,RREEPPLLAACCEE/7E/CF/7ECFPqKTu3cT.mp4,RREEPPLLAACCEE/7E/CF/7ECFPqKTu3cT_small.mp4
Unavailable,33.0254,97.0325,166.097,Above Sea Level,2020-12-29,02:26:15,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7EMKFdv7TUey.json,7E,RREEPPLLAACCEE/7E/MK/7EMKFdv7TUey.mp4,RREEPPLLAACCEE/7E/MK/7EMKFdv7TUey_small.mp4
Unavailable,43.0596,88.0481,217.36,Above Sea Level,2020-11-21,17:47:27,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7ENwinPVkyfm.json,7E,RREEPPLLAACCEE/7E/Nw/7ENwinPVkyfm.mp4,RREEPPLLAACCEE/7E/Nw/7ENwinPVkyfm_small.mp4
Unavailable,34.2783,118.8887,149.576,Above Sea Level,2020-12-23,22:38:05,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7EOOdj8PhpdS.json,7E,RREEPPLLAACCEE/7E/OO/7EOOdj8PhpdS.mp4,RREEPPLLAACCEE/7E/OO/7EOOdj8PhpdS_small.mp4
Unavailable,33.4057,111.7510,0,Unavailable,2020-11-07,19:36:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7ESaTIVJJkYh.json,7E,RREEPPLLAACCEE/7E/Sa/7ESaTIVJJkYh.mp4,RREEPPLLAACCEE/7E/Sa/7ESaTIVJJkYh_small.mp4
Unavailable,33.5688,117.1358,0,Unavailable,2020-07-21,21:12:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7EUE6bD22ciC.json,7E,RREEPPLLAACCEE/7E/UE/7EUE6bD22ciC.mp4,RREEPPLLAACCEE/7E/UE/7EUE6bD22ciC_small.mp4
Unavailable,40.7283,74.2805,40.77,Above Sea Level,2020-12-16,03:28:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7EYHpqiIb8k5.json,7E,RREEPPLLAACCEE/7E/YH/7EYHpqiIb8k5.mp4,RREEPPLLAACCEE/7E/YH/7EYHpqiIb8k5_small.mp4
Unavailable,40.7362,74.1654,52.534,Above Sea Level,2020-11-22,01:42:20,Apple,iPad mini 4,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7EbmqviMU9dH.json,7E,RREEPPLLAACCEE/7E/bm/7EbmqviMU9dH.mp4,RREEPPLLAACCEE/7E/bm/7EbmqviMU9dH_small.mp4
Unavailable,36.1011,94.1212,399.999,Above Sea Level,2020-10-01,12:20:12,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7EcEW7gLsEVi.json,7E,RREEPPLLAACCEE/7E/cE/7EcEW7gLsEVi.mp4,RREEPPLLAACCEE/7E/cE/7EcEW7gLsEVi_small.mp4
Unavailable,38.9164,76.8695,35.988,Above Sea Level,2020-07-15,23:50:10,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7EhJ7Ed6eJbU.json,7E,RREEPPLLAACCEE/7E/hJ/7EhJ7Ed6eJbU.mp4,RREEPPLLAACCEE/7E/hJ/7EhJ7Ed6eJbU_small.mp4
Unavailable,33.8623,151.2015,0,Unavailable,2020-12-26,15:59:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7EuwwChia2SQ.json,7E,RREEPPLLAACCEE/7E/uw/7EuwwChia2SQ.mp4,RREEPPLLAACCEE/7E/uw/7EuwwChia2SQ_small.mp4
Unavailable,32.5679,84.9125,173.27,Above Sea Level,2020-11-12,20:14:17,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7Eza0sA3hpi3.json,7E,RREEPPLLAACCEE/7E/za/7Eza0sA3hpi3.mp4,RREEPPLLAACCEE/7E/za/7Eza0sA3hpi3_small.mp4
Unavailable,32.7779,97.4001,197.172,Above Sea Level,2018-05-02,01:24:17,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7e1ziq6XAB62.json,7e,RREEPPLLAACCEE/7e/1z/7e1ziq6XAB62.mp4,RREEPPLLAACCEE/7e/1z/7e1ziq6XAB62_small.mp4
Unavailable,38.9025,77.0357,18.128,Above Sea Level,2020-12-12,05:29:32,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7e31ov6hVKFs.json,7e,RREEPPLLAACCEE/7e/31/7e31ov6hVKFs.mp4,RREEPPLLAACCEE/7e/31/7e31ov6hVKFs_small.mp4
Unavailable,36.2100,86.6087,163.774,Above Sea Level,2020-11-08,15:57:29,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7e3D397NZWrI.json,7e,RREEPPLLAACCEE/7e/3D/7e3D397NZWrI.mp4,RREEPPLLAACCEE/7e/3D/7e3D397NZWrI_small.mp4
Unavailable,32.9226,97.2882,227.047,Above Sea Level,2020-11-29,16:27:06,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eCZYW91q5mw.json,7e,RREEPPLLAACCEE/7e/CZ/7eCZYW91q5mw.mp4,RREEPPLLAACCEE/7e/CZ/7eCZYW91q5mw_small.mp4
Unavailable,38.7241,90.2943,175.071,Above Sea Level,2020-11-14,06:28:07,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eE135ar2zu7.json,7e,RREEPPLLAACCEE/7e/E1/7eE135ar2zu7.mp4,RREEPPLLAACCEE/7e/E1/7eE135ar2zu7_small.mp4
Unavailable,42.1095,83.3780,193.625,Above Sea Level,2021-01-04,14:33:15,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eI6cRciuaVK.json,7e,RREEPPLLAACCEE/7e/I6/7eI6cRciuaVK.mp4,RREEPPLLAACCEE/7e/I6/7eI6cRciuaVK_small.mp4
Unavailable,41.4659,87.6330,0,Unavailable,2020-11-27,19:46:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eJ1nJvkN0bp.json,7e,RREEPPLLAACCEE/7e/J1/7eJ1nJvkN0bp.mp4,RREEPPLLAACCEE/7e/J1/7eJ1nJvkN0bp_small.mp4
Unavailable,30.2708,95.3197,48.918,Above Sea Level,2020-11-19,02:38:37,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eK6V5Ym3bAJ.json,7e,RREEPPLLAACCEE/7e/K6/7eK6V5Ym3bAJ.mp4,RREEPPLLAACCEE/7e/K6/7eK6V5Ym3bAJ_small.mp4
Unavailable,38.8900,77.0107,10.982,Above Sea Level,2021-01-06,21:15:40,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eLmGW77Y5o1.json,7e,RREEPPLLAACCEE/7e/Lm/7eLmGW77Y5o1.mp4,RREEPPLLAACCEE/7e/Lm/7eLmGW77Y5o1_small.mp4
Unavailable,32.5451,93.5156,76.2,Above Sea Level,2020-12-23,11:02:10,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eN5VuM4wiJX.json,7e,RREEPPLLAACCEE/7e/N5/7eN5VuM4wiJX.mp4,RREEPPLLAACCEE/7e/N5/7eN5VuM4wiJX_small.mp4
Unavailable,39.0015,119.7803,1433.12,Above Sea Level,2020-09-13,04:44:11,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eXw5ByIjHyN.json,7e,RREEPPLLAACCEE/7e/Xw/7eXw5ByIjHyN.mp4,RREEPPLLAACCEE/7e/Xw/7eXw5ByIjHyN_small.mp4
Unavailable,41.6352,80.5552,320.575,Above Sea Level,2020-09-05,22:58:07,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eZmNKbjkfnX.json,7e,RREEPPLLAACCEE/7e/Zm/7eZmNKbjkfnX.mp4,RREEPPLLAACCEE/7e/Zm/7eZmNKbjkfnX_small.mp4
Unavailable,38.8921,77.0092,17.753,Above Sea Level,2021-01-08,21:52:23,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7ehCKw9lfJVd.json,7e,RREEPPLLAACCEE/7e/hC/7ehCKw9lfJVd.mp4,RREEPPLLAACCEE/7e/hC/7ehCKw9lfJVd_small.mp4
Unavailable,37.9922,87.4826,117.539,Above Sea Level,2020-11-12,01:18:53,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7euqflcrY6qf.json,7e,RREEPPLLAACCEE/7e/uq/7euqflcrY6qf.mp4,RREEPPLLAACCEE/7e/uq/7euqflcrY6qf_small.mp4
Unavailable,32.6083,90.0828,0,Unavailable,2020-11-12,19:21:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7eyc6TadPE0T.json,7e,RREEPPLLAACCEE/7e/yc/7eyc6TadPE0T.mp4,RREEPPLLAACCEE/7e/yc/7eyc6TadPE0T_small.mp4
Unavailable,0,0,0,Unavailable,2020-08-19,02:03:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E04oxNYK201.json,7E,RREEPPLLAACCEE/7E/04/7E04oxNYK201.mp4,RREEPPLLAACCEE/7E/04/7E04oxNYK201_small.mp4
Unavailable,0,0,0,Unavailable,2020-09-03,14:07:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0D1NO7EBBK.json,7E,RREEPPLLAACCEE/7E/0D/7E0D1NO7EBBK.mp4,RREEPPLLAACCEE/7E/0D/7E0D1NO7EBBK_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-10,22:13:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0LJCr8HwvF.json,7E,RREEPPLLAACCEE/7E/0L/7E0LJCr8HwvF.mp4,RREEPPLLAACCEE/7E/0L/7E0LJCr8HwvF_small.mp4
Unavailable,0,0,0,Unavailable,2019-04-16,18:49:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0MqPGFsFlv.json,7E,RREEPPLLAACCEE/7E/0M/7E0MqPGFsFlv.mp4,RREEPPLLAACCEE/7E/0M/7E0MqPGFsFlv_small.mp4
Unavailable,0,0,0,Unavailable,2020-07-20,06:52:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0Qcak62R2H.json,7E,RREEPPLLAACCEE/7E/0Q/7E0Qcak62R2H.mp4,RREEPPLLAACCEE/7E/0Q/7E0Qcak62R2H_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-11,02:06:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0rVAinjNzA.json,7E,RREEPPLLAACCEE/7E/0r/7E0rVAinjNzA.mp4,RREEPPLLAACCEE/7E/0r/7E0rVAinjNzA_small.mp4
Unavailable,0,0,0,Unavailable,2021-01-03,02:43:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0uCSsMfeTx.json,7E,RREEPPLLAACCEE/7E/0u/7E0uCSsMfeTx.mp4,RREEPPLLAACCEE/7E/0u/7E0uCSsMfeTx_small.mp4
Unavailable,0,0,0,Unavailable,2017-12-31,07:01:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0y9Uk1sk9z.json,7E,RREEPPLLAACCEE/7E/0y/7E0y9Uk1sk9z.mp4,RREEPPLLAACCEE/7E/0y/7E0y9Uk1sk9z_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E0ymIBl0ojx.json,7E,RREEPPLLAACCEE/7E/0y/7E0ymIBl0ojx.mp4,RREEPPLLAACCEE/7E/0y/7E0ymIBl0ojx_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E136HqW0gLz.json,7E,RREEPPLLAACCEE/7E/13/7E136HqW0gLz.mp4,RREEPPLLAACCEE/7E/13/7E136HqW0gLz_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-21,16:10:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E1UWA7qeRhr.json,7E,RREEPPLLAACCEE/7E/1U/7E1UWA7qeRhr.mp4,RREEPPLLAACCEE/7E/1U/7E1UWA7qeRhr_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-28,14:08:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E1aJFBGPhV6.json,7E,RREEPPLLAACCEE/7E/1a/7E1aJFBGPhV6.mp4,RREEPPLLAACCEE/7E/1a/7E1aJFBGPhV6_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E1mbeoAbRcN.json,7E,RREEPPLLAACCEE/7E/1m/7E1mbeoAbRcN.mp4,RREEPPLLAACCEE/7E/1m/7E1mbeoAbRcN_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E2VkzePJ5di.json,7E,RREEPPLLAACCEE/7E/2V/7E2VkzePJ5di.mp4,RREEPPLLAACCEE/7E/2V/7E2VkzePJ5di_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-15,22:07:44,Apple,MacBookPro11_3,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E2eewjH8GYI.json,7E,RREEPPLLAACCEE/7E/2e/7E2eewjH8GYI.mp4,RREEPPLLAACCEE/7E/2e/7E2eewjH8GYI_small.mp4
Unavailable,0,0,0,Unavailable,2021-01-09,12:04:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E2n11QgZ70f.json,7E,RREEPPLLAACCEE/7E/2n/7E2n11QgZ70f.mp4,RREEPPLLAACCEE/7E/2n/7E2n11QgZ70f_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E2xigfT6MN6.json,7E,RREEPPLLAACCEE/7E/2x/7E2xigfT6MN6.mp4,RREEPPLLAACCEE/7E/2x/7E2xigfT6MN6_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E2ztZRpXK9f.json,7E,RREEPPLLAACCEE/7E/2z/7E2ztZRpXK9f.mp4,RREEPPLLAACCEE/7E/2z/7E2ztZRpXK9f_small.mp4
Unavailable,0,0,0,Unavailable,2020-12-22,18:32:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E32TcMJ7xfb.json,7E,RREEPPLLAACCEE/7E/32/7E32TcMJ7xfb.mp4,RREEPPLLAACCEE/7E/32/7E32TcMJ7xfb_small.mp4
Unavailable,0,0,0,Unavailable,2020-07-26,22:30:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E35xiLcMwmB.json,7E,RREEPPLLAACCEE/7E/35/7E35xiLcMwmB.mp4,RREEPPLLAACCEE/7E/35/7E35xiLcMwmB_small.mp4
Unavailable,0,0,0,Unavailable,2021-01-08,14:25:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E3RTqmd6d7g.json,7E,RREEPPLLAACCEE/7E/3R/7E3RTqmd6d7g.mp4,RREEPPLLAACCEE/7E/3R/7E3RTqmd6d7g_small.mp4
Unavailable,0,0,0,Unavailable,2020-07-10,15:48:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E3SBmw8Xcdk.json,7E,RREEPPLLAACCEE/7E/3S/7E3SBmw8Xcdk.mp4,RREEPPLLAACCEE/7E/3S/7E3SBmw8Xcdk_small.mp4
Unavailable,0,0,0,Unavailable,2020-06-17,23:21:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E3jrMEugQd3.json,7E,RREEPPLLAACCEE/7E/3j/7E3jrMEugQd3.mp4,RREEPPLLAACCEE/7E/3j/7E3jrMEugQd3_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E4aVbRcPNhZ.json,7E,RREEPPLLAACCEE/7E/4a/7E4aVbRcPNhZ.mp4,RREEPPLLAACCEE/7E/4a/7E4aVbRcPNhZ_small.mp4
Unavailable,0,0,0,Unavailable,2021-01-04,05:08:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E5XkceEE41S.json,7E,RREEPPLLAACCEE/7E/5X/7E5XkceEE41S.mp4,RREEPPLLAACCEE/7E/5X/7E5XkceEE41S_small.mp4
Unavailable,0,0,0,Unavailable,2020-08-30,12:53:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E5bDavDY6Pc.json,7E,RREEPPLLAACCEE/7E/5b/7E5bDavDY6Pc.mp4,RREEPPLLAACCEE/7E/5b/7E5bDavDY6Pc_small.mp4
Unavailable,0,0,0,Unavailable,2021-01-08,23:04:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7E60MAkbyb5X.json,7E,RREEPPLLAACCEE/7E/60/7E60MAkbyb5X.mp4,RREEPPLLAACCEE/7E/60/7E60MAkbyb5X_small.mp4
