Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Johnson,0,0,0,Unavailable,2020-11-14,12:31:05,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-W2vo2Vij4CSS.json,W2,RREEPPLLAACCEE/W2/vo/W2vo2Vij4CSS.mp4,RREEPPLLAACCEE/W2/vo/W2vo2Vij4CSS_small.mp4
michelcardon,0,0,0,Unavailable,2020-11-24,09:43:59,Unavailable,Unavailable,Unavailable,Unavailable,michelcardon,michelcardon,michelcardon,meta-w21kG9fcgd0J.json,w2,RREEPPLLAACCEE/w2/1k/w21kG9fcgd0J.mp4,RREEPPLLAACCEE/w2/1k/w21kG9fcgd0J_small.mp4
Unavailable,26.1277,81.7654,3.87,Above Sea Level,2020-09-03,23:17:25,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W23p0ODXGw54.json,W2,RREEPPLLAACCEE/W2/3p/W23p0ODXGw54.mp4,RREEPPLLAACCEE/W2/3p/W23p0ODXGw54_small.mp4
Unavailable,45.1903,93.5351,299.98,Above Sea Level,2019-10-19,20:15:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W27xfnTxDvvS.json,W2,RREEPPLLAACCEE/W2/7x/W27xfnTxDvvS.mp4,RREEPPLLAACCEE/W2/7x/W27xfnTxDvvS_small.mp4
Unavailable,44.3837,97.2584,518.8,Above Sea Level,2020-11-09,22:19:18,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W28zstJjyunQ.json,W2,RREEPPLLAACCEE/W2/8z/W28zstJjyunQ.mp4,RREEPPLLAACCEE/W2/8z/W28zstJjyunQ_small.mp4
Unavailable,33.4930,84.3688,264.793,Above Sea Level,2020-04-08,05:39:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W2BNYG9yT5JW.json,W2,RREEPPLLAACCEE/W2/BN/W2BNYG9yT5JW.mp4,RREEPPLLAACCEE/W2/BN/W2BNYG9yT5JW_small.mp4
Unavailable,39.6648,94.7752,283.302,Above Sea Level,2020-11-22,22:11:58,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W2DJGCigptal.json,W2,RREEPPLLAACCEE/W2/DJ/W2DJGCigptal.mp4,RREEPPLLAACCEE/W2/DJ/W2DJGCigptal_small.mp4
Unavailable,29.8221,90.0222,0.08,Below Sea Level,2020-09-19,00:40:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W2LSmPKfx6D4.json,W2,RREEPPLLAACCEE/W2/LS/W2LSmPKfx6D4.mp4,RREEPPLLAACCEE/W2/LS/W2LSmPKfx6D4_small.mp4
Unavailable,28.0856,81.7825,52.859,Above Sea Level,2021-01-01,16:06:14,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W2ZV2Y7C7nYO.json,W2,RREEPPLLAACCEE/W2/ZV/W2ZV2Y7C7nYO.mp4,RREEPPLLAACCEE/W2/ZV/W2ZV2Y7C7nYO_small.mp4
Unavailable,41.4373,105.9200,2233.416,Above Sea Level,2014-12-26,19:05:07,Apple,iPhone 5c,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-W2bebttLNOXt.json,W2,RREEPPLLAACCEE/W2/be/W2bebttLNOXt.mp4,RREEPPLLAACCEE/W2/be/W2bebttLNOXt_small.mp4
