Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Byron,0,0,0,Unavailable,2020-12-05,14:03:14,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-WF6bfoeBpUPX.json,WF,RREEPPLLAACCEE/WF/6b/WF6bfoeBpUPX.mp4,RREEPPLLAACCEE/WF/6b/WF6bfoeBpUPX_small.mp4
Cooper HQ,0,0,0,Unavailable,2020-09-30,18:19:37,Unavailable,Unavailable,Unavailable,Unavailable,Cooper HQ,Cooper HQ,Cooper HQ,meta-WFec3pkgBjcx.json,WF,RREEPPLLAACCEE/WF/ec/WFec3pkgBjcx.mp4,RREEPPLLAACCEE/WF/ec/WFec3pkgBjcx_small.mp4
recon,0,0,0,Unavailable,2021-01-10,02:14:17,Unavailable,Unavailable,Unavailable,Unavailable,recon,recon,recon,meta-WfnsplsfBNeg.json,Wf,RREEPPLLAACCEE/Wf/ns/WfnsplsfBNeg.mp4,RREEPPLLAACCEE/Wf/ns/WfnsplsfBNeg_small.mp4
tonyluck,0,0,0,Unavailable,2020-10-03,08:27:29,Unavailable,,Unavailable,Unavailable,tonyluck,tonyluck,tonyluck,meta-wFbwvfyIqFky.json,wF,RREEPPLLAACCEE/wF/bw/wFbwvfyIqFky.mp4,RREEPPLLAACCEE/wF/bw/wFbwvfyIqFky_small.mp4
Nathalia,0,0,0,Unavailable,2020-12-27,04:52:41,Unavailable,Unavailable,Unavailable,Unavailable,Nathalia,Nathalia,Nathalia,meta-wf4FD1RKPUTG.json,wf,RREEPPLLAACCEE/wf/4F/wf4FD1RKPUTG.mp4,RREEPPLLAACCEE/wf/4F/wf4FD1RKPUTG_small.mp4
F8005,0,0,0,Unavailable,2020-12-25,12:49:34,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-wfRIpYSrIs1j.json,wf,RREEPPLLAACCEE/wf/RI/wfRIpYSrIs1j.mp4,RREEPPLLAACCEE/wf/RI/wfRIpYSrIs1j_small.mp4
Unavailable,32.3193,111.2249,673.145,Above Sea Level,2021-01-06,22:05:14,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WF1HhtABH1u0.json,WF,RREEPPLLAACCEE/WF/1H/WF1HhtABH1u0.mp4,RREEPPLLAACCEE/WF/1H/WF1HhtABH1u0_small.mp4
Unavailable,39.0264,96.8481,349.182,Above Sea Level,2020-07-16,20:06:55,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WF2me7ozlMJU.json,WF,RREEPPLLAACCEE/WF/2m/WF2me7ozlMJU.mp4,RREEPPLLAACCEE/WF/2m/WF2me7ozlMJU_small.mp4
Unavailable,43.0636,76.1092,163.645,Above Sea Level,2021-01-07,14:58:05,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WF3XgLO2hATF.json,WF,RREEPPLLAACCEE/WF/3X/WF3XgLO2hATF.mp4,RREEPPLLAACCEE/WF/3X/WF3XgLO2hATF_small.mp4
Unavailable,27.2191,81.8573,18.007,Above Sea Level,2020-11-21,07:32:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WF8wlPih6fgN.json,WF,RREEPPLLAACCEE/WF/8w/WF8wlPih6fgN.mp4,RREEPPLLAACCEE/WF/8w/WF8wlPih6fgN_small.mp4
Unavailable,52.2734,3.0093,0,Unavailable,2021-01-03,01:34:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFE1t7Souly5.json,WF,RREEPPLLAACCEE/WF/E1/WFE1t7Souly5.mp4,RREEPPLLAACCEE/WF/E1/WFE1t7Souly5_small.mp4
Unavailable,33.4625,86.8279,215.36,Above Sea Level,2020-11-07,16:05:49,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFEKbbyx5nrN.json,WF,RREEPPLLAACCEE/WF/EK/WFEKbbyx5nrN.mp4,RREEPPLLAACCEE/WF/EK/WFEKbbyx5nrN_small.mp4
Unavailable,27.4635,82.5644,6.129,Above Sea Level,2020-10-31,15:17:52,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFKUVcwyAX6d.json,WF,RREEPPLLAACCEE/WF/KU/WFKUVcwyAX6d.mp4,RREEPPLLAACCEE/WF/KU/WFKUVcwyAX6d_small.mp4
Unavailable,42.2399,85.1269,289.134,Above Sea Level,2020-05-15,17:38:43,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFKZVRLfAhWr.json,WF,RREEPPLLAACCEE/WF/KZ/WFKZVRLfAhWr.mp4,RREEPPLLAACCEE/WF/KZ/WFKZVRLfAhWr_small.mp4
Unavailable,28.3515,80.7236,0,Unavailable,2020-06-20,15:45:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFMKNzgdbMhF.json,WF,RREEPPLLAACCEE/WF/MK/WFMKNzgdbMhF.mp4,RREEPPLLAACCEE/WF/MK/WFMKNzgdbMhF_small.mp4
Unavailable,43.4294,80.5354,361.011,Above Sea Level,2020-12-18,21:25:03,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFO5MgncmmqO.json,WF,RREEPPLLAACCEE/WF/O5/WFO5MgncmmqO.mp4,RREEPPLLAACCEE/WF/O5/WFO5MgncmmqO_small.mp4
Unavailable,41.3766,2.1696,8.962,Above Sea Level,2020-11-14,17:59:51,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFP0cJ6HZsQ7.json,WF,RREEPPLLAACCEE/WF/P0/WFP0cJ6HZsQ7.mp4,RREEPPLLAACCEE/WF/P0/WFP0cJ6HZsQ7_small.mp4
Unavailable,26.1697,80.1001,3.512,Above Sea Level,2020-10-05,12:51:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFS3Jg5oAVy6.json,WF,RREEPPLLAACCEE/WF/S3/WFS3Jg5oAVy6.mp4,RREEPPLLAACCEE/WF/S3/WFS3Jg5oAVy6_small.mp4
Unavailable,21.3957,157.9697,0,Unavailable,2020-09-09,07:11:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WFS9zu3YbnKP.json,WF,RREEPPLLAACCEE/WF/S9/WFS9zu3YbnKP.mp4,RREEPPLLAACCEE/WF/S9/WFS9zu3YbnKP_small.mp4
