Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
sergiorodriquez,0,0,0,Unavailable,2020-12-29,02:44:27,Unavailable,Unavailable,Unavailable,Unavailable,sergiorodriquez,sergiorodriquez,sergiorodriquez,meta-aHjf6oqcpwRk.json,aH,RREEPPLLAACCEE/aH/jf/aHjf6oqcpwRk.mp4,RREEPPLLAACCEE/aH/jf/aHjf6oqcpwRk_small.mp4
kylemaier,0,0,0,Unavailable,2019-03-18,02:57:00,Unavailable,Unavailable,Unavailable,Unavailable,kylemaier,kylemaier,kylemaier,meta-ahkLcnOEkFeq.json,ah,RREEPPLLAACCEE/ah/kL/ahkLcnOEkFeq.mp4,RREEPPLLAACCEE/ah/kL/ahkLcnOEkFeq_small.mp4
andreasthurmayr,0,0,0,Unavailable,2021-01-01,17:20:24,Unavailable,Unavailable,Unavailable,Unavailable,91885,91885,91885,meta-ahoz6Wt0fQzk.json,ah,RREEPPLLAACCEE/ah/oz/ahoz6Wt0fQzk.mp4,RREEPPLLAACCEE/ah/oz/ahoz6Wt0fQzk_small.mp4
Unavailable,40.4367,106.3629,2736.836,Above Sea Level,2020-04-30,21:24:08,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AH43qf2pXmeU.json,AH,RREEPPLLAACCEE/AH/43/AH43qf2pXmeU.mp4,RREEPPLLAACCEE/AH/43/AH43qf2pXmeU_small.mp4
Unavailable,27.0105,80.1010,3.032,Above Sea Level,2020-05-09,19:52:20,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AH4kVYnsbgWP.json,AH,RREEPPLLAACCEE/AH/4k/AH4kVYnsbgWP.mp4,RREEPPLLAACCEE/AH/4k/AH4kVYnsbgWP_small.mp4
Unavailable,41.9211,71.3590,37.382,Above Sea Level,2020-11-20,19:01:28,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AH5pKriOx1an.json,AH,RREEPPLLAACCEE/AH/5p/AH5pKriOx1an.mp4,RREEPPLLAACCEE/AH/5p/AH5pKriOx1an_small.mp4
Unavailable,38.7131,104.7916,0,Unavailable,2021-01-07,02:32:24,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AH7y4Pvc05SM.json,AH,RREEPPLLAACCEE/AH/7y/AH7y4Pvc05SM.mp4,RREEPPLLAACCEE/AH/7y/AH7y4Pvc05SM_small.mp4
Unavailable,38.3123,85.9318,229.827,Above Sea Level,2020-11-09,21:44:30,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHCf0V0MxVyZ.json,AH,RREEPPLLAACCEE/AH/Cf/AHCf0V0MxVyZ.mp4,RREEPPLLAACCEE/AH/Cf/AHCf0V0MxVyZ_small.mp4
Unavailable,39.9102,76.6518,0,Unavailable,2020-09-15,00:42:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHIaYsZ3cugR.json,AH,RREEPPLLAACCEE/AH/Ia/AHIaYsZ3cugR.mp4,RREEPPLLAACCEE/AH/Ia/AHIaYsZ3cugR_small.mp4
Unavailable,34.1490,84.5869,280.216,Above Sea Level,2020-12-01,02:08:49,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHL7yp3pFrXT.json,AH,RREEPPLLAACCEE/AH/L7/AHL7yp3pFrXT.mp4,RREEPPLLAACCEE/AH/L7/AHL7yp3pFrXT_small.mp4
Unavailable,21.3345,158.0870,27.409,Above Sea Level,2020-12-12,22:13:40,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHLJUuPspcdS.json,AH,RREEPPLLAACCEE/AH/LJ/AHLJUuPspcdS.mp4,RREEPPLLAACCEE/AH/LJ/AHLJUuPspcdS_small.mp4
Unavailable,40.2338,104.9967,0,Unavailable,2020-09-21,17:18:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHVm2omJQkFe.json,AH,RREEPPLLAACCEE/AH/Vm/AHVm2omJQkFe.mp4,RREEPPLLAACCEE/AH/Vm/AHVm2omJQkFe_small.mp4
Unavailable,28.3410,80.7501,5.551,Above Sea Level,2020-12-04,00:18:03,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHZmXC0rrN72.json,AH,RREEPPLLAACCEE/AH/Zm/AHZmXC0rrN72.mp4,RREEPPLLAACCEE/AH/Zm/AHZmXC0rrN72_small.mp4
Unavailable,41.8872,87.6204,193.402,Above Sea Level,2020-11-17,06:04:03,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHiY35sbjH5K.json,AH,RREEPPLLAACCEE/AH/iY/AHiY35sbjH5K.mp4,RREEPPLLAACCEE/AH/iY/AHiY35sbjH5K_small.mp4
Unavailable,38.8561,77.0424,7.117,Above Sea Level,2021-01-08,18:33:01,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHlDHcmD03dQ.json,AH,RREEPPLLAACCEE/AH/lD/AHlDHcmD03dQ.mp4,RREEPPLLAACCEE/AH/lD/AHlDHcmD03dQ_small.mp4
Unavailable,40.6199,74.0162,30.014,Above Sea Level,2020-11-28,00:17:10,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHmv03Xma11W.json,AH,RREEPPLLAACCEE/AH/mv/AHmv03Xma11W.mp4,RREEPPLLAACCEE/AH/mv/AHmv03Xma11W_small.mp4
Unavailable,40.6128,84.4085,0,Unavailable,2020-04-11,18:06:34,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHpmzyMphQlM.json,AH,RREEPPLLAACCEE/AH/pm/AHpmzyMphQlM.mp4,RREEPPLLAACCEE/AH/pm/AHpmzyMphQlM_small.mp4
Unavailable,44.3345,79.7144,315.2,Above Sea Level,2020-06-22,06:03:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AHwBtmyJiMGL.json,AH,RREEPPLLAACCEE/AH/wB/AHwBtmyJiMGL.mp4,RREEPPLLAACCEE/AH/wB/AHwBtmyJiMGL_small.mp4
Unavailable,37.5090,77.3334,48.233,Above Sea Level,2021-01-06,05:15:41,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ah0XlQ003UXP.json,Ah,RREEPPLLAACCEE/Ah/0X/Ah0XlQ003UXP.mp4,RREEPPLLAACCEE/Ah/0X/Ah0XlQ003UXP_small.mp4
Unavailable,3.7442,38.4852,20.393,Above Sea Level,2020-07-27,21:43:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ah1LCuRDvZe2.json,Ah,RREEPPLLAACCEE/Ah/1L/Ah1LCuRDvZe2.mp4,RREEPPLLAACCEE/Ah/1L/Ah1LCuRDvZe2_small.mp4
Unavailable,35.2700,90.4771,0,Unavailable,2021-01-07,16:59:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ah3lmZjyaD8p.json,Ah,RREEPPLLAACCEE/Ah/3l/Ah3lmZjyaD8p.mp4,RREEPPLLAACCEE/Ah/3l/Ah3lmZjyaD8p_small.mp4
Unavailable,37.5026,120.8194,36.273,Above Sea Level,2020-11-12,01:42:13,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhAComH92wea.json,Ah,RREEPPLLAACCEE/Ah/AC/AhAComH92wea.mp4,RREEPPLLAACCEE/Ah/AC/AhAComH92wea_small.mp4
Unavailable,49.2303,124.0223,137.315,Above Sea Level,2020-09-13,00:22:05,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhFjcuLLL4hh.json,Ah,RREEPPLLAACCEE/Ah/Fj/AhFjcuLLL4hh.mp4,RREEPPLLAACCEE/Ah/Fj/AhFjcuLLL4hh_small.mp4
Unavailable,37.5865,89.9488,238,Above Sea Level,2020-09-08,22:15:29,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhHisq8zlMi4.json,Ah,RREEPPLLAACCEE/Ah/Hi/AhHisq8zlMi4.mp4,RREEPPLLAACCEE/Ah/Hi/AhHisq8zlMi4_small.mp4
Unavailable,32.8516,97.2527,178.861,Above Sea Level,2020-11-09,01:46:21,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhIg9oi2ZmBP.json,Ah,RREEPPLLAACCEE/Ah/Ig/AhIg9oi2ZmBP.mp4,RREEPPLLAACCEE/Ah/Ig/AhIg9oi2ZmBP_small.mp4
Unavailable,26.3547,80.0741,0,Unavailable,2020-12-01,19:17:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhQHH8cgS5M4.json,Ah,RREEPPLLAACCEE/Ah/QH/AhQHH8cgS5M4.mp4,RREEPPLLAACCEE/Ah/QH/AhQHH8cgS5M4_small.mp4
Unavailable,33.8391,118.0593,11.034,Above Sea Level,2021-01-07,18:36:11,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhU0eFi3eU1h.json,Ah,RREEPPLLAACCEE/Ah/U0/AhU0eFi3eU1h.mp4,RREEPPLLAACCEE/Ah/U0/AhU0eFi3eU1h_small.mp4
Unavailable,34.1064,117.8202,271.762,Above Sea Level,2020-09-19,18:54:26,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AheZrUcHy2w9.json,Ah,RREEPPLLAACCEE/Ah/eZ/AheZrUcHy2w9.mp4,RREEPPLLAACCEE/Ah/eZ/AheZrUcHy2w9_small.mp4
Unavailable,26.4288,153.1082,5.251,Above Sea Level,2020-07-06,20:14:16,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhfJXPYmJZUL.json,Ah,RREEPPLLAACCEE/Ah/fJ/AhfJXPYmJZUL.mp4,RREEPPLLAACCEE/Ah/fJ/AhfJXPYmJZUL_small.mp4
Unavailable,39.2456,94.4473,257.24,Above Sea Level,2020-07-11,15:30:09,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhfWMqsuYCNE.json,Ah,RREEPPLLAACCEE/Ah/fW/AhfWMqsuYCNE.mp4,RREEPPLLAACCEE/Ah/fW/AhfWMqsuYCNE_small.mp4
Unavailable,39.9804,74.1047,0.985,Above Sea Level,2020-09-05,14:25:46,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhjNx5K0Ewgl.json,Ah,RREEPPLLAACCEE/Ah/jN/AhjNx5K0Ewgl.mp4,RREEPPLLAACCEE/Ah/jN/AhjNx5K0Ewgl_small.mp4
Unavailable,42.5711,114.5024,1120.689,Above Sea Level,2020-07-02,03:16:52,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AhopYZWpoFWE.json,Ah,RREEPPLLAACCEE/Ah/op/AhopYZWpoFWE.mp4,RREEPPLLAACCEE/Ah/op/AhopYZWpoFWE_small.mp4
