Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
45,0,0,0,Unavailable,2020-11-28,10:07:39,Unavailable,Unavailable,Unavailable,Unavailable,45,45,45,meta-TW33oCPLwLrM.json,TW,RREEPPLLAACCEE/TW/33/TW33oCPLwLrM.mp4,RREEPPLLAACCEE/TW/33/TW33oCPLwLrM_small.mp4
janaekinne,0,0,0,Unavailable,2020-06-29,21:30:17,Unavailable,Unavailable,Unavailable,Unavailable,janaekinne,janaekinne,janaekinne,meta-TWyRqNtSikuW.json,TW,RREEPPLLAACCEE/TW/yR/TWyRqNtSikuW.mp4,RREEPPLLAACCEE/TW/yR/TWyRqNtSikuW_small.mp4
michelcardon,0,0,0,Unavailable,2020-06-29,16:50:25,Unavailable,,Unavailable,Unavailable,michelcardon,michelcardon,michelcardon,meta-TwMwSGMoAgyM.json,Tw,RREEPPLLAACCEE/Tw/Mw/TwMwSGMoAgyM.mp4,RREEPPLLAACCEE/Tw/Mw/TwMwSGMoAgyM_small.mp4
Echoc,0,0,0,Unavailable,2020-11-06,08:35:08,Unavailable,,Unavailable,Unavailable,Echoc,Echoc,Echoc,meta-tWY5i1X2FSdF.json,tW,RREEPPLLAACCEE/tW/Y5/tWY5i1X2FSdF.mp4,RREEPPLLAACCEE/tW/Y5/tWY5i1X2FSdF_small.mp4
Jerry,0,0,0,Unavailable,2020-12-12,20:21:02,Unavailable,Unavailable,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-tWuywQXyfu8N.json,tW,RREEPPLLAACCEE/tW/uy/tWuywQXyfu8N.mp4,RREEPPLLAACCEE/tW/uy/tWuywQXyfu8N_small.mp4
tades,0,0,0,Unavailable,2021-01-07,08:50:44,Unavailable,Unavailable,Unavailable,Unavailable,tades,tades,tades,meta-twmvC7traM1o.json,tw,RREEPPLLAACCEE/tw/mv/twmvC7traM1o.mp4,RREEPPLLAACCEE/tw/mv/twmvC7traM1o_small.mp4
jeanalawrence,0,0,0,Unavailable,2020-11-12,01:36:56,Unavailable,Unavailable,Unavailable,Unavailable,jeanalawrence,jeanalawrence,jeanalawrence,meta-twrixdmD5pJP.json,tw,RREEPPLLAACCEE/tw/ri/twrixdmD5pJP.mp4,RREEPPLLAACCEE/tw/ri/twrixdmD5pJP_small.mp4
Unavailable,33.6627,117.9851,3.191,Above Sea Level,2020-08-21,16:22:40,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TW85CSdAGf0L.json,TW,RREEPPLLAACCEE/TW/85/TW85CSdAGf0L.mp4,RREEPPLLAACCEE/TW/85/TW85CSdAGf0L_small.mp4
Unavailable,40.6378,73.9112,6.162,Above Sea Level,2020-07-25,03:41:04,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TW8GM9mg82eQ.json,TW,RREEPPLLAACCEE/TW/8G/TW8GM9mg82eQ.mp4,RREEPPLLAACCEE/TW/8G/TW8GM9mg82eQ_small.mp4
Unavailable,47.9049,106.9070,1288.627,Above Sea Level,2021-01-09,06:28:35,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TWGXzT3kgPLm.json,TW,RREEPPLLAACCEE/TW/GX/TWGXzT3kgPLm.mp4,RREEPPLLAACCEE/TW/GX/TWGXzT3kgPLm_small.mp4
