Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
NEW,0,0,0,Unavailable,2020-12-05,13:06:06,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-Sobo9g1OOvlJ.json,So,RREEPPLLAACCEE/So/bo/Sobo9g1OOvlJ.mp4,RREEPPLLAACCEE/So/bo/Sobo9g1OOvlJ_small.mp4
paulg,0,0,0,Unavailable,2020-12-20,22:12:11,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-SonMfc5NaYbZ.json,So,RREEPPLLAACCEE/So/nM/SonMfc5NaYbZ.mp4,RREEPPLLAACCEE/So/nM/SonMfc5NaYbZ_small.mp4
Johnson,0,0,0,Unavailable,2020-12-04,00:35:10,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-sO2M7mFQ6VhQ.json,sO,RREEPPLLAACCEE/sO/2M/sO2M7mFQ6VhQ.mp4,RREEPPLLAACCEE/sO/2M/sO2M7mFQ6VhQ_small.mp4
andre,0,0,0,Unavailable,2020-12-23,22:18:52,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-sO8Tk04puhyB.json,sO,RREEPPLLAACCEE/sO/8T/sO8Tk04puhyB.mp4,RREEPPLLAACCEE/sO/8T/sO8Tk04puhyB_small.mp4
Drew,0,0,0,Unavailable,2020-12-13,16:50:43,Unavailable,Unavailable,Unavailable,Unavailable,Drew,Drew,Drew,meta-so9Nwe3SNdRo.json,so,RREEPPLLAACCEE/so/9N/so9Nwe3SNdRo.mp4,RREEPPLLAACCEE/so/9N/so9Nwe3SNdRo_small.mp4
marks,0,0,0,Unavailable,2020-04-24,17:42:30,Unavailable,Unavailable,Unavailable,Unavailable,marks,marks,marks,meta-sosV4Fdxe8M7.json,so,RREEPPLLAACCEE/so/sV/sosV4Fdxe8M7.mp4,RREEPPLLAACCEE/so/sV/sosV4Fdxe8M7_small.mp4
Unavailable,36.0586,115.0739,587.438,Above Sea Level,2020-09-28,09:34:16,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SO4ZyYxLQcGK.json,SO,RREEPPLLAACCEE/SO/4Z/SO4ZyYxLQcGK.mp4,RREEPPLLAACCEE/SO/4Z/SO4ZyYxLQcGK_small.mp4
Unavailable,33.7683,84.1159,251.132,Above Sea Level,2020-07-21,14:46:35,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SO87wFlGDdeN.json,SO,RREEPPLLAACCEE/SO/87/SO87wFlGDdeN.mp4,RREEPPLLAACCEE/SO/87/SO87wFlGDdeN_small.mp4
Unavailable,42.2123,83.1693,0,Unavailable,2020-10-19,19:45:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SOJM05jUDS3L.json,SO,RREEPPLLAACCEE/SO/JM/SOJM05jUDS3L.mp4,RREEPPLLAACCEE/SO/JM/SOJM05jUDS3L_small.mp4
Unavailable,39.0094,77.3261,118.326,Above Sea Level,2020-12-23,13:36:24,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SOM72p9yYwWE.json,SO,RREEPPLLAACCEE/SO/M7/SOM72p9yYwWE.mp4,RREEPPLLAACCEE/SO/M7/SOM72p9yYwWE_small.mp4
