Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Johnson,0,0,0,Unavailable,2021-01-03,01:11:19,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-LonVEXUgc5CT.json,Lo,RREEPPLLAACCEE/Lo/nV/LonVEXUgc5CT.mp4,RREEPPLLAACCEE/Lo/nV/LonVEXUgc5CT_small.mp4
noahd,0,0,0,Unavailable,2020-10-18,16:24:04,Unavailable,Unavailable,Unavailable,Unavailable,noahd,noahd,noahd,meta-LothTe5sM7eA.json,Lo,RREEPPLLAACCEE/Lo/th/LothTe5sM7eA.mp4,RREEPPLLAACCEE/Lo/th/LothTe5sM7eA_small.mp4
Michiel Vantongerloo,0,0,0,Unavailable,2020-09-15,12:00:11,Unavailable,Unavailable,Unavailable,Unavailable,Michiel Vantongerloo,Michiel Vantongerloo,Michiel Vantongerloo,meta-loCwnh4lnNbQ.json,lo,RREEPPLLAACCEE/lo/Cw/loCwnh4lnNbQ.mp4,RREEPPLLAACCEE/lo/Cw/loCwnh4lnNbQ_small.mp4
nhamilton1,0,0,0,Unavailable,2020-09-10,20:14:44,Unavailable,Unavailable,Unavailable,Unavailable,nhamilton1,nhamilton1,nhamilton1,meta-lorkrVjFq0Qn.json,lo,RREEPPLLAACCEE/lo/rk/lorkrVjFq0Qn.mp4,RREEPPLLAACCEE/lo/rk/lorkrVjFq0Qn_small.mp4
Unavailable,42.0224,88.0421,220.357,Above Sea Level,2020-11-10,05:10:09,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LO1QHEAV4RcT.json,LO,RREEPPLLAACCEE/LO/1Q/LO1QHEAV4RcT.mp4,RREEPPLLAACCEE/LO/1Q/LO1QHEAV4RcT_small.mp4
Unavailable,46.3576,94.2219,366.205,Above Sea Level,2020-10-26,10:29:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LO1ptjNWKJFr.json,LO,RREEPPLLAACCEE/LO/1p/LO1ptjNWKJFr.mp4,RREEPPLLAACCEE/LO/1p/LO1ptjNWKJFr_small.mp4
Unavailable,35.0962,92.4012,91.85,Above Sea Level,2020-12-30,19:44:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LO4DSIZB1fec.json,LO,RREEPPLLAACCEE/LO/4D/LO4DSIZB1fec.mp4,RREEPPLLAACCEE/LO/4D/LO4DSIZB1fec_small.mp4
Unavailable,35.7288,83.6020,519.481,Above Sea Level,2020-11-15,15:10:49,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LO6RTejV8J9X.json,LO,RREEPPLLAACCEE/LO/6R/LO6RTejV8J9X.mp4,RREEPPLLAACCEE/LO/6R/LO6RTejV8J9X_small.mp4
Unavailable,40.6564,73.6614,9.556,Above Sea Level,2020-01-09,18:45:26,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LO7Unxomx91e.json,LO,RREEPPLLAACCEE/LO/7U/LO7Unxomx91e.mp4,RREEPPLLAACCEE/LO/7U/LO7Unxomx91e_small.mp4
Unavailable,38.7973,76.8978,82.663,Above Sea Level,2020-12-18,22:23:43,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LOF7M8dCmgO8.json,LO,RREEPPLLAACCEE/LO/F7/LOF7M8dCmgO8.mp4,RREEPPLLAACCEE/LO/F7/LOF7M8dCmgO8_small.mp4
