Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
emery,0,0,0,Unavailable,2020-10-03,05:11:34,Unavailable,Unavailable,Unavailable,Unavailable,emery,emery,emery,meta-JaIOvs3sn8w5.json,Ja,RREEPPLLAACCEE/Ja/IO/JaIOvs3sn8w5.mp4,RREEPPLLAACCEE/Ja/IO/JaIOvs3sn8w5_small.mp4
marks,0,0,0,Unavailable,2020-10-30,23:32:54,Unavailable,Unavailable,Unavailable,Unavailable,marks,markstout,markstout,meta-JaON2WqrcvUC.json,Ja,RREEPPLLAACCEE/Ja/ON/JaON2WqrcvUC.mp4,RREEPPLLAACCEE/Ja/ON/JaON2WqrcvUC_small.mp4
Nathan,0,0,0,Unavailable,2020-11-18,18:32:07,Unavailable,Unavailable,Unavailable,Unavailable,Nathan,Nathan,Nathan,meta-JafnV6j3cozQ.json,Ja,RREEPPLLAACCEE/Ja/fn/JafnV6j3cozQ.mp4,RREEPPLLAACCEE/Ja/fn/JafnV6j3cozQ_small.mp4
Invisible,0,0,0,Unavailable,2020-11-05,09:40:43,Unavailable,Unavailable,Unavailable,Unavailable,Invisible,Invisible,Invisible,meta-jA7Ac2wrv8jE.json,jA,RREEPPLLAACCEE/jA/7A/jA7Ac2wrv8jE.mp4,RREEPPLLAACCEE/jA/7A/jA7Ac2wrv8jE_small.mp4
gustensundqvist,0,0,0,Unavailable,2020-11-09,23:42:04,Unavailable,Unavailable,Unavailable,Unavailable,gustensundqvist,gustensundqvist,gustensundqvist,meta-jAhunzuA0NLe.json,jA,RREEPPLLAACCEE/jA/hu/jAhunzuA0NLe.mp4,RREEPPLLAACCEE/jA/hu/jAhunzuA0NLe_small.mp4
cartermahnke,0,0,0,Unavailable,2020-11-16,21:06:41,Unavailable,Unavailable,Unavailable,Unavailable,cartermahnke,cartermahnke,cartermahnke,meta-jArPpfJqHpsk.json,jA,RREEPPLLAACCEE/jA/rP/jArPpfJqHpsk.mp4,RREEPPLLAACCEE/jA/rP/jArPpfJqHpsk_small.mp4
Johnson,0,0,0,Unavailable,2020-12-14,00:08:51,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-jaTPeksYpYwv.json,ja,RREEPPLLAACCEE/ja/TP/jaTPeksYpYwv.mp4,RREEPPLLAACCEE/ja/TP/jaTPeksYpYwv_small.mp4
buete,0,0,0,Unavailable,2020-10-30,20:33:46,Unavailable,Unavailable,Unavailable,Unavailable,buete,buete,buete,meta-jaTf0jkdBoVE.json,ja,RREEPPLLAACCEE/ja/Tf/jaTf0jkdBoVE.mp4,RREEPPLLAACCEE/ja/Tf/jaTf0jkdBoVE_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-10-12,17:32:06,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-jam2jWkKb0Dd.json,ja,RREEPPLLAACCEE/ja/m2/jam2jWkKb0Dd.mp4,RREEPPLLAACCEE/ja/m2/jam2jWkKb0Dd_small.mp4
Unavailable,38.8861,77.2822,128.425,Above Sea Level,2020-11-19,18:13:52,Apple,iPad (7th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JA9z7jnblfFd.json,JA,RREEPPLLAACCEE/JA/9z/JA9z7jnblfFd.mp4,RREEPPLLAACCEE/JA/9z/JA9z7jnblfFd_small.mp4
Unavailable,38.2860,105.5083,2353.76,Above Sea Level,2020-03-10,21:59:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JAAlEGhbaMaL.json,JA,RREEPPLLAACCEE/JA/Al/JAAlEGhbaMaL.mp4,RREEPPLLAACCEE/JA/Al/JAAlEGhbaMaL_small.mp4
Unavailable,39.5722,89.3844,172.062,Above Sea Level,2020-11-07,16:18:05,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JAGAvPBGGVh3.json,JA,RREEPPLLAACCEE/JA/GA/JAGAvPBGGVh3.mp4,RREEPPLLAACCEE/JA/GA/JAGAvPBGGVh3_small.mp4
Unavailable,26.4848,82.0020,2.274,Above Sea Level,2020-11-16,15:58:01,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JAHICm5cmO8F.json,JA,RREEPPLLAACCEE/JA/HI/JAHICm5cmO8F.mp4,RREEPPLLAACCEE/JA/HI/JAHICm5cmO8F_small.mp4
Unavailable,36.7319,93.1173,301.403,Above Sea Level,2020-11-14,01:27:25,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JANGFBI85b9o.json,JA,RREEPPLLAACCEE/JA/NG/JANGFBI85b9o.mp4,RREEPPLLAACCEE/JA/NG/JANGFBI85b9o_small.mp4
Unavailable,32.8121,89.1049,124.959,Above Sea Level,2020-10-24,23:17:52,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JAPAArwpjAGL.json,JA,RREEPPLLAACCEE/JA/PA/JAPAArwpjAGL.mp4,RREEPPLLAACCEE/JA/PA/JAPAArwpjAGL_small.mp4
Unavailable,41.4435,85.2678,303.272,Above Sea Level,2020-12-04,11:44:10,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JATOHgua22bG.json,JA,RREEPPLLAACCEE/JA/TO/JATOHgua22bG.mp4,RREEPPLLAACCEE/JA/TO/JATOHgua22bG_small.mp4
Unavailable,28.6168,81.4489,21.438,Above Sea Level,2020-12-19,07:36:47,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JATyGA3fTj5E.json,JA,RREEPPLLAACCEE/JA/Ty/JATyGA3fTj5E.mp4,RREEPPLLAACCEE/JA/Ty/JATyGA3fTj5E_small.mp4
