Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Mtech Consultoria,0,0,0,Unavailable,2020-08-26,01:22:00,Unavailable,Unavailable,Unavailable,Unavailable,Mtech Consultoria,Mtech Consultoria,Mtech Consultoria,meta-XAiWwLWYPedW.json,XA,RREEPPLLAACCEE/XA/iW/XAiWwLWYPedW.mp4,RREEPPLLAACCEE/XA/iW/XAiWwLWYPedW_small.mp4
Chewylouie,0,0,0,Unavailable,2020-07-08,01:21:50,Unavailable,Unavailable,Unavailable,Unavailable,Chewylouie,Chewylouie,Chewylouie,meta-XaiwyjtdtqpN.json,Xa,RREEPPLLAACCEE/Xa/iw/XaiwyjtdtqpN.mp4,RREEPPLLAACCEE/Xa/iw/XaiwyjtdtqpN_small.mp4
Sophie,0,0,0,Unavailable,2020-12-16,20:01:45,Unavailable,Unavailable,Unavailable,Unavailable,Sophie,Sophie,Sophie,meta-xAZhF5v4DD3i.json,xA,RREEPPLLAACCEE/xA/Zh/xAZhF5v4DD3i.mp4,RREEPPLLAACCEE/xA/Zh/xAZhF5v4DD3i_small.mp4
paulg,0,0,0,Unavailable,2020-11-09,22:40:17,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-xaEe8wtlWaAr.json,xa,RREEPPLLAACCEE/xa/Ee/xaEe8wtlWaAr.mp4,RREEPPLLAACCEE/xa/Ee/xaEe8wtlWaAr_small.mp4
Kenny,0,0,0,Unavailable,2020-01-02,05:27:41,Unavailable,Unavailable,Unavailable,Unavailable,Kenny,Kenny,Kenny,meta-xaJz1XcBEStJ.json,xa,RREEPPLLAACCEE/xa/Jz/xaJz1XcBEStJ.mp4,RREEPPLLAACCEE/xa/Jz/xaJz1XcBEStJ_small.mp4
katherinelee,0,0,0,Unavailable,2020-08-19,15:08:00,Unavailable,,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-xad8StOXb6ev.json,xa,RREEPPLLAACCEE/xa/d8/xad8StOXb6ev.mp4,RREEPPLLAACCEE/xa/d8/xad8StOXb6ev_small.mp4
Unavailable,31.2973,86.8730,89.752,Above Sea Level,2020-10-28,02:10:18,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XA998hIvXT2k.json,XA,RREEPPLLAACCEE/XA/99/XA998hIvXT2k.mp4,RREEPPLLAACCEE/XA/99/XA998hIvXT2k_small.mp4
Unavailable,33.9526,81.0949,0,Unavailable,2020-12-13,02:22:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XA9DbR6TKf77.json,XA,RREEPPLLAACCEE/XA/9D/XA9DbR6TKf77.mp4,RREEPPLLAACCEE/XA/9D/XA9DbR6TKf77_small.mp4
Unavailable,40.0727,75.0760,58.369,Above Sea Level,2020-10-25,17:40:28,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XA9n192jWrTi.json,XA,RREEPPLLAACCEE/XA/9n/XA9n192jWrTi.mp4,RREEPPLLAACCEE/XA/9n/XA9n192jWrTi_small.mp4
Unavailable,38.3418,97.6606,468.145,Above Sea Level,2020-10-23,15:14:25,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XAG1idO98CbV.json,XA,RREEPPLLAACCEE/XA/G1/XAG1idO98CbV.mp4,RREEPPLLAACCEE/XA/G1/XAG1idO98CbV_small.mp4
Unavailable,57.0433,60.5841,293.287,Above Sea Level,2020-07-04,11:39:49,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XAKVaikwLGTq.json,XA,RREEPPLLAACCEE/XA/KV/XAKVaikwLGTq.mp4,RREEPPLLAACCEE/XA/KV/XAKVaikwLGTq_small.mp4
