Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Ryan,0,0,0,Unavailable,2020-11-10,07:41:26,Unavailable,Unavailable,Unavailable,Unavailable,Ryan,Ryan,Ryan,meta-ZMGEIdfWNOWJ.json,ZM,RREEPPLLAACCEE/ZM/GE/ZMGEIdfWNOWJ.mp4,RREEPPLLAACCEE/ZM/GE/ZMGEIdfWNOWJ_small.mp4
jordi,0,0,0,Unavailable,2020-08-30,13:54:15,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-ZMM955ioPHie.json,ZM,RREEPPLLAACCEE/ZM/M9/ZMM955ioPHie.mp4,RREEPPLLAACCEE/ZM/M9/ZMM955ioPHie_small.mp4
rajshree,0,0,0,Unavailable,2020-08-05,16:09:55,Unavailable,Unavailable,Unavailable,Unavailable,rajshree,rajshree,rajshree,meta-ZMTTKsqo1DbA.json,ZM,RREEPPLLAACCEE/ZM/TT/ZMTTKsqo1DbA.mp4,RREEPPLLAACCEE/ZM/TT/ZMTTKsqo1DbA_small.mp4
Lucy,0,0,0,Unavailable,2020-10-14,06:23:53,Unavailable,Unavailable,Unavailable,Unavailable,Lucy,Lucy,Lucy,meta-ZmyP0VwSI5FA.json,Zm,RREEPPLLAACCEE/Zm/yP/ZmyP0VwSI5FA.mp4,RREEPPLLAACCEE/Zm/yP/ZmyP0VwSI5FA_small.mp4
calvin,0,0,0,Unavailable,2020-11-11,22:01:07,Unavailable,Unavailable,Unavailable,Unavailable,calvin,calvin,calvin,meta-zMtpkr5PANbq.json,zM,RREEPPLLAACCEE/zM/tp/zMtpkr5PANbq.mp4,RREEPPLLAACCEE/zM/tp/zMtpkr5PANbq_small.mp4
wellingtonmacedo,0,0,0,Unavailable,2020-07-02,19:04:11,Unavailable,,Unavailable,Unavailable,wellingtonmacedo,wellingtonmacedo,wellingtonmacedo,meta-zmAYBjncHqWA.json,zm,RREEPPLLAACCEE/zm/AY/zmAYBjncHqWA.mp4,RREEPPLLAACCEE/zm/AY/zmAYBjncHqWA_small.mp4
Unavailable,29.2685,81.2184,11.953,Above Sea Level,2020-12-16,22:33:32,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZM0eeND15oPy.json,ZM,RREEPPLLAACCEE/ZM/0e/ZM0eeND15oPy.mp4,RREEPPLLAACCEE/ZM/0e/ZM0eeND15oPy_small.mp4
Unavailable,21.4148,157.9942,105.758,Above Sea Level,2020-12-09,19:42:54,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZM0w556W3wo1.json,ZM,RREEPPLLAACCEE/ZM/0w/ZM0w556W3wo1.mp4,RREEPPLLAACCEE/ZM/0w/ZM0w556W3wo1_small.mp4
Unavailable,35.4701,81.1621,282.433,Above Sea Level,2020-11-14,01:47:51,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZM2LFFao1P2m.json,ZM,RREEPPLLAACCEE/ZM/2L/ZM2LFFao1P2m.mp4,RREEPPLLAACCEE/ZM/2L/ZM2LFFao1P2m_small.mp4
Unavailable,48.7431,122.4757,70.005,Above Sea Level,2020-07-22,19:54:06,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMAlU4bNH1KX.json,ZM,RREEPPLLAACCEE/ZM/Al/ZMAlU4bNH1KX.mp4,RREEPPLLAACCEE/ZM/Al/ZMAlU4bNH1KX_small.mp4
Unavailable,31.5631,97.1954,165.634,Above Sea Level,2020-11-30,22:14:43,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMFHpsf1G5eP.json,ZM,RREEPPLLAACCEE/ZM/FH/ZMFHpsf1G5eP.mp4,RREEPPLLAACCEE/ZM/FH/ZMFHpsf1G5eP_small.mp4
Unavailable,33.0405,96.8526,198.103,Above Sea Level,2021-01-09,23:37:09,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMGpbNpQP5he.json,ZM,RREEPPLLAACCEE/ZM/Gp/ZMGpbNpQP5he.mp4,RREEPPLLAACCEE/ZM/Gp/ZMGpbNpQP5he_small.mp4
Unavailable,38.5211,90.3500,182.017,Above Sea Level,2020-11-13,19:56:46,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMW703B758oQ.json,ZM,RREEPPLLAACCEE/ZM/W7/ZMW703B758oQ.mp4,RREEPPLLAACCEE/ZM/W7/ZMW703B758oQ_small.mp4
Unavailable,36.0332,115.2387,0,Unavailable,2020-11-11,19:30:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMbL4yOyiJEK.json,ZM,RREEPPLLAACCEE/ZM/bL/ZMbL4yOyiJEK.mp4,RREEPPLLAACCEE/ZM/bL/ZMbL4yOyiJEK_small.mp4
Unavailable,45.4804,73.6640,52.47,Above Sea Level,2020-06-03,02:58:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMfdOiiahJvY.json,ZM,RREEPPLLAACCEE/ZM/fd/ZMfdOiiahJvY.mp4,RREEPPLLAACCEE/ZM/fd/ZMfdOiiahJvY_small.mp4
Unavailable,40.4507,77.2925,283.184,Above Sea Level,2020-09-11,19:22:08,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMfduNp2lFnr.json,ZM,RREEPPLLAACCEE/ZM/fd/ZMfduNp2lFnr.mp4,RREEPPLLAACCEE/ZM/fd/ZMfduNp2lFnr_small.mp4
Unavailable,26.4026,81.8058,5.023,Above Sea Level,2020-11-11,16:20:39,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMg4Qfj1kief.json,ZM,RREEPPLLAACCEE/ZM/g4/ZMg4Qfj1kief.mp4,RREEPPLLAACCEE/ZM/g4/ZMg4Qfj1kief_small.mp4
Unavailable,38.8921,77.0112,10.026,Above Sea Level,2020-11-14,17:37:27,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMhejqRnOyep.json,ZM,RREEPPLLAACCEE/ZM/he/ZMhejqRnOyep.mp4,RREEPPLLAACCEE/ZM/he/ZMhejqRnOyep_small.mp4
Unavailable,36.9504,122.0451,11.604,Above Sea Level,2020-11-27,22:46:12,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMi5xr331VM0.json,ZM,RREEPPLLAACCEE/ZM/i5/ZMi5xr331VM0.mp4,RREEPPLLAACCEE/ZM/i5/ZMi5xr331VM0_small.mp4
Unavailable,40.9070,73.5529,3.86,Above Sea Level,2020-08-17,03:05:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZMk6fTfAIwMK.json,ZM,RREEPPLLAACCEE/ZM/k6/ZMk6fTfAIwMK.mp4,RREEPPLLAACCEE/ZM/k6/ZMk6fTfAIwMK_small.mp4
