Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Pablo Cruz,0,0,0,Unavailable,2021-01-06,09:09:32,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-GU2Qt6v3AseP.json,GU,RREEPPLLAACCEE/GU/2Q/GU2Qt6v3AseP.mp4,RREEPPLLAACCEE/GU/2Q/GU2Qt6v3AseP_small.mp4
Cooper HQ,0,0,0,Unavailable,2020-09-26,15:48:19,Unavailable,Unavailable,Unavailable,Unavailable,Cooper HQ,Cooper HQ,Cooper HQ,meta-GUw1t73s6iz9.json,GU,RREEPPLLAACCEE/GU/w1/GUw1t73s6iz9.mp4,RREEPPLLAACCEE/GU/w1/GUw1t73s6iz9_small.mp4
olivierconrardy,0,0,0,Unavailable,2020-02-28,19:56:05,Unavailable,Unavailable,Unavailable,Unavailable,olivierconrardy,olivierconrardy,olivierconrardy,meta-GubXLba8pERP.json,Gu,RREEPPLLAACCEE/Gu/bX/GubXLba8pERP.mp4,RREEPPLLAACCEE/Gu/bX/GubXLba8pERP_small.mp4
miguelperulles,0,0,0,Unavailable,2020-12-03,01:05:58,Unavailable,Unavailable,Unavailable,Unavailable,miguelperulles,miguelperulles,miguelperulles,meta-gUc18YDSshfh.json,gU,RREEPPLLAACCEE/gU/c1/gUc18YDSshfh.mp4,RREEPPLLAACCEE/gU/c1/gUc18YDSshfh_small.mp4
Aleksandra,0,0,0,Unavailable,2020-09-09,06:47:04,Unavailable,Unavailable,Unavailable,Unavailable,Aleksandra,Aleksandra,Aleksandra,meta-guONRWPNlFOQ.json,gu,RREEPPLLAACCEE/gu/ON/guONRWPNlFOQ.mp4,RREEPPLLAACCEE/gu/ON/guONRWPNlFOQ_small.mp4
Unavailable,21.4148,157.9942,105.331,Above Sea Level,2020-11-04,01:21:11,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GU12lDi7gufb.json,GU,RREEPPLLAACCEE/GU/12/GU12lDi7gufb.mp4,RREEPPLLAACCEE/GU/12/GU12lDi7gufb_small.mp4
Unavailable,35.2701,90.4771,0,Unavailable,2021-01-08,20:53:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GU9a9j6JXbWY.json,GU,RREEPPLLAACCEE/GU/9a/GU9a9j6JXbWY.mp4,RREEPPLLAACCEE/GU/9a/GU9a9j6JXbWY_small.mp4
Unavailable,37.7101,85.9814,250.675,Above Sea Level,2020-07-05,02:10:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUAgUEdCqSov.json,GU,RREEPPLLAACCEE/GU/Ag/GUAgUEdCqSov.mp4,RREEPPLLAACCEE/GU/Ag/GUAgUEdCqSov_small.mp4
Unavailable,40.1612,122.3046,121.479,Above Sea Level,2020-11-24,19:13:43,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUAuXaxfZDi6.json,GU,RREEPPLLAACCEE/GU/Au/GUAuXaxfZDi6.mp4,RREEPPLLAACCEE/GU/Au/GUAuXaxfZDi6_small.mp4
Unavailable,33.4195,117.6204,5.25,Above Sea Level,2020-11-10,04:58:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUL7mofBOh36.json,GU,RREEPPLLAACCEE/GU/L7/GUL7mofBOh36.mp4,RREEPPLLAACCEE/GU/L7/GUL7mofBOh36_small.mp4
Unavailable,60.1951,134.7029,575.008,Above Sea Level,2019-05-30,20:27:10,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUPjBHTtyjun.json,GU,RREEPPLLAACCEE/GU/Pj/GUPjBHTtyjun.mp4,RREEPPLLAACCEE/GU/Pj/GUPjBHTtyjun_small.mp4
Unavailable,36.1661,86.7835,161.513,Above Sea Level,2020-06-24,18:57:22,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUREIELyBPtG.json,GU,RREEPPLLAACCEE/GU/RE/GUREIELyBPtG.mp4,RREEPPLLAACCEE/GU/RE/GUREIELyBPtG_small.mp4
Unavailable,42.9849,88.0453,0,Unavailable,2020-08-30,02:44:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GURxVdMNs2Xz.json,GU,RREEPPLLAACCEE/GU/Rx/GURxVdMNs2Xz.mp4,RREEPPLLAACCEE/GU/Rx/GURxVdMNs2Xz_small.mp4
Unavailable,40.8898,74.2166,43.487,Above Sea Level,2020-07-10,15:27:29,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUTewmvNeJGz.json,GU,RREEPPLLAACCEE/GU/Te/GUTewmvNeJGz.mp4,RREEPPLLAACCEE/GU/Te/GUTewmvNeJGz_small.mp4
Unavailable,32.8398,117.2444,244.846,Above Sea Level,2020-12-02,17:05:18,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUWpJncUQpNt.json,GU,RREEPPLLAACCEE/GU/Wp/GUWpJncUQpNt.mp4,RREEPPLLAACCEE/GU/Wp/GUWpJncUQpNt_small.mp4
Unavailable,30.5994,87.1799,16.412,Above Sea Level,2020-12-17,16:34:23,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUWr2QJ7Vp0m.json,GU,RREEPPLLAACCEE/GU/Wr/GUWr2QJ7Vp0m.mp4,RREEPPLLAACCEE/GU/Wr/GUWr2QJ7Vp0m_small.mp4
Unavailable,36.8088,119.8080,0,Unavailable,2020-12-14,03:00:13,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUYMj5ZZsY9O.json,GU,RREEPPLLAACCEE/GU/YM/GUYMj5ZZsY9O.mp4,RREEPPLLAACCEE/GU/YM/GUYMj5ZZsY9O_small.mp4
Unavailable,44.8457,93.2580,253.853,Above Sea Level,2020-07-05,03:18:39,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUYvQvetkafJ.json,GU,RREEPPLLAACCEE/GU/Yv/GUYvQvetkafJ.mp4,RREEPPLLAACCEE/GU/Yv/GUYvQvetkafJ_small.mp4
Unavailable,37.5299,121.9685,11.78,Above Sea Level,2020-06-02,21:38:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GUlzhGNekDvd.json,GU,RREEPPLLAACCEE/GU/lz/GUlzhGNekDvd.mp4,RREEPPLLAACCEE/GU/lz/GUlzhGNekDvd_small.mp4
