Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
imacpro1,0,0,0,Unavailable,2020-08-18,10:13:09,Panasonic,,Unavailable,Unavailable,home,videoimacpro,videoimacpro,meta-CBRk0XX59r0O.json,CB,RREEPPLLAACCEE/CB/Rk/CBRk0XX59r0O.mp4,RREEPPLLAACCEE/CB/Rk/CBRk0XX59r0O_small.mp4
Viktor,0,0,0,Unavailable,2020-09-12,14:11:00,Unavailable,Unavailable,Unavailable,Unavailable,Viktor,Viktor,Viktor,meta-Cb8UxX6R6pUK.json,Cb,RREEPPLLAACCEE/Cb/8U/Cb8UxX6R6pUK.mp4,RREEPPLLAACCEE/Cb/8U/Cb8UxX6R6pUK_small.mp4
Admin,0,0,0,Unavailable,2020-06-04,18:26:55,Unavailable,Unavailable,Unavailable,Unavailable,Admin,Admin,Admin,meta-CbphMenRreZW.json,Cb,RREEPPLLAACCEE/Cb/ph/CbphMenRreZW.mp4,RREEPPLLAACCEE/Cb/ph/CbphMenRreZW_small.mp4
Unavailable,44.6026,110.8381,2201.953,Above Sea Level,2020-10-28,14:58:25,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CB52fykGzsB2.json,CB,RREEPPLLAACCEE/CB/52/CB52fykGzsB2.mp4,RREEPPLLAACCEE/CB/52/CB52fykGzsB2_small.mp4
Unavailable,33.5099,82.4466,151.037,Above Sea Level,2020-11-15,20:25:05,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CB5dNZ1ZOD2r.json,CB,RREEPPLLAACCEE/CB/5d/CB5dNZ1ZOD2r.mp4,RREEPPLLAACCEE/CB/5d/CB5dNZ1ZOD2r_small.mp4
Unavailable,34.5881,86.4432,0,Unavailable,2020-11-01,00:45:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CB7FeTkJXL7u.json,CB,RREEPPLLAACCEE/CB/7F/CB7FeTkJXL7u.mp4,RREEPPLLAACCEE/CB/7F/CB7FeTkJXL7u_small.mp4
Unavailable,38.9424,104.8503,1993.049,Above Sea Level,2020-11-08,22:34:47,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CB7tL03x9qe6.json,CB,RREEPPLLAACCEE/CB/7t/CB7tL03x9qe6.mp4,RREEPPLLAACCEE/CB/7t/CB7tL03x9qe6_small.mp4
Unavailable,41.8973,71.3859,18.568,Above Sea Level,2020-12-08,00:26:05,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CB8wNWl3pSY7.json,CB,RREEPPLLAACCEE/CB/8w/CB8wNWl3pSY7.mp4,RREEPPLLAACCEE/CB/8w/CB8wNWl3pSY7_small.mp4
Unavailable,47.3890,122.2560,12.519,Above Sea Level,2020-05-02,16:43:55,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CBEGq3wnHY9Z.json,CB,RREEPPLLAACCEE/CB/EG/CBEGq3wnHY9Z.mp4,RREEPPLLAACCEE/CB/EG/CBEGq3wnHY9Z_small.mp4
Unavailable,21.4147,157.9942,105.658,Above Sea Level,2020-07-17,21:31:46,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CBEcXLhiyXCQ.json,CB,RREEPPLLAACCEE/CB/Ec/CBEcXLhiyXCQ.mp4,RREEPPLLAACCEE/CB/Ec/CBEcXLhiyXCQ_small.mp4
