Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Rechee,0,0,0,Unavailable,2020-12-04,23:35:04,NIKON CORPORATION,,,Unavailable,Miles,Miles,Miles,meta-KQGnCiYfuLlt.json,KQ,RREEPPLLAACCEE/KQ/Gn/KQGnCiYfuLlt.mp4,RREEPPLLAACCEE/KQ/Gn/KQGnCiYfuLlt_small.mp4
home,0,0,0,Unavailable,2020-11-08,21:17:34,Unavailable,Unavailable,Unavailable,Unavailable,home,home,home,meta-KQiFUgDFQtrh.json,KQ,RREEPPLLAACCEE/KQ/iF/KQiFUgDFQtrh.mp4,RREEPPLLAACCEE/KQ/iF/KQiFUgDFQtrh_small.mp4
uif,0,0,0,Unavailable,2020-11-16,23:55:59,Unavailable,Unavailable,Unavailable,Unavailable,uif,uif,uif,meta-KQp0rKLhCYmP.json,KQ,RREEPPLLAACCEE/KQ/p0/KQp0rKLhCYmP.mp4,RREEPPLLAACCEE/KQ/p0/KQp0rKLhCYmP_small.mp4
Jamie,0,0,0,Unavailable,2020-11-24,18:29:29,Unavailable,Unavailable,Unavailable,Unavailable,Jamie,Jamie,Jamie,meta-KqD59hz5Gmkx.json,Kq,RREEPPLLAACCEE/Kq/D5/KqD59hz5Gmkx.mp4,RREEPPLLAACCEE/Kq/D5/KqD59hz5Gmkx_small.mp4
sq,0,0,0,Unavailable,2019-08-30,08:05:14,Unavailable,Unavailable,Unavailable,Unavailable,sq,sq,sq,meta-KqsQ7m3Z8KUU.json,Kq,RREEPPLLAACCEE/Kq/sQ/KqsQ7m3Z8KUU.mp4,RREEPPLLAACCEE/Kq/sQ/KqsQ7m3Z8KUU_small.mp4
valerielockhart,0,0,0,Unavailable,2020-12-15,22:21:20,Unavailable,Unavailable,Unavailable,Unavailable,valerielockhart,valerielockhart,valerielockhart,meta-kQoUHAGIXoEz.json,kQ,RREEPPLLAACCEE/kQ/oU/kQoUHAGIXoEz.mp4,RREEPPLLAACCEE/kQ/oU/kQoUHAGIXoEz_small.mp4
convergencemedia,0,0,0,Unavailable,2020-10-18,15:33:38,Unavailable,Unavailable,Unavailable,Unavailable,convergencemedia,convergencemedia,convergencemedia,meta-kqbZGsgKBYeg.json,kq,RREEPPLLAACCEE/kq/bZ/kqbZGsgKBYeg.mp4,RREEPPLLAACCEE/kq/bZ/kqbZGsgKBYeg_small.mp4
Unavailable,39.1335,76.6873,56.171,Above Sea Level,2020-08-18,01:32:22,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KQ0SKxbmLVY2.json,KQ,RREEPPLLAACCEE/KQ/0S/KQ0SKxbmLVY2.mp4,RREEPPLLAACCEE/KQ/0S/KQ0SKxbmLVY2_small.mp4
Unavailable,38.8882,77.0086,24.195,Above Sea Level,2021-01-06,20:40:44,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KQ0TpQnsiuCS.json,KQ,RREEPPLLAACCEE/KQ/0T/KQ0TpQnsiuCS.mp4,RREEPPLLAACCEE/KQ/0T/KQ0TpQnsiuCS_small.mp4
Unavailable,36.2835,115.1148,628.42,Above Sea Level,2020-11-21,02:42:56,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KQ17e40WU3BX.json,KQ,RREEPPLLAACCEE/KQ/17/KQ17e40WU3BX.mp4,RREEPPLLAACCEE/KQ/17/KQ17e40WU3BX_small.mp4
