Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
alunablue,0,0,0,Unavailable,2020-06-25,03:49:49,Unavailable,Unavailable,Unavailable,Unavailable,alunablue,alunablue,alunablue,meta-ZHNqlhhyYcTt.json,ZH,RREEPPLLAACCEE/ZH/Nq/ZHNqlhhyYcTt.mp4,RREEPPLLAACCEE/ZH/Nq/ZHNqlhhyYcTt_small.mp4
MS9,0,0,0,Unavailable,2020-07-13,22:32:19,Unavailable,Unavailable,Unavailable,Unavailable,MS9,MS9,MS9,meta-zHkWsk15V1dG.json,zH,RREEPPLLAACCEE/zH/kW/zHkWsk15V1dG.mp4,RREEPPLLAACCEE/zH/kW/zHkWsk15V1dG_small.mp4
Unavailable,39.7886,86.2379,223.373,Above Sea Level,2014-07-27,20:01:22,Apple,iPhone 5s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZH04TyBzwxp4.json,ZH,RREEPPLLAACCEE/ZH/04/ZH04TyBzwxp4.mp4,RREEPPLLAACCEE/ZH/04/ZH04TyBzwxp4_small.mp4
Unavailable,42.2073,121.7478,1249.728,Above Sea Level,2020-11-12,02:16:38,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZH1LOKBY4fY2.json,ZH,RREEPPLLAACCEE/ZH/1L/ZH1LOKBY4fY2.mp4,RREEPPLLAACCEE/ZH/1L/ZH1LOKBY4fY2_small.mp4
Unavailable,34.1707,118.5712,254.728,Above Sea Level,2020-11-01,18:41:56,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZH3pZbf1jzl2.json,ZH,RREEPPLLAACCEE/ZH/3p/ZH3pZbf1jzl2.mp4,RREEPPLLAACCEE/ZH/3p/ZH3pZbf1jzl2_small.mp4
Unavailable,27.9790,82.5026,11.314,Above Sea Level,2020-10-29,17:54:17,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZH7O64h3Stco.json,ZH,RREEPPLLAACCEE/ZH/7O/ZH7O64h3Stco.mp4,RREEPPLLAACCEE/ZH/7O/ZH7O64h3Stco_small.mp4
Unavailable,33.8138,117.5451,390.66,Above Sea Level,2020-11-26,07:17:46,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZHCUWYOGTpNk.json,ZH,RREEPPLLAACCEE/ZH/CU/ZHCUWYOGTpNk.mp4,RREEPPLLAACCEE/ZH/CU/ZHCUWYOGTpNk_small.mp4
Unavailable,38.8953,77.0285,7.719,Above Sea Level,2020-11-14,21:08:26,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZHLLB9L2Ptpq.json,ZH,RREEPPLLAACCEE/ZH/LL/ZHLLB9L2Ptpq.mp4,RREEPPLLAACCEE/ZH/LL/ZHLLB9L2Ptpq_small.mp4
Unavailable,35.5154,83.1883,0,Unavailable,2020-10-06,12:38:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZHPSoqRi23ne.json,ZH,RREEPPLLAACCEE/ZH/PS/ZHPSoqRi23ne.mp4,RREEPPLLAACCEE/ZH/PS/ZHPSoqRi23ne_small.mp4
Unavailable,38.8933,77.0334,5.888,Above Sea Level,2021-01-06,13:29:03,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZHPkLzKWK2Bs.json,ZH,RREEPPLLAACCEE/ZH/Pk/ZHPkLzKWK2Bs.mp4,RREEPPLLAACCEE/ZH/Pk/ZHPkLzKWK2Bs_small.mp4
Unavailable,33.4939,111.9925,370.418,Above Sea Level,2020-07-16,18:05:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZHRXcuSaCpy0.json,ZH,RREEPPLLAACCEE/ZH/RX/ZHRXcuSaCpy0.mp4,RREEPPLLAACCEE/ZH/RX/ZHRXcuSaCpy0_small.mp4
