Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
johnwatts,0,0,0,Unavailable,2020-12-27,06:06:37,Synthetic Camera,,Unavailable,Unavailable,johnwatts,johnwatts,johnwatts,meta-We50ou6bF1sZ.json,We,RREEPPLLAACCEE/We/50/We50ou6bF1sZ.mp4,RREEPPLLAACCEE/We/50/We50ou6bF1sZ_small.mp4
vatan,0,0,0,Unavailable,2020-07-21,08:17:32,Unavailable,Unavailable,Unavailable,Unavailable,vatan,vatan,vatan,meta-Wet2ZOwGy34u.json,We,RREEPPLLAACCEE/We/t2/Wet2ZOwGy34u.mp4,RREEPPLLAACCEE/We/t2/Wet2ZOwGy34u_small.mp4
Viktor,0,0,0,Unavailable,2020-08-25,06:20:16,Unavailable,Unavailable,Unavailable,Unavailable,Viktor,Viktor,Viktor,meta-wECqjPQ8sdVH.json,wE,RREEPPLLAACCEE/wE/Cq/wECqjPQ8sdVH.mp4,RREEPPLLAACCEE/wE/Cq/wECqjPQ8sdVH_small.mp4
Unavailable,33.5899,117.7433,176.558,Above Sea Level,2020-11-19,18:01:09,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WE7FE7xAOFNg.json,WE,RREEPPLLAACCEE/WE/7F/WE7FE7xAOFNg.mp4,RREEPPLLAACCEE/WE/7F/WE7FE7xAOFNg_small.mp4
Unavailable,28.4054,80.6540,0.534,Above Sea Level,2020-11-16,00:27:20,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WE9y055CHaYt.json,WE,RREEPPLLAACCEE/WE/9y/WE9y055CHaYt.mp4,RREEPPLLAACCEE/WE/9y/WE9y055CHaYt_small.mp4
Unavailable,33.1973,96.6138,172.184,Above Sea Level,2020-11-03,21:28:55,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEEg35uGR4C4.json,WE,RREEPPLLAACCEE/WE/Eg/WEEg35uGR4C4.mp4,RREEPPLLAACCEE/WE/Eg/WEEg35uGR4C4_small.mp4
Unavailable,42.9709,109.7666,2584.148,Above Sea Level,2020-12-07,23:42:30,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEGbITMwBBCs.json,WE,RREEPPLLAACCEE/WE/Gb/WEGbITMwBBCs.mp4,RREEPPLLAACCEE/WE/Gb/WEGbITMwBBCs_small.mp4
Unavailable,35.3559,80.6809,208.251,Above Sea Level,2020-12-14,01:04:37,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEKO5JhW9fQi.json,WE,RREEPPLLAACCEE/WE/KO/WEKO5JhW9fQi.mp4,RREEPPLLAACCEE/WE/KO/WEKO5JhW9fQi_small.mp4
Unavailable,27.9636,82.8298,1.88,Above Sea Level,2020-08-15,14:15:16,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEPUXVTcAwb2.json,WE,RREEPPLLAACCEE/WE/PU/WEPUXVTcAwb2.mp4,RREEPPLLAACCEE/WE/PU/WEPUXVTcAwb2_small.mp4
Unavailable,39.9859,74.7521,6.765,Above Sea Level,2020-06-26,16:06:55,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEPVKUKCdDkJ.json,WE,RREEPPLLAACCEE/WE/PV/WEPVKUKCdDkJ.mp4,RREEPPLLAACCEE/WE/PV/WEPVKUKCdDkJ_small.mp4
Unavailable,33.5635,117.2243,346.945,Above Sea Level,2020-11-20,05:45:27,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEVwJGDrdU9e.json,WE,RREEPPLLAACCEE/WE/Vw/WEVwJGDrdU9e.mp4,RREEPPLLAACCEE/WE/Vw/WEVwJGDrdU9e_small.mp4
Unavailable,43.5438,116.5137,777.34,Above Sea Level,2020-10-31,20:38:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEanXxxgFNQl.json,WE,RREEPPLLAACCEE/WE/an/WEanXxxgFNQl.mp4,RREEPPLLAACCEE/WE/an/WEanXxxgFNQl_small.mp4
Unavailable,38.8905,77.0061,27.839,Above Sea Level,2020-11-14,20:28:52,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEoLQ2F7Iydi.json,WE,RREEPPLLAACCEE/WE/oL/WEoLQ2F7Iydi.mp4,RREEPPLLAACCEE/WE/oL/WEoLQ2F7Iydi_small.mp4
Unavailable,29.6812,98.4573,371.419,Above Sea Level,2020-07-23,23:11:56,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WErBD1f4MX4g.json,WE,RREEPPLLAACCEE/WE/rB/WErBD1f4MX4g.mp4,RREEPPLLAACCEE/WE/rB/WErBD1f4MX4g_small.mp4
Unavailable,38.0464,93.2549,277.995,Above Sea Level,2020-12-21,18:36:02,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEvhStaQ18N5.json,WE,RREEPPLLAACCEE/WE/vh/WEvhStaQ18N5.mp4,RREEPPLLAACCEE/WE/vh/WEvhStaQ18N5_small.mp4
Unavailable,36.8878,119.7817,88.509,Above Sea Level,2020-11-22,19:58:11,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WEwmPnxCh73w.json,WE,RREEPPLLAACCEE/WE/wm/WEwmPnxCh73w.mp4,RREEPPLLAACCEE/WE/wm/WEwmPnxCh73w_small.mp4
