Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Clayton,0,0,0,Unavailable,2020-07-10,01:29:26,Unavailable,Unavailable,Unavailable,Unavailable,Clayton,Clayton,Clayton,meta-ZELhRGuePPvc.json,ZE,RREEPPLLAACCEE/ZE/Lh/ZELhRGuePPvc.mp4,RREEPPLLAACCEE/ZE/Lh/ZELhRGuePPvc_small.mp4
Johnson,0,0,0,Unavailable,2020-11-26,23:18:37,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-zE5c13ngg1xP.json,zE,RREEPPLLAACCEE/zE/5c/zE5c13ngg1xP.mp4,RREEPPLLAACCEE/zE/5c/zE5c13ngg1xP_small.mp4
One,0,0,0,Unavailable,2020-12-17,22:06:59,Unavailable,Unavailable,Unavailable,Unavailable,One,One,One,meta-zE7TamTD6LFo.json,zE,RREEPPLLAACCEE/zE/7T/zE7TamTD6LFo.mp4,RREEPPLLAACCEE/zE/7T/zE7TamTD6LFo_small.mp4
steffenwagener,0,0,0,Unavailable,2020-12-22,18:49:30,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-zE96SEXackUR.json,zE,RREEPPLLAACCEE/zE/96/zE96SEXackUR.mp4,RREEPPLLAACCEE/zE/96/zE96SEXackUR_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-07-29,17:52:37,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-zEBAxF63DJ4K.json,zE,RREEPPLLAACCEE/zE/BA/zEBAxF63DJ4K.mp4,RREEPPLLAACCEE/zE/BA/zEBAxF63DJ4K_small.mp4
anniefrey,0,0,0,Unavailable,2020-10-14,04:02:46,Unavailable,Unavailable,Unavailable,Unavailable,anniefrey,anniefrey,anniefrey,meta-zEJZaYYxn3Pp.json,zE,RREEPPLLAACCEE/zE/JZ/zEJZaYYxn3Pp.mp4,RREEPPLLAACCEE/zE/JZ/zEJZaYYxn3Pp_small.mp4
jotac,0,0,0,Unavailable,2020-08-04,18:06:37,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-zEXjdo0U1ChU.json,zE,RREEPPLLAACCEE/zE/Xj/zEXjdo0U1ChU.mp4,RREEPPLLAACCEE/zE/Xj/zEXjdo0U1ChU_small.mp4
Unavailable,39.5990,82.9236,213.49,Above Sea Level,2020-10-24,20:14:59,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZEK4cRVkx3LS.json,ZE,RREEPPLLAACCEE/ZE/K4/ZEK4cRVkx3LS.mp4,RREEPPLLAACCEE/ZE/K4/ZEK4cRVkx3LS_small.mp4
Unavailable,40.4050,73.9392,3.578,Above Sea Level,2019-10-19,15:51:45,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZEV1beOp2I2O.json,ZE,RREEPPLLAACCEE/ZE/V1/ZEV1beOp2I2O.mp4,RREEPPLLAACCEE/ZE/V1/ZEV1beOp2I2O_small.mp4
Unavailable,26.7878,80.3013,4.892,Above Sea Level,2020-12-11,13:36:51,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZEZfr8TrjkMI.json,ZE,RREEPPLLAACCEE/ZE/Zf/ZEZfr8TrjkMI.mp4,RREEPPLLAACCEE/ZE/Zf/ZEZfr8TrjkMI_small.mp4
