Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
AVUser1,0,0,0,Unavailable,2020-11-09,10:59:09,Unavailable,Unavailable,Unavailable,Unavailable,AVUser1,AVUser1,AVUser1,meta-KWWtj4VdzfDN.json,KW,RREEPPLLAACCEE/KW/Wt/KWWtj4VdzfDN.mp4,RREEPPLLAACCEE/KW/Wt/KWWtj4VdzfDN_small.mp4
codyt,0,0,0,Unavailable,2020-06-02,17:40:21,Unavailable,Unavailable,Unavailable,Unavailable,codyt,codyt,codyt,meta-KWhjdX84Ws4w.json,KW,RREEPPLLAACCEE/KW/hj/KWhjdX84Ws4w.mp4,RREEPPLLAACCEE/KW/hj/KWhjdX84Ws4w_small.mp4
airbornecamera,0,0,0,Unavailable,2020-11-13,19:06:29,Unavailable,Unavailable,Unavailable,Unavailable,airbornecamera,airbornecamera,airbornecamera,meta-KWlU7OMXmFT8.json,KW,RREEPPLLAACCEE/KW/lU/KWlU7OMXmFT8.mp4,RREEPPLLAACCEE/KW/lU/KWlU7OMXmFT8_small.mp4
richardkirby,0,0,0,Unavailable,2020-04-06,09:41:51,NIKON CORPORATION,,Unavailable,Unavailable,richardkirby,richardkirby,richardkirby,meta-kW3lJM39DwYu.json,kW,RREEPPLLAACCEE/kW/3l/kW3lJM39DwYu.mp4,RREEPPLLAACCEE/kW/3l/kW3lJM39DwYu_small.mp4
paulg,0,0,0,Unavailable,2020-11-11,00:45:39,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-kWPpUzRF6zR7.json,kW,RREEPPLLAACCEE/kW/Pp/kWPpUzRF6zR7.mp4,RREEPPLLAACCEE/kW/Pp/kWPpUzRF6zR7_small.mp4
Eli,0,0,0,Unavailable,2020-11-04,00:26:25,Unavailable,Unavailable,Unavailable,Unavailable,Eli,Eli,Eli,meta-kWmEJN03KUex.json,kW,RREEPPLLAACCEE/kW/mE/kWmEJN03KUex.mp4,RREEPPLLAACCEE/kW/mE/kWmEJN03KUex_small.mp4
Boots,0,0,0,Unavailable,2020-12-02,20:03:03,Panasonic,,Unavailable,Unavailable,Boots,Boots,Boots,meta-kwEdkY3HtDVy.json,kw,RREEPPLLAACCEE/kw/Ed/kwEdkY3HtDVy.mp4,RREEPPLLAACCEE/kw/Ed/kwEdkY3HtDVy_small.mp4
marianitote,0,0,0,Unavailable,2020-08-12,19:34:55,NIKON CORPORATION,,Unavailable,Unavailable,marianitote,marianitote,marianitote,meta-kwYc1bHHsn8e.json,kw,RREEPPLLAACCEE/kw/Yc/kwYc1bHHsn8e.mp4,RREEPPLLAACCEE/kw/Yc/kwYc1bHHsn8e_small.mp4
JamesDunn3,0,0,0,Unavailable,2020-09-12,06:31:13,Unavailable,Unavailable,Unavailable,Unavailable,JamesDunn3,JamesDunn3,JamesDunn3,meta-kwncyO2it3Wb.json,kw,RREEPPLLAACCEE/kw/nc/kwncyO2it3Wb.mp4,RREEPPLLAACCEE/kw/nc/kwncyO2it3Wb_small.mp4
santo,0,0,0,Unavailable,2020-08-06,17:42:16,Unavailable,Unavailable,Unavailable,Unavailable,santo,santo,santo,meta-kwy9g3VuxjCw.json,kw,RREEPPLLAACCEE/kw/y9/kwy9g3VuxjCw.mp4,RREEPPLLAACCEE/kw/y9/kwy9g3VuxjCw_small.mp4
Unavailable,41.4436,72.0180,0,Unavailable,2020-11-11,14:19:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KW4SmleZjIVR.json,KW,RREEPPLLAACCEE/KW/4S/KW4SmleZjIVR.mp4,RREEPPLLAACCEE/KW/4S/KW4SmleZjIVR_small.mp4
Unavailable,28.6170,81.4488,22.223,Above Sea Level,2020-11-15,13:48:57,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWCc9wvY1my7.json,KW,RREEPPLLAACCEE/KW/Cc/KWCc9wvY1my7.mp4,RREEPPLLAACCEE/KW/Cc/KWCc9wvY1my7_small.mp4
Unavailable,33.8384,117.7928,204.34,Above Sea Level,2020-12-08,03:56:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWG4sjAy3pay.json,KW,RREEPPLLAACCEE/KW/G4/KWG4sjAy3pay.mp4,RREEPPLLAACCEE/KW/G4/KWG4sjAy3pay_small.mp4
Unavailable,33.4244,84.0690,233.416,Above Sea Level,2020-10-27,00:39:13,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWLxauO1Ce4h.json,KW,RREEPPLLAACCEE/KW/Lx/KWLxauO1Ce4h.mp4,RREEPPLLAACCEE/KW/Lx/KWLxauO1Ce4h_small.mp4
Unavailable,33.1099,96.6797,210.569,Above Sea Level,2020-07-04,02:30:24,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWMlDYCVACzl.json,KW,RREEPPLLAACCEE/KW/Ml/KWMlDYCVACzl.mp4,RREEPPLLAACCEE/KW/Ml/KWMlDYCVACzl_small.mp4
Unavailable,40.4641,111.7706,1550.924,Above Sea Level,2021-01-01,05:05:38,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWV50qaa48ZO.json,KW,RREEPPLLAACCEE/KW/V5/KWV50qaa48ZO.mp4,RREEPPLLAACCEE/KW/V5/KWV50qaa48ZO_small.mp4
Unavailable,36.1617,95.9451,216.383,Above Sea Level,2020-11-09,11:44:11,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWZhPrDuMHkg.json,KW,RREEPPLLAACCEE/KW/Zh/KWZhPrDuMHkg.mp4,RREEPPLLAACCEE/KW/Zh/KWZhPrDuMHkg_small.mp4
Unavailable,38.8902,77.0094,21.928,Above Sea Level,2021-01-06,20:56:04,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWcmmaWP9GGe.json,KW,RREEPPLLAACCEE/KW/cm/KWcmmaWP9GGe.mp4,RREEPPLLAACCEE/KW/cm/KWcmmaWP9GGe_small.mp4
Unavailable,27.8903,82.6385,2.63,Above Sea Level,2020-11-14,17:33:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWd2wiXnSRiM.json,KW,RREEPPLLAACCEE/KW/d2/KWd2wiXnSRiM.mp4,RREEPPLLAACCEE/KW/d2/KWd2wiXnSRiM_small.mp4
Unavailable,32.4578,96.8229,181.059,Above Sea Level,2020-11-21,15:40:05,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWg9KfLq4Pwg.json,KW,RREEPPLLAACCEE/KW/g9/KWg9KfLq4Pwg.mp4,RREEPPLLAACCEE/KW/g9/KWg9KfLq4Pwg_small.mp4
Unavailable,38.8955,77.0316,5.818,Above Sea Level,2020-11-15,03:30:35,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWi916bdJ2qZ.json,KW,RREEPPLLAACCEE/KW/i9/KWi916bdJ2qZ.mp4,RREEPPLLAACCEE/KW/i9/KWi916bdJ2qZ_small.mp4
Unavailable,44.3344,79.7144,315.54,Above Sea Level,2020-10-16,20:42:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWr7no0aziy4.json,KW,RREEPPLLAACCEE/KW/r7/KWr7no0aziy4.mp4,RREEPPLLAACCEE/KW/r7/KWr7no0aziy4_small.mp4
Unavailable,27.9171,82.8301,0.893,Above Sea Level,2020-08-15,15:01:45,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWtsk67AX112.json,KW,RREEPPLLAACCEE/KW/ts/KWtsk67AX112.mp4,RREEPPLLAACCEE/KW/ts/KWtsk67AX112_small.mp4
Unavailable,42.0886,71.2655,93.239,Above Sea Level,2019-07-28,15:08:24,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWwLhX54E5O0.json,KW,RREEPPLLAACCEE/KW/wL/KWwLhX54E5O0.mp4,RREEPPLLAACCEE/KW/wL/KWwLhX54E5O0_small.mp4
Unavailable,38.0489,93.2777,279.328,Above Sea Level,2020-11-22,19:04:09,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWxTQOS0wG16.json,KW,RREEPPLLAACCEE/KW/xT/KWxTQOS0wG16.mp4,RREEPPLLAACCEE/KW/xT/KWxTQOS0wG16_small.mp4
Unavailable,26.6703,80.1462,7.031,Above Sea Level,2020-11-22,16:53:33,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KWym7Jf3Gcjq.json,KW,RREEPPLLAACCEE/KW/ym/KWym7Jf3Gcjq.mp4,RREEPPLLAACCEE/KW/ym/KWym7Jf3Gcjq_small.mp4
Unavailable,39.5200,84.7424,264.158,Above Sea Level,2020-11-27,14:55:34,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kw03ZQoPh80M.json,Kw,RREEPPLLAACCEE/Kw/03/Kw03ZQoPh80M.mp4,RREEPPLLAACCEE/Kw/03/Kw03ZQoPh80M_small.mp4
Unavailable,23.5631,46.6543,822.3,Above Sea Level,2020-09-07,17:56:34,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kw8hyHvObVey.json,Kw,RREEPPLLAACCEE/Kw/8h/Kw8hyHvObVey.mp4,RREEPPLLAACCEE/Kw/8h/Kw8hyHvObVey_small.mp4
Unavailable,39.3192,121.4110,181.073,Above Sea Level,2020-09-29,16:19:47,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kw8kH105ZPUz.json,Kw,RREEPPLLAACCEE/Kw/8k/Kw8kH105ZPUz.mp4,RREEPPLLAACCEE/Kw/8k/Kw8kH105ZPUz_small.mp4
Unavailable,29.7294,95.4953,20.152,Above Sea Level,2020-09-26,21:04:44,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwD1uJinsyMh.json,Kw,RREEPPLLAACCEE/Kw/D1/KwD1uJinsyMh.mp4,RREEPPLLAACCEE/Kw/D1/KwD1uJinsyMh_small.mp4
Unavailable,33.7364,112.1961,452.075,Above Sea Level,2020-11-10,03:00:06,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwE66N4qdbAZ.json,Kw,RREEPPLLAACCEE/Kw/E6/KwE66N4qdbAZ.mp4,RREEPPLLAACCEE/Kw/E6/KwE66N4qdbAZ_small.mp4
Unavailable,40.7623,73.9745,120.41,Above Sea Level,2020-11-05,22:09:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwEXzv7E22Pc.json,Kw,RREEPPLLAACCEE/Kw/EX/KwEXzv7E22Pc.mp4,RREEPPLLAACCEE/Kw/EX/KwEXzv7E22Pc_small.mp4
Unavailable,36.1136,115.3140,835.37,Above Sea Level,2020-11-23,12:40:38,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwFJY4fqLHP2.json,Kw,RREEPPLLAACCEE/Kw/FJ/KwFJY4fqLHP2.mp4,RREEPPLLAACCEE/Kw/FJ/KwFJY4fqLHP2_small.mp4
Unavailable,47.3699,122.1069,120.132,Above Sea Level,2020-12-18,19:34:40,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwHwRRpdIAxe.json,Kw,RREEPPLLAACCEE/Kw/Hw/KwHwRRpdIAxe.mp4,RREEPPLLAACCEE/Kw/Hw/KwHwRRpdIAxe_small.mp4
Unavailable,35.4863,95.1490,143.746,Above Sea Level,2020-08-19,21:09:41,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwJjCWpr4MKU.json,Kw,RREEPPLLAACCEE/Kw/Jj/KwJjCWpr4MKU.mp4,RREEPPLLAACCEE/Kw/Jj/KwJjCWpr4MKU_small.mp4
Unavailable,25.6008,80.3395,3.345,Above Sea Level,2020-11-11,14:52:41,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwKTuqzK8pv3.json,Kw,RREEPPLLAACCEE/Kw/KT/KwKTuqzK8pv3.mp4,RREEPPLLAACCEE/Kw/KT/KwKTuqzK8pv3_small.mp4
Unavailable,38.6996,77.2146,0,Unavailable,2020-11-18,03:49:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwO83Fc9mpb9.json,Kw,RREEPPLLAACCEE/Kw/O8/KwO83Fc9mpb9.mp4,RREEPPLLAACCEE/Kw/O8/KwO83Fc9mpb9_small.mp4
Unavailable,28.3409,80.7501,6.866,Above Sea Level,2020-10-28,00:05:02,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwPebUjrpi3J.json,Kw,RREEPPLLAACCEE/Kw/Pe/KwPebUjrpi3J.mp4,RREEPPLLAACCEE/Kw/Pe/KwPebUjrpi3J_small.mp4
Unavailable,31.5627,97.1949,168.711,Above Sea Level,2020-11-19,09:34:36,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwRJnuj3Q4Gb.json,Kw,RREEPPLLAACCEE/Kw/RJ/KwRJnuj3Q4Gb.mp4,RREEPPLLAACCEE/Kw/RJ/KwRJnuj3Q4Gb_small.mp4
Unavailable,34.0515,118.3801,41.098,Above Sea Level,2020-11-11,14:10:07,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwSV0sjHbpwx.json,Kw,RREEPPLLAACCEE/Kw/SV/KwSV0sjHbpwx.mp4,RREEPPLLAACCEE/Kw/SV/KwSV0sjHbpwx_small.mp4
Unavailable,40.7054,74.0080,0,Above Sea Level,2020-04-14,01:02:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwWIcxvPquia.json,Kw,RREEPPLLAACCEE/Kw/WI/KwWIcxvPquia.mp4,RREEPPLLAACCEE/Kw/WI/KwWIcxvPquia_small.mp4
Unavailable,34.8837,116.9831,631.407,Above Sea Level,2020-11-27,03:21:41,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwjJXi6T0Pw7.json,Kw,RREEPPLLAACCEE/Kw/jJ/KwjJXi6T0Pw7.mp4,RREEPPLLAACCEE/Kw/jJ/KwjJXi6T0Pw7_small.mp4
Unavailable,27.6431,82.3478,15.733,Above Sea Level,2021-01-10,12:05:41,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kwp946MAijLI.json,Kw,RREEPPLLAACCEE/Kw/p9/Kwp946MAijLI.mp4,RREEPPLLAACCEE/Kw/p9/Kwp946MAijLI_small.mp4
Unavailable,32.2739,110.8559,769.96,Above Sea Level,2020-10-17,15:58:58,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kws2NRGGtFYz.json,Kw,RREEPPLLAACCEE/Kw/s2/Kws2NRGGtFYz.mp4,RREEPPLLAACCEE/Kw/s2/Kws2NRGGtFYz_small.mp4
Unavailable,34.4130,117.3913,1106.349,Above Sea Level,2020-09-20,00:33:33,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwsvFUbPOnha.json,Kw,RREEPPLLAACCEE/Kw/sv/KwsvFUbPOnha.mp4,RREEPPLLAACCEE/Kw/sv/KwsvFUbPOnha_small.mp4
Unavailable,33.3524,86.6083,163.332,Above Sea Level,2020-11-20,16:39:17,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KwxdEYiIDVt9.json,Kw,RREEPPLLAACCEE/Kw/xd/KwxdEYiIDVt9.mp4,RREEPPLLAACCEE/Kw/xd/KwxdEYiIDVt9_small.mp4
Unavailable,22.9258,43.3716,0,Unavailable,2020-12-11,14:19:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kW06BE8GC2eH.json,kW,RREEPPLLAACCEE/kW/06/kW06BE8GC2eH.mp4,RREEPPLLAACCEE/kW/06/kW06BE8GC2eH_small.mp4
Unavailable,33.0584,97.5698,209.658,Above Sea Level,2020-07-26,07:02:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kW0KA4OpZJ4R.json,kW,RREEPPLLAACCEE/kW/0K/kW0KA4OpZJ4R.mp4,RREEPPLLAACCEE/kW/0K/kW0KA4OpZJ4R_small.mp4
Unavailable,30.4569,84.0258,46.508,Above Sea Level,2020-09-18,20:55:18,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kW27zukCv5m3.json,kW,RREEPPLLAACCEE/kW/27/kW27zukCv5m3.mp4,RREEPPLLAACCEE/kW/27/kW27zukCv5m3_small.mp4
Unavailable,39.5419,76.3871,0,Unavailable,2020-12-09,19:48:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kW766DXtHBA9.json,kW,RREEPPLLAACCEE/kW/76/kW766DXtHBA9.mp4,RREEPPLLAACCEE/kW/76/kW766DXtHBA9_small.mp4
Unavailable,48.2416,101.3125,473.987,Above Sea Level,2020-11-12,03:56:48,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kW8MAJaJRiAF.json,kW,RREEPPLLAACCEE/kW/8M/kW8MAJaJRiAF.mp4,RREEPPLLAACCEE/kW/8M/kW8MAJaJRiAF_small.mp4
Unavailable,39.7600,86.3766,0,Unavailable,2020-11-18,23:51:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kW9Bc9tUSNka.json,kW,RREEPPLLAACCEE/kW/9B/kW9Bc9tUSNka.mp4,RREEPPLLAACCEE/kW/9B/kW9Bc9tUSNka_small.mp4
Unavailable,39.8809,105.1219,1688.267,Above Sea Level,2020-06-09,02:36:25,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kWBORrXqQv21.json,kW,RREEPPLLAACCEE/kW/BO/kWBORrXqQv21.mp4,RREEPPLLAACCEE/kW/BO/kWBORrXqQv21_small.mp4
Unavailable,29.6835,95.2302,9.778,Above Sea Level,2020-08-19,03:07:36,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kWHsojlfmemK.json,kW,RREEPPLLAACCEE/kW/Hs/kWHsojlfmemK.mp4,RREEPPLLAACCEE/kW/Hs/kWHsojlfmemK_small.mp4
