Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
paulinho,0,0,0,Unavailable,2020-11-07,20:05:17,Unavailable,Unavailable,Unavailable,Unavailable,paulinho,paulinho,paulinho,meta-RO9mro5ZG1yn.json,RO,RREEPPLLAACCEE/RO/9m/RO9mro5ZG1yn.mp4,RREEPPLLAACCEE/RO/9m/RO9mro5ZG1yn_small.mp4
Heather,0,0,0,Unavailable,2019-02-25,03:30:56,Unavailable,Unavailable,Unavailable,Unavailable,Heather,Heather,Heather,meta-Ro4v1k5jPBF7.json,Ro,RREEPPLLAACCEE/Ro/4v/Ro4v1k5jPBF7.mp4,RREEPPLLAACCEE/Ro/4v/Ro4v1k5jPBF7_small.mp4
paulg,0,0,0,Unavailable,2020-08-14,00:48:57,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-rOOQYo8RG3Yc.json,rO,RREEPPLLAACCEE/rO/OQ/rOOQYo8RG3Yc.mp4,RREEPPLLAACCEE/rO/OQ/rOOQYo8RG3Yc_small.mp4
Calvi,0,0,0,Unavailable,2020-11-14,20:48:23,Unavailable,,Unavailable,Unavailable,Calvi,Calvi,Calvi,meta-rOROcCa6peqB.json,rO,RREEPPLLAACCEE/rO/RO/rOROcCa6peqB.mp4,RREEPPLLAACCEE/rO/RO/rOROcCa6peqB_small.mp4
bauerp,0,0,0,Unavailable,2019-06-12,03:39:45,Unavailable,Unavailable,Unavailable,Unavailable,bauerp,bauerp,bauerp,meta-rOhfDEfWLYDq.json,rO,RREEPPLLAACCEE/rO/hf/rOhfDEfWLYDq.mp4,RREEPPLLAACCEE/rO/hf/rOhfDEfWLYDq_small.mp4
setayesh,0,0,0,Unavailable,2021-01-09,11:21:24,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-rOsmhKJ1XuDS.json,rO,RREEPPLLAACCEE/rO/sm/rOsmhKJ1XuDS.mp4,RREEPPLLAACCEE/rO/sm/rOsmhKJ1XuDS_small.mp4
vince,0,0,0,Unavailable,2020-11-08,08:38:11,Unavailable,Unavailable,Unavailable,Unavailable,vince,vince,vince,meta-roZV2Gx6Dets.json,ro,RREEPPLLAACCEE/ro/ZV/roZV2Gx6Dets.mp4,RREEPPLLAACCEE/ro/ZV/roZV2Gx6Dets_small.mp4
Unavailable,41.0599,75.3129,326.806,Above Sea Level,2020-11-14,18:43:42,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RO2wVabCWQ9N.json,RO,RREEPPLLAACCEE/RO/2w/RO2wVabCWQ9N.mp4,RREEPPLLAACCEE/RO/2w/RO2wVabCWQ9N_small.mp4
Unavailable,38.8911,77.0341,4.413,Above Sea Level,2021-01-06,15:56:55,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ROFyGFcodhj2.json,RO,RREEPPLLAACCEE/RO/Fy/ROFyGFcodhj2.mp4,RREEPPLLAACCEE/RO/Fy/ROFyGFcodhj2_small.mp4
Unavailable,38.8913,77.0054,0,Unavailable,2020-11-14,18:11:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ROJ76Sv5TKNi.json,RO,RREEPPLLAACCEE/RO/J7/ROJ76Sv5TKNi.mp4,RREEPPLLAACCEE/RO/J7/ROJ76Sv5TKNi_small.mp4
Unavailable,30.5530,97.8766,333.54,Above Sea Level,2020-06-25,23:51:08,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ROKlhIroRjBo.json,RO,RREEPPLLAACCEE/RO/Kl/ROKlhIroRjBo.mp4,RREEPPLLAACCEE/RO/Kl/ROKlhIroRjBo_small.mp4
Unavailable,33.8022,112.2413,480.537,Above Sea Level,2020-10-17,16:34:03,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ROLJ03YAby1O.json,RO,RREEPPLLAACCEE/RO/LJ/ROLJ03YAby1O.mp4,RREEPPLLAACCEE/RO/LJ/ROLJ03YAby1O_small.mp4
Unavailable,50.9181,1.4570,5.099,Above Sea Level,2021-01-06,19:41:26,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ROR55e3W00bf.json,RO,RREEPPLLAACCEE/RO/R5/ROR55e3W00bf.mp4,RREEPPLLAACCEE/RO/R5/ROR55e3W00bf_small.mp4
Unavailable,40.4117,111.8909,1380.033,Above Sea Level,2020-12-17,21:19:13,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RORGGnbwefm6.json,RO,RREEPPLLAACCEE/RO/RG/RORGGnbwefm6.mp4,RREEPPLLAACCEE/RO/RG/RORGGnbwefm6_small.mp4
