Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
BG_Stagnaro,0,0,0,Unavailable,2020-09-29,14:14:05,,,,Unavailable,BG_Stagnaro,BG_Stagnaro,BG_Stagnaro,meta-LXc1kO4VN9pA.json,LX,RREEPPLLAACCEE/LX/c1/LXc1kO4VN9pA.mp4,RREEPPLLAACCEE/LX/c1/LXc1kO4VN9pA_small.mp4
Marcelo Nobre,0,0,0,Unavailable,2020-07-10,21:06:23,Unavailable,Unavailable,Unavailable,Unavailable,Marcelo Nobre,Marcelo Nobre,Marcelo Nobre,meta-LXkzpBnrmITv.json,LX,RREEPPLLAACCEE/LX/kz/LXkzpBnrmITv.mp4,RREEPPLLAACCEE/LX/kz/LXkzpBnrmITv_small.mp4
xuchenwu,0,0,0,Unavailable,2020-12-27,03:22:34,Unavailable,Unavailable,Unavailable,Unavailable,Admin,xuchenwu,xuchenwu,meta-LXqjd1EoMtUp.json,LX,RREEPPLLAACCEE/LX/qj/LXqjd1EoMtUp.mp4,RREEPPLLAACCEE/LX/qj/LXqjd1EoMtUp_small.mp4
gazelle,0,0,0,Unavailable,2020-11-21,02:36:00,Unavailable,,Unavailable,Unavailable,gazelle,gazelle,gazelle,meta-lXXqltLO0dO5.json,lX,RREEPPLLAACCEE/lX/Xq/lXXqltLO0dO5.mp4,RREEPPLLAACCEE/lX/Xq/lXXqltLO0dO5_small.mp4
jpthom6,0,0,0,Unavailable,2017-08-28,18:16:31,Unavailable,Unavailable,Unavailable,Unavailable,jpthom6,jpthom6,jpthom6,meta-lXfhR6dS41R3.json,lX,RREEPPLLAACCEE/lX/fh/lXfhR6dS41R3.mp4,RREEPPLLAACCEE/lX/fh/lXfhR6dS41R3_small.mp4
Jonse,0,0,0,Unavailable,2020-11-17,16:14:56,Unavailable,Unavailable,Unavailable,Unavailable,Jonse,Jonse,Jonse,meta-lXjlTmwM9RGC.json,lX,RREEPPLLAACCEE/lX/jl/lXjlTmwM9RGC.mp4,RREEPPLLAACCEE/lX/jl/lXjlTmwM9RGC_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-06-25,17:34:05,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-lxUajunjJDch.json,lx,RREEPPLLAACCEE/lx/Ua/lxUajunjJDch.mp4,RREEPPLLAACCEE/lx/Ua/lxUajunjJDch_small.mp4
Unavailable,41.5319,87.1495,214.604,Above Sea Level,2020-10-21,02:05:52,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LX0Ibhw0SSzv.json,LX,RREEPPLLAACCEE/LX/0I/LX0Ibhw0SSzv.mp4,RREEPPLLAACCEE/LX/0I/LX0Ibhw0SSzv_small.mp4
Unavailable,28.2659,52.4374,664.795,Above Sea Level,2019-11-22,18:51:47,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LX6EwfcNPxyc.json,LX,RREEPPLLAACCEE/LX/6E/LX6EwfcNPxyc.mp4,RREEPPLLAACCEE/LX/6E/LX6EwfcNPxyc_small.mp4
Unavailable,38.8958,77.0307,6.417,Above Sea Level,2020-12-12,17:32:19,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LXFQo87Vv0Uc.json,LX,RREEPPLLAACCEE/LX/FQ/LXFQo87Vv0Uc.mp4,RREEPPLLAACCEE/LX/FQ/LXFQo87Vv0Uc_small.mp4
Unavailable,33.5514,117.1403,341.507,Above Sea Level,2020-06-27,01:37:41,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LXIjzSSjySMf.json,LX,RREEPPLLAACCEE/LX/Ij/LXIjzSSjySMf.mp4,RREEPPLLAACCEE/LX/Ij/LXIjzSSjySMf_small.mp4
