Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
keith,0,0,0,Unavailable,2020-11-12,15:50:30,Unavailable,Unavailable,Unavailable,Unavailable,JenniePyfferoen,JenniePyfferoen,JenniePyfferoen,meta-XZEi0868T5yY.json,XZ,RREEPPLLAACCEE/XZ/Ei/XZEi0868T5yY.mp4,RREEPPLLAACCEE/XZ/Ei/XZEi0868T5yY_small.mp4
jcalder,0,0,0,Unavailable,2020-06-30,16:23:11,Unavailable,Unavailable,Unavailable,Unavailable,jcalder,jcalder,jcalder,meta-XZMepsMpNUWW.json,XZ,RREEPPLLAACCEE/XZ/Me/XZMepsMpNUWW.mp4,RREEPPLLAACCEE/XZ/Me/XZMepsMpNUWW_small.mp4
tysonunruh,0,0,0,Unavailable,2020-11-20,15:49:35,Unavailable,Unavailable,Unavailable,Unavailable,tysonunruh,tysonunruh,tysonunruh,meta-XZcoC3Hmy08Q.json,XZ,RREEPPLLAACCEE/XZ/co/XZcoC3Hmy08Q.mp4,RREEPPLLAACCEE/XZ/co/XZcoC3Hmy08Q_small.mp4
Dan - Work,0,0,0,Unavailable,2020-12-27,13:16:19,Unavailable,Unavailable,Unavailable,Unavailable,Dan - Work,Dan - Work,Dan - Work,meta-XZfVa0bK7ZbK.json,XZ,RREEPPLLAACCEE/XZ/fV/XZfVa0bK7ZbK.mp4,RREEPPLLAACCEE/XZ/fV/XZfVa0bK7ZbK_small.mp4
admin,0,0,0,Unavailable,2020-11-16,15:21:16,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-Xz5JU8mkHVtk.json,Xz,RREEPPLLAACCEE/Xz/5J/Xz5JU8mkHVtk.mp4,RREEPPLLAACCEE/Xz/5J/Xz5JU8mkHVtk_small.mp4
Frederic,0,0,0,Unavailable,2021-01-01,05:00:44,Canon,,,,Frederic,Frederic,Frederic,meta-xZNoas5DeH9g.json,xZ,RREEPPLLAACCEE/xZ/No/xZNoas5DeH9g.mp4,RREEPPLLAACCEE/xZ/No/xZNoas5DeH9g_small.mp4
melinachan,0,0,0,Unavailable,2020-07-05,03:05:58,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-xZoRSSjsMDFq.json,xZ,RREEPPLLAACCEE/xZ/oR/xZoRSSjsMDFq.mp4,RREEPPLLAACCEE/xZ/oR/xZoRSSjsMDFq_small.mp4
Korbin,0,0,0,Unavailable,2020-07-22,23:28:36,Unavailable,Unavailable,Unavailable,Unavailable,Korbin,Korbin,Korbin,meta-xZw7L4VH94h9.json,xZ,RREEPPLLAACCEE/xZ/w7/xZw7L4VH94h9.mp4,RREEPPLLAACCEE/xZ/w7/xZw7L4VH94h9_small.mp4
macbookpro,0,0,0,Unavailable,2021-01-04,22:15:46,Unavailable,Unavailable,Unavailable,Unavailable,macbookpro,macbookpro,macbookpro,meta-xZwB3E02MLRY.json,xZ,RREEPPLLAACCEE/xZ/wB/xZwB3E02MLRY.mp4,RREEPPLLAACCEE/xZ/wB/xZwB3E02MLRY_small.mp4
Unavailable,39.0338,84.6167,257.804,Above Sea Level,2020-10-27,01:18:04,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XZ01PJXFmfKb.json,XZ,RREEPPLLAACCEE/XZ/01/XZ01PJXFmfKb.mp4,RREEPPLLAACCEE/XZ/01/XZ01PJXFmfKb_small.mp4
