Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
cartermahnke,0,0,0,Unavailable,2020-11-17,16:28:12,Unavailable,Unavailable,Unavailable,Unavailable,cartermahnke,cartermahnke,cartermahnke,meta-JFb3ScGwTNdC.json,JF,RREEPPLLAACCEE/JF/b3/JFb3ScGwTNdC.mp4,RREEPPLLAACCEE/JF/b3/JFb3ScGwTNdC_small.mp4
Adrian,0,0,0,Unavailable,2020-12-05,12:25:13,Unavailable,Unavailable,Unavailable,Unavailable,Adrian,Adrian,Adrian,meta-JFw6HhKsZ3QQ.json,JF,RREEPPLLAACCEE/JF/w6/JFw6HhKsZ3QQ.mp4,RREEPPLLAACCEE/JF/w6/JFw6HhKsZ3QQ_small.mp4
setayesh,0,0,0,Unavailable,2020-11-28,08:54:04,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-JFyzu3bUxu1t.json,JF,RREEPPLLAACCEE/JF/yz/JFyzu3bUxu1t.mp4,RREEPPLLAACCEE/JF/yz/JFyzu3bUxu1t_small.mp4
Owner,0,0,0,Unavailable,2020-11-17,19:43:54,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-JfTgmC7Zl2l3.json,Jf,RREEPPLLAACCEE/Jf/Tg/JfTgmC7Zl2l3.mp4,RREEPPLLAACCEE/Jf/Tg/JfTgmC7Zl2l3_small.mp4
joebasrawi,0,0,0,Unavailable,2020-08-12,08:02:03,Unavailable,Unavailable,Unavailable,Unavailable,joebasrawi,joebasrawi,joebasrawi,meta-JfmABm2P5iHM.json,Jf,RREEPPLLAACCEE/Jf/mA/JfmABm2P5iHM.mp4,RREEPPLLAACCEE/Jf/mA/JfmABm2P5iHM_small.mp4
dirtt,0,0,0,Unavailable,2020-11-09,22:51:36,Unavailable,Unavailable,Unavailable,Unavailable,dirtt,dirtt,dirtt,meta-Jfvk00NoLgsl.json,Jf,RREEPPLLAACCEE/Jf/vk/Jfvk00NoLgsl.mp4,RREEPPLLAACCEE/Jf/vk/Jfvk00NoLgsl_small.mp4
editor01,0,0,0,Unavailable,2020-11-07,01:41:03,Unavailable,Unavailable,Unavailable,Unavailable,editor01,editor01,editor01,meta-jFAD3FzwJBhk.json,jF,RREEPPLLAACCEE/jF/AD/jFAD3FzwJBhk.mp4,RREEPPLLAACCEE/jF/AD/jFAD3FzwJBhk_small.mp4
Unavailable,40.0461,75.3275,119.79,Above Sea Level,2020-11-20,00:08:51,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JF7YzgZxrP7R.json,JF,RREEPPLLAACCEE/JF/7Y/JF7YzgZxrP7R.mp4,RREEPPLLAACCEE/JF/7Y/JF7YzgZxrP7R_small.mp4
Unavailable,41.3750,81.7725,264.416,Above Sea Level,2021-01-07,15:07:02,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JF7qVFAx59gT.json,JF,RREEPPLLAACCEE/JF/7q/JF7qVFAx59gT.mp4,RREEPPLLAACCEE/JF/7q/JF7qVFAx59gT_small.mp4
Unavailable,38.8907,77.0073,0,Unavailable,2021-01-05,18:27:13,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JFBcTjyx726j.json,JF,RREEPPLLAACCEE/JF/Bc/JFBcTjyx726j.mp4,RREEPPLLAACCEE/JF/Bc/JFBcTjyx726j_small.mp4
