Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
cjanderson,0,0,0,Unavailable,2020-12-04,00:08:44,Unavailable,Unavailable,Unavailable,Unavailable,cjanderson,cjanderson,cjanderson,meta-MDr3uTHya2b9.json,MD,RREEPPLLAACCEE/MD/r3/MDr3uTHya2b9.mp4,RREEPPLLAACCEE/MD/r3/MDr3uTHya2b9_small.mp4
rebelnews,0,0,0,Unavailable,2020-10-28,15:23:07,Unavailable,Unavailable,Unavailable,Unavailable,rebelnews,rebelnews,rebelnews,meta-Md8mKcACIxLR.json,Md,RREEPPLLAACCEE/Md/8m/Md8mKcACIxLR.mp4,RREEPPLLAACCEE/Md/8m/Md8mKcACIxLR_small.mp4
michaeljanak,0,0,0,Unavailable,2020-10-16,06:20:30,Unavailable,Unavailable,Unavailable,Unavailable,michaeljanak,michaeljanak,michaeljanak,meta-MdbxS4Ws7axc.json,Md,RREEPPLLAACCEE/Md/bx/MdbxS4Ws7axc.mp4,RREEPPLLAACCEE/Md/bx/MdbxS4Ws7axc_small.mp4
josephbarker,0,0,0,Unavailable,2020-09-22,15:38:42,Unavailable,Unavailable,Unavailable,Unavailable,barkerjb,cekerevacyb,cekerevacyb,meta-MdntqrpjJvxN.json,Md,RREEPPLLAACCEE/Md/nt/MdntqrpjJvxN.mp4,RREEPPLLAACCEE/Md/nt/MdntqrpjJvxN_small.mp4
vince,0,0,0,Unavailable,2020-11-09,02:41:13,Unavailable,Unavailable,Unavailable,Unavailable,vince,vince,vince,meta-mDTyvJSLEeCZ.json,mD,RREEPPLLAACCEE/mD/Ty/mDTyvJSLEeCZ.mp4,RREEPPLLAACCEE/mD/Ty/mDTyvJSLEeCZ_small.mp4
Charles-Henri,0,0,0,Unavailable,2020-12-16,08:08:34,Unavailable,Unavailable,Unavailable,Unavailable,Charles-Henri,Charles-Henri,Charles-Henri,meta-mdt8EiqFfeCh.json,md,RREEPPLLAACCEE/md/t8/mdt8EiqFfeCh.mp4,RREEPPLLAACCEE/md/t8/mdt8EiqFfeCh_small.mp4
Unavailable,33.7233,117.1592,449.581,Above Sea Level,2020-11-03,15:32:49,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MD1rby696Qqn.json,MD,RREEPPLLAACCEE/MD/1r/MD1rby696Qqn.mp4,RREEPPLLAACCEE/MD/1r/MD1rby696Qqn_small.mp4
Unavailable,27.2699,80.3327,3.92,Above Sea Level,2020-09-19,23:05:20,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MD8Uoh5Zwaqb.json,MD,RREEPPLLAACCEE/MD/8U/MD8Uoh5Zwaqb.mp4,RREEPPLLAACCEE/MD/8U/MD8Uoh5Zwaqb_small.mp4
Unavailable,38.8909,77.0352,6.823,Above Sea Level,2021-01-06,17:23:10,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MDACiOMgge1Z.json,MD,RREEPPLLAACCEE/MD/AC/MDACiOMgge1Z.mp4,RREEPPLLAACCEE/MD/AC/MDACiOMgge1Z_small.mp4
Unavailable,42.2542,88.3009,277.09,Above Sea Level,2020-12-12,18:50:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MDF64JGPyeEc.json,MD,RREEPPLLAACCEE/MD/F6/MDF64JGPyeEc.mp4,RREEPPLLAACCEE/MD/F6/MDF64JGPyeEc_small.mp4
Unavailable,21.4146,157.9942,116.977,Above Sea Level,2020-08-11,19:40:22,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MDIdhTf6ogKd.json,MD,RREEPPLLAACCEE/MD/Id/MDIdhTf6ogKd.mp4,RREEPPLLAACCEE/MD/Id/MDIdhTf6ogKd_small.mp4
Unavailable,42.0439,88.0943,0,Unavailable,2020-10-31,05:10:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MDMPtHGQ2Hff.json,MD,RREEPPLLAACCEE/MD/MP/MDMPtHGQ2Hff.mp4,RREEPPLLAACCEE/MD/MP/MDMPtHGQ2Hff_small.mp4
Unavailable,33.2929,96.5449,0,Unavailable,2020-11-07,17:09:47,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MDMj4H9AC1be.json,MD,RREEPPLLAACCEE/MD/Mj/MDMj4H9AC1be.mp4,RREEPPLLAACCEE/MD/Mj/MDMj4H9AC1be_small.mp4
Unavailable,40.7056,74.0081,0,Unavailable,2020-10-13,01:33:10,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MDaX5LS1XS2z.json,MD,RREEPPLLAACCEE/MD/aX/MDaX5LS1XS2z.mp4,RREEPPLLAACCEE/MD/aX/MDaX5LS1XS2z_small.mp4
Unavailable,33.9125,117.3474,463.741,Above Sea Level,2020-07-10,20:51:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MDbZuJrWWTDD.json,MD,RREEPPLLAACCEE/MD/bZ/MDbZuJrWWTDD.mp4,RREEPPLLAACCEE/MD/bZ/MDbZuJrWWTDD_small.mp4
