Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jacksonskortman,0,0,0,Unavailable,2020-08-10,16:59:07,Sony,,,Unavailable,jacksonskortman,jacksonskortman,jacksonskortman,meta-p63YA4EC7OcC.json,p6,RREEPPLLAACCEE/p6/3Y/p63YA4EC7OcC.mp4,RREEPPLLAACCEE/p6/3Y/p63YA4EC7OcC_small.mp4
Deco,0,0,0,Unavailable,2020-10-31,22:01:22,Unavailable,Unavailable,Unavailable,Unavailable,Deco,Deco,Deco,meta-p6N17iZcea1G.json,p6,RREEPPLLAACCEE/p6/N1/p6N17iZcea1G.mp4,RREEPPLLAACCEE/p6/N1/p6N17iZcea1G_small.mp4
vatan,0,0,0,Unavailable,2020-11-28,04:56:03,Unavailable,Unavailable,Unavailable,Unavailable,vatan,vatan,vatan,meta-p6cDIWKzlXNv.json,p6,RREEPPLLAACCEE/p6/cD/p6cDIWKzlXNv.mp4,RREEPPLLAACCEE/p6/cD/p6cDIWKzlXNv_small.mp4
Unavailable,45.4517,93.5222,321.317,Above Sea Level,2020-11-13,22:32:17,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P63zxku60F3v.json,P6,RREEPPLLAACCEE/P6/3z/P63zxku60F3v.mp4,RREEPPLLAACCEE/P6/3z/P63zxku60F3v_small.mp4
Unavailable,33.4480,112.0951,327.674,Above Sea Level,2020-08-01,00:52:23,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P66UNkr6IXWu.json,P6,RREEPPLLAACCEE/P6/6U/P66UNkr6IXWu.mp4,RREEPPLLAACCEE/P6/6U/P66UNkr6IXWu_small.mp4
Unavailable,36.5803,82.2403,522.053,Above Sea Level,2020-11-13,21:15:28,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P67Ucs7jPJYl.json,P6,RREEPPLLAACCEE/P6/7U/P67Ucs7jPJYl.mp4,RREEPPLLAACCEE/P6/7U/P67Ucs7jPJYl_small.mp4
Unavailable,42.6696,83.0335,206.628,Above Sea Level,2020-11-08,19:21:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P69w5cCnyh7M.json,P6,RREEPPLLAACCEE/P6/9w/P69w5cCnyh7M.mp4,RREEPPLLAACCEE/P6/9w/P69w5cCnyh7M_small.mp4
Unavailable,45.4990,122.6712,32.657,Above Sea Level,2021-01-07,03:21:10,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P6HPO63qo5ml.json,P6,RREEPPLLAACCEE/P6/HP/P6HPO63qo5ml.mp4,RREEPPLLAACCEE/P6/HP/P6HPO63qo5ml_small.mp4
Unavailable,44.2619,72.5806,161.713,Above Sea Level,2020-12-05,18:38:30,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P6HhvPVEVGn1.json,P6,RREEPPLLAACCEE/P6/Hh/P6HhvPVEVGn1.mp4,RREEPPLLAACCEE/P6/Hh/P6HhvPVEVGn1_small.mp4
Unavailable,34.9229,138.5892,43.593,Above Sea Level,2020-12-31,13:33:17,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P6IlySDDSDwC.json,P6,RREEPPLLAACCEE/P6/Il/P6IlySDDSDwC.mp4,RREEPPLLAACCEE/P6/Il/P6IlySDDSDwC_small.mp4
Unavailable,52.7592,15.2717,69.204,Above Sea Level,2020-11-17,14:43:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P6JZ1P9BsQSM.json,P6,RREEPPLLAACCEE/P6/JZ/P6JZ1P9BsQSM.mp4,RREEPPLLAACCEE/P6/JZ/P6JZ1P9BsQSM_small.mp4
Unavailable,7.5585,35.0027,0,Unavailable,2020-08-12,11:46:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P6L9QxXm0V2Z.json,P6,RREEPPLLAACCEE/P6/L9/P6L9QxXm0V2Z.mp4,RREEPPLLAACCEE/P6/L9/P6L9QxXm0V2Z_small.mp4
Unavailable,38.9063,104.7816,1965.936,Above Sea Level,2020-11-15,22:50:03,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-P6WgjyJvYRM0.json,P6,RREEPPLLAACCEE/P6/Wg/P6WgjyJvYRM0.mp4,RREEPPLLAACCEE/P6/Wg/P6WgjyJvYRM0_small.mp4
