Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
gena,0,0,0,Unavailable,2020-11-17,16:16:41,Unavailable,Unavailable,Unavailable,Unavailable,gena,gena,gena,meta-E7Jdqw8LWlUN.json,E7,RREEPPLLAACCEE/E7/Jd/E7Jdqw8LWlUN.mp4,RREEPPLLAACCEE/E7/Jd/E7Jdqw8LWlUN_small.mp4
anthony072420,0,0,0,Unavailable,2020-11-17,21:20:11,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-e71Ex7muDf1n.json,e7,RREEPPLLAACCEE/e7/1E/e71Ex7muDf1n.mp4,RREEPPLLAACCEE/e7/1E/e71Ex7muDf1n_small.mp4
jotac,0,0,0,Unavailable,2020-10-02,18:21:52,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-e738QZSu8Js7.json,e7,RREEPPLLAACCEE/e7/38/e738QZSu8Js7.mp4,RREEPPLLAACCEE/e7/38/e738QZSu8Js7_small.mp4
Melanie,0,0,0,Unavailable,2020-12-30,19:51:36,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-e7hLo6oSSWkb.json,e7,RREEPPLLAACCEE/e7/hL/e7hLo6oSSWkb.mp4,RREEPPLLAACCEE/e7/hL/e7hLo6oSSWkb_small.mp4
ryanclo,0,0,0,Unavailable,2020-08-31,21:22:00,Unavailable,Unavailable,Unavailable,Unavailable,ryanclo,ryanclo,ryanclo,meta-e7pmsdpSno72.json,e7,RREEPPLLAACCEE/e7/pm/e7pmsdpSno72.mp4,RREEPPLLAACCEE/e7/pm/e7pmsdpSno72_small.mp4
a,0,0,0,Unavailable,2020-11-25,18:45:21,Canon,,,,sruiz,sruiz,sruiz,meta-e7tTcrqtUJi8.json,e7,RREEPPLLAACCEE/e7/tT/e7tTcrqtUJi8.mp4,RREEPPLLAACCEE/e7/tT/e7tTcrqtUJi8_small.mp4
Unavailable,39.8147,76.9924,181.85,Above Sea Level,2020-11-05,20:52:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-E70dLl5tJDrQ.json,E7,RREEPPLLAACCEE/E7/0d/E70dLl5tJDrQ.mp4,RREEPPLLAACCEE/E7/0d/E70dLl5tJDrQ_small.mp4
Unavailable,27.8706,82.7806,5.065,Above Sea Level,2020-11-05,14:43:07,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-E70kmzXGfO9N.json,E7,RREEPPLLAACCEE/E7/0k/E70kmzXGfO9N.mp4,RREEPPLLAACCEE/E7/0k/E70kmzXGfO9N_small.mp4
Unavailable,33.3731,84.7724,287.879,Above Sea Level,2020-11-19,18:30:06,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-E79yMGfl3TPa.json,E7,RREEPPLLAACCEE/E7/9y/E79yMGfl3TPa.mp4,RREEPPLLAACCEE/E7/9y/E79yMGfl3TPa_small.mp4
Unavailable,51.4870,.0179,0,Unavailable,2020-11-14,08:32:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-E7FJnaVJHgyN.json,E7,RREEPPLLAACCEE/E7/FJ/E7FJnaVJHgyN.mp4,RREEPPLLAACCEE/E7/FJ/E7FJnaVJHgyN_small.mp4
Unavailable,42.5590,88.8648,296.059,Above Sea Level,2020-11-09,20:17:05,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-E7FoDoawtjwl.json,E7,RREEPPLLAACCEE/E7/Fo/E7FoDoawtjwl.mp4,RREEPPLLAACCEE/E7/Fo/E7FoDoawtjwl_small.mp4
Unavailable,38.8960,77.0304,0,Unavailable,2020-12-12,17:19:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-E7Gcsbf4Va0U.json,E7,RREEPPLLAACCEE/E7/Gc/E7Gcsbf4Va0U.mp4,RREEPPLLAACCEE/E7/Gc/E7Gcsbf4Va0U_small.mp4
Unavailable,33.7650,84.3325,304.929,Above Sea Level,2020-11-18,00:17:12,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-E7R0Y8jM7w7N.json,E7,RREEPPLLAACCEE/E7/R0/E7R0Y8jM7w7N.mp4,RREEPPLLAACCEE/E7/R0/E7R0Y8jM7w7N_small.mp4
Unavailable,28.6169,81.4490,21.418,Above Sea Level,2020-12-05,16:33:39,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-E7SI5GdY2S5g.json,E7,RREEPPLLAACCEE/E7/SI/E7SI5GdY2S5g.mp4,RREEPPLLAACCEE/E7/SI/E7SI5GdY2S5g_small.mp4
