Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Cooper HQ,0,0,0,Unavailable,2020-10-15,15:42:07,Unavailable,Unavailable,Unavailable,Unavailable,Cooper HQ,Cooper HQ,Cooper HQ,meta-PTWebtWOJGly.json,PT,RREEPPLLAACCEE/PT/We/PTWebtWOJGly.mp4,RREEPPLLAACCEE/PT/We/PTWebtWOJGly_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-07,10:10:33,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-PtCOiBwj6o9p.json,Pt,RREEPPLLAACCEE/Pt/CO/PtCOiBwj6o9p.mp4,RREEPPLLAACCEE/Pt/CO/PtCOiBwj6o9p_small.mp4
hanso,0,0,0,Unavailable,2020-12-14,17:51:32,Unavailable,Unavailable,Unavailable,Unavailable,hanso,hanso,hanso,meta-pTBybppdJelN.json,pT,RREEPPLLAACCEE/pT/By/pTBybppdJelN.mp4,RREEPPLLAACCEE/pT/By/pTBybppdJelN_small.mp4
X1,0,0,0,Unavailable,2020-12-30,13:20:16,Unavailable,Unavailable,Unavailable,Unavailable,X1,X1,X1,meta-ptimlKuQ8Oti.json,pt,RREEPPLLAACCEE/pt/im/ptimlKuQ8Oti.mp4,RREEPPLLAACCEE/pt/im/ptimlKuQ8Oti_small.mp4
markstout,0,0,0,Unavailable,2020-11-26,16:06:44,Unavailable,,Unavailable,Unavailable,markstout,markstout,markstout,meta-ptxvU1FY0HNR.json,pt,RREEPPLLAACCEE/pt/xv/ptxvU1FY0HNR.mp4,RREEPPLLAACCEE/pt/xv/ptxvU1FY0HNR_small.mp4
Unavailable,30.3095,89.3263,10.666,Above Sea Level,2020-08-22,20:03:44,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PT3YLkBCL9oZ.json,PT,RREEPPLLAACCEE/PT/3Y/PT3YLkBCL9oZ.mp4,RREEPPLLAACCEE/PT/3Y/PT3YLkBCL9oZ_small.mp4
Unavailable,28.3409,80.7501,5.9,Above Sea Level,2020-10-09,01:13:42,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PT98eBPTmUS6.json,PT,RREEPPLLAACCEE/PT/98/PT98eBPTmUS6.mp4,RREEPPLLAACCEE/PT/98/PT98eBPTmUS6_small.mp4
Unavailable,22.8870,109.9051,4.82,Above Sea Level,2020-07-22,02:29:58,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTCj3wJ0o6ei.json,PT,RREEPPLLAACCEE/PT/Cj/PTCj3wJ0o6ei.mp4,RREEPPLLAACCEE/PT/Cj/PTCj3wJ0o6ei_small.mp4
Unavailable,25.7857,80.1872,3.95,Above Sea Level,2020-11-01,12:33:44,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTHD1IUQ6PNq.json,PT,RREEPPLLAACCEE/PT/HD/PTHD1IUQ6PNq.mp4,RREEPPLLAACCEE/PT/HD/PTHD1IUQ6PNq_small.mp4
Unavailable,32.4178,97.3836,252.113,Above Sea Level,2020-11-10,21:42:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTHOlgT8Dy1R.json,PT,RREEPPLLAACCEE/PT/HO/PTHOlgT8Dy1R.mp4,RREEPPLLAACCEE/PT/HO/PTHOlgT8Dy1R_small.mp4
Unavailable,55.6790,12.5285,16.285,Above Sea Level,2018-05-20,15:58:45,Apple,iPhone 5s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTHrONcklMPO.json,PT,RREEPPLLAACCEE/PT/Hr/PTHrONcklMPO.mp4,RREEPPLLAACCEE/PT/Hr/PTHrONcklMPO_small.mp4
Unavailable,30.4384,84.2807,60.797,Above Sea Level,2020-11-11,02:14:23,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTMFWoWUSp3T.json,PT,RREEPPLLAACCEE/PT/MF/PTMFWoWUSp3T.mp4,RREEPPLLAACCEE/PT/MF/PTMFWoWUSp3T_small.mp4
Unavailable,23.5282,46.7218,0,Unavailable,2020-07-07,19:11:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTPbQIimHUCb.json,PT,RREEPPLLAACCEE/PT/Pb/PTPbQIimHUCb.mp4,RREEPPLLAACCEE/PT/Pb/PTPbQIimHUCb_small.mp4
Unavailable,39.8147,76.9924,181.85,Above Sea Level,2020-11-05,20:52:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTPqSj8hwjsS.json,PT,RREEPPLLAACCEE/PT/Pq/PTPqSj8hwjsS.mp4,RREEPPLLAACCEE/PT/Pq/PTPqSj8hwjsS_small.mp4
Unavailable,21.4147,157.9941,85.681,Above Sea Level,2020-06-26,21:43:31,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTSjtfFrkhLo.json,PT,RREEPPLLAACCEE/PT/Sj/PTSjtfFrkhLo.mp4,RREEPPLLAACCEE/PT/Sj/PTSjtfFrkhLo_small.mp4
Unavailable,33.4281,93.8893,0,Unavailable,2020-10-19,16:20:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTbgq5sf0Tg2.json,PT,RREEPPLLAACCEE/PT/bg/PTbgq5sf0Tg2.mp4,RREEPPLLAACCEE/PT/bg/PTbgq5sf0Tg2_small.mp4
Unavailable,47.9958,122.1881,14.687,Above Sea Level,2020-06-24,23:33:50,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PTbiEugvEoQT.json,PT,RREEPPLLAACCEE/PT/bi/PTbiEugvEoQT.mp4,RREEPPLLAACCEE/PT/bi/PTbiEugvEoQT_small.mp4
