Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
emilyjiao,0,0,0,Unavailable,2020-12-27,02:06:43,Unavailable,Unavailable,Unavailable,Unavailable,emilyjiao,emilyjiao,emilyjiao,meta-DJ2PdqzPZWYc.json,DJ,RREEPPLLAACCEE/DJ/2P/DJ2PdqzPZWYc.mp4,RREEPPLLAACCEE/DJ/2P/DJ2PdqzPZWYc_small.mp4
mwills,0,0,0,Unavailable,2020-12-31,23:11:07,Unavailable,Unavailable,Unavailable,Unavailable,mwills,mwills,mwills,meta-DJ9GAcK5jYU0.json,DJ,RREEPPLLAACCEE/DJ/9G/DJ9GAcK5jYU0.mp4,RREEPPLLAACCEE/DJ/9G/DJ9GAcK5jYU0_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-10,01:08:22,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-DJDZL5Psyyg0.json,DJ,RREEPPLLAACCEE/DJ/DZ/DJDZL5Psyyg0.mp4,RREEPPLLAACCEE/DJ/DZ/DJDZL5Psyyg0_small.mp4
Robert1,0,0,0,Unavailable,2020-11-26,17:00:04,Unavailable,Unavailable,Unavailable,Unavailable,Robert1,Robert1,Robert1,meta-DJm2rJJWwYDV.json,DJ,RREEPPLLAACCEE/DJ/m2/DJm2rJJWwYDV.mp4,RREEPPLLAACCEE/DJ/m2/DJm2rJJWwYDV_small.mp4
emersonhuff,0,0,0,Unavailable,2020-11-17,16:15:32,Unavailable,Unavailable,Unavailable,Unavailable,emersonhuff,emersonhuff,emersonhuff,meta-DJu150i30y8M.json,DJ,RREEPPLLAACCEE/DJ/u1/DJu150i30y8M.mp4,RREEPPLLAACCEE/DJ/u1/DJu150i30y8M_small.mp4
Vastin,0,0,0,Unavailable,2020-08-09,17:53:18,Unavailable,Unavailable,Unavailable,Unavailable,Vastin,Vastin,Vastin,meta-dJGAAq7HbhWB.json,dJ,RREEPPLLAACCEE/dJ/GA/dJGAAq7HbhWB.mp4,RREEPPLLAACCEE/dJ/GA/dJGAAq7HbhWB_small.mp4
Gesa,0,0,0,Unavailable,2020-11-06,02:16:15,Unavailable,Unavailable,Unavailable,Unavailable,Gesa,Gesa,Gesa,meta-dJrh4RgibtUf.json,dJ,RREEPPLLAACCEE/dJ/rh/dJrh4RgibtUf.mp4,RREEPPLLAACCEE/dJ/rh/dJrh4RgibtUf_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-07,02:15:34,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-dJzROw0wDxh7.json,dJ,RREEPPLLAACCEE/dJ/zR/dJzROw0wDxh7.mp4,RREEPPLLAACCEE/dJ/zR/dJzROw0wDxh7_small.mp4
lafem,0,0,0,Unavailable,2020-09-28,02:02:12,Unavailable,Unavailable,Unavailable,Unavailable,lafem,lafem,lafem,meta-djDXTbLJErZe.json,dj,RREEPPLLAACCEE/dj/DX/djDXTbLJErZe.mp4,RREEPPLLAACCEE/dj/DX/djDXTbLJErZe_small.mp4
andre,0,0,0,Unavailable,2020-11-25,00:00:54,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-djQzzQWkvPoQ.json,dj,RREEPPLLAACCEE/dj/Qz/djQzzQWkvPoQ.mp4,RREEPPLLAACCEE/dj/Qz/djQzzQWkvPoQ_small.mp4
