Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
samue,0,0,0,Unavailable,2020-12-06,20:23:34,Unavailable,Unavailable,Unavailable,Unavailable,samue,samue,samue,meta-XlhGDpT05AIF.json,Xl,RREEPPLLAACCEE/Xl/hG/XlhGDpT05AIF.mp4,RREEPPLLAACCEE/Xl/hG/XlhGDpT05AIF_small.mp4
jordi,0,0,0,Unavailable,2020-09-18,12:06:24,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-xL6FmKISgyTn.json,xL,RREEPPLLAACCEE/xL/6F/xL6FmKISgyTn.mp4,RREEPPLLAACCEE/xL/6F/xL6FmKISgyTn_small.mp4
kevin.larson,0,0,0,Unavailable,2020-09-22,18:01:54,Unavailable,Unavailable,Unavailable,Unavailable,kevin.larson,kevin.larson,kevin.larson,meta-xLYe9ymlzMDl.json,xL,RREEPPLLAACCEE/xL/Ye/xLYe9ymlzMDl.mp4,RREEPPLLAACCEE/xL/Ye/xLYe9ymlzMDl_small.mp4
adart,0,0,0,Unavailable,2020-10-26,01:06:34,Unavailable,Unavailable,Unavailable,Unavailable,adart,adart,adart,meta-xLt41VuZXyO8.json,xL,RREEPPLLAACCEE/xL/t4/xLt41VuZXyO8.mp4,RREEPPLLAACCEE/xL/t4/xLt41VuZXyO8_small.mp4
Unavailable,36.0926,115.1834,661.903,Above Sea Level,2019-04-30,14:32:49,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLAIRN3Jj71V.json,XL,RREEPPLLAACCEE/XL/AI/XLAIRN3Jj71V.mp4,RREEPPLLAACCEE/XL/AI/XLAIRN3Jj71V_small.mp4
Unavailable,47.5427,121.8377,28.563,Above Sea Level,2020-12-13,22:46:10,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLBmIm4leRmh.json,XL,RREEPPLLAACCEE/XL/Bm/XLBmIm4leRmh.mp4,RREEPPLLAACCEE/XL/Bm/XLBmIm4leRmh_small.mp4
Unavailable,33.2470,84.6252,266.02,Above Sea Level,2020-07-05,02:01:59,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLBtYjeCJpFO.json,XL,RREEPPLLAACCEE/XL/Bt/XLBtYjeCJpFO.mp4,RREEPPLLAACCEE/XL/Bt/XLBtYjeCJpFO_small.mp4
Unavailable,33.6041,117.8739,41.861,Above Sea Level,2020-11-14,01:26:06,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLEASb5g1jvc.json,XL,RREEPPLLAACCEE/XL/EA/XLEASb5g1jvc.mp4,RREEPPLLAACCEE/XL/EA/XLEASb5g1jvc_small.mp4
Unavailable,33.1067,105.9579,0,Unavailable,2020-07-03,22:57:03,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLEDNhHhZCkW.json,XL,RREEPPLLAACCEE/XL/ED/XLEDNhHhZCkW.mp4,RREEPPLLAACCEE/XL/ED/XLEDNhHhZCkW_small.mp4
Unavailable,38.0048,85.7784,0,Unavailable,2020-07-05,02:15:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLGOtcTFJLaB.json,XL,RREEPPLLAACCEE/XL/GO/XLGOtcTFJLaB.mp4,RREEPPLLAACCEE/XL/GO/XLGOtcTFJLaB_small.mp4
Unavailable,32.8472,96.7518,170.448,Above Sea Level,2020-11-01,12:10:40,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLGp965pHo4T.json,XL,RREEPPLLAACCEE/XL/Gp/XLGp965pHo4T.mp4,RREEPPLLAACCEE/XL/Gp/XLGp965pHo4T_small.mp4
Unavailable,40.3197,79.9065,290.083,Above Sea Level,2020-11-25,15:29:49,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLHMELnoj34R.json,XL,RREEPPLLAACCEE/XL/HM/XLHMELnoj34R.mp4,RREEPPLLAACCEE/XL/HM/XLHMELnoj34R_small.mp4
Unavailable,40.6790,74.6500,61.269,Above Sea Level,2020-11-01,17:30:36,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLK4i2X4wPYR.json,XL,RREEPPLLAACCEE/XL/K4/XLK4i2X4wPYR.mp4,RREEPPLLAACCEE/XL/K4/XLK4i2X4wPYR_small.mp4
Unavailable,52.1190,106.6626,0,Unavailable,2020-12-05,21:38:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLL0WjGzQFRY.json,XL,RREEPPLLAACCEE/XL/L0/XLL0WjGzQFRY.mp4,RREEPPLLAACCEE/XL/L0/XLL0WjGzQFRY_small.mp4
Unavailable,38.7239,90.2941,176.905,Above Sea Level,2020-11-17,22:14:22,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLUTlPAC9iWf.json,XL,RREEPPLLAACCEE/XL/UT/XLUTlPAC9iWf.mp4,RREEPPLLAACCEE/XL/UT/XLUTlPAC9iWf_small.mp4
Unavailable,34.6255,112.3504,1526.965,Above Sea Level,2020-08-04,01:26:27,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLXYrHv3cV4V.json,XL,RREEPPLLAACCEE/XL/XY/XLXYrHv3cV4V.mp4,RREEPPLLAACCEE/XL/XY/XLXYrHv3cV4V_small.mp4
Unavailable,40.3196,79.9065,285.171,Above Sea Level,2020-09-30,15:21:15,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLcJg4fOjVkt.json,XL,RREEPPLLAACCEE/XL/cJ/XLcJg4fOjVkt.mp4,RREEPPLLAACCEE/XL/cJ/XLcJg4fOjVkt_small.mp4
Unavailable,37.0593,93.4989,399.399,Above Sea Level,2020-12-26,01:09:17,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLfVbLq47uAO.json,XL,RREEPPLLAACCEE/XL/fV/XLfVbLq47uAO.mp4,RREEPPLLAACCEE/XL/fV/XLfVbLq47uAO_small.mp4
Unavailable,42.1409,79.2437,0,Unavailable,2020-10-30,23:43:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLhLZsxJ2guu.json,XL,RREEPPLLAACCEE/XL/hL/XLhLZsxJ2guu.mp4,RREEPPLLAACCEE/XL/hL/XLhLZsxJ2guu_small.mp4
Unavailable,40.2109,83.3546,308.307,Above Sea Level,2020-11-14,04:08:47,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLk71OqkNWdv.json,XL,RREEPPLLAACCEE/XL/k7/XLk71OqkNWdv.mp4,RREEPPLLAACCEE/XL/k7/XLk71OqkNWdv_small.mp4
Unavailable,43.0110,84.5235,0,Unavailable,2020-09-23,22:08:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XLq3RGVXzuno.json,XL,RREEPPLLAACCEE/XL/q3/XLq3RGVXzuno.mp4,RREEPPLLAACCEE/XL/q3/XLq3RGVXzuno_small.mp4
