Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Owner,0,0,0,Unavailable,2020-07-14,00:08:50,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-PA1OG5y5uCOv.json,PA,RREEPPLLAACCEE/PA/1O/PA1OG5y5uCOv.mp4,RREEPPLLAACCEE/PA/1O/PA1OG5y5uCOv_small.mp4
dspringer,0,0,0,Unavailable,2020-09-09,19:20:17,Unavailable,Unavailable,Unavailable,Unavailable,andrewgarber,andrewgarber,andrewgarber,meta-Pajxlh5rKjrw.json,Pa,RREEPPLLAACCEE/Pa/jx/Pajxlh5rKjrw.mp4,RREEPPLLAACCEE/Pa/jx/Pajxlh5rKjrw_small.mp4
kaiverge,0,0,0,Unavailable,2020-06-18,17:13:06,Unavailable,Unavailable,Unavailable,Unavailable,kaiverge,kaiverge,kaiverge,meta-pAAU636fHHnw.json,pA,RREEPPLLAACCEE/pA/AU/pAAU636fHHnw.mp4,RREEPPLLAACCEE/pA/AU/pAAU636fHHnw_small.mp4
blanca,0,0,0,Unavailable,2020-08-19,22:32:07,Unavailable,Unavailable,Unavailable,Unavailable,blanca,blanca,blanca,meta-pANNvhPZA2Mb.json,pA,RREEPPLLAACCEE/pA/NN/pANNvhPZA2Mb.mp4,RREEPPLLAACCEE/pA/NN/pANNvhPZA2Mb_small.mp4
kferr,0,0,0,Unavailable,2020-08-08,17:43:26,Unavailable,Unavailable,Unavailable,Unavailable,kferr,kferr,kferr,meta-pAzuSdxeC3uI.json,pA,RREEPPLLAACCEE/pA/zu/pAzuSdxeC3uI.mp4,RREEPPLLAACCEE/pA/zu/pAzuSdxeC3uI_small.mp4
xuchenwu,0,0,0,Unavailable,2021-01-02,05:51:59,Canon,,,,Yuling,tianyu,tianyu,meta-paOWQPoJdADE.json,pa,RREEPPLLAACCEE/pa/OW/paOWQPoJdADE.mp4,RREEPPLLAACCEE/pa/OW/paOWQPoJdADE_small.mp4
keith,0,0,0,Unavailable,2020-10-01,18:55:38,Unavailable,Unavailable,Unavailable,Unavailable,keith,keith,keith,meta-pasbThdLDIWH.json,pa,RREEPPLLAACCEE/pa/sb/pasbThdLDIWH.mp4,RREEPPLLAACCEE/pa/sb/pasbThdLDIWH_small.mp4
Unavailable,39.0954,76.8104,79.931,Above Sea Level,2019-05-01,04:42:02,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PA2k0fpe4cmw.json,PA,RREEPPLLAACCEE/PA/2k/PA2k0fpe4cmw.mp4,RREEPPLLAACCEE/PA/2k/PA2k0fpe4cmw_small.mp4
Unavailable,40.3196,79.9065,285.799,Above Sea Level,2020-07-28,21:59:34,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PAElO2fusgZN.json,PA,RREEPPLLAACCEE/PA/El/PAElO2fusgZN.mp4,RREEPPLLAACCEE/PA/El/PAElO2fusgZN_small.mp4
Unavailable,33.1093,117.2233,133.249,Above Sea Level,2020-08-12,22:10:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PANGckqhlWfQ.json,PA,RREEPPLLAACCEE/PA/NG/PANGckqhlWfQ.mp4,RREEPPLLAACCEE/PA/NG/PANGckqhlWfQ_small.mp4
Unavailable,51.5322,.6468,50.543,Above Sea Level,2020-06-25,18:18:43,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PAPSCmOLIEnv.json,PA,RREEPPLLAACCEE/PA/PS/PAPSCmOLIEnv.mp4,RREEPPLLAACCEE/PA/PS/PAPSCmOLIEnv_small.mp4
Unavailable,61.7128,150.0951,65.02,Above Sea Level,2020-11-09,03:18:34,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PARD7pR9IluK.json,PA,RREEPPLLAACCEE/PA/RD/PARD7pR9IluK.mp4,RREEPPLLAACCEE/PA/RD/PARD7pR9IluK_small.mp4
Unavailable,40.7371,73.5168,31.292,Above Sea Level,2020-12-01,01:18:43,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PARh1QQiCsJc.json,PA,RREEPPLLAACCEE/PA/Rh/PARh1QQiCsJc.mp4,RREEPPLLAACCEE/PA/Rh/PARh1QQiCsJc_small.mp4
Unavailable,40.1069,88.2331,225.247,Above Sea Level,2018-11-25,06:32:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PASKirKSrnHT.json,PA,RREEPPLLAACCEE/PA/SK/PASKirKSrnHT.mp4,RREEPPLLAACCEE/PA/SK/PASKirKSrnHT_small.mp4
Unavailable,43.4620,71.3061,224.5,Above Sea Level,2020-11-09,20:30:48,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PATH3b07m0yl.json,PA,RREEPPLLAACCEE/PA/TH/PATH3b07m0yl.mp4,RREEPPLLAACCEE/PA/TH/PATH3b07m0yl_small.mp4
